iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss
130,13100,-6.11305,0.61762,-6.20197,0.59875,-6.30235,0.54521
131,13200,-6.07556,0.61060,-6.20535,0.61518,-6.27634,0.55235
132,13300,-6.12626,0.63494,-6.20084,0.59592,-6.38421,0.58453
133,13400,-6.09185,0.57956,-6.23991,0.61717,-6.29023,0.64555
134,13500,-6.11651,0.58327,-6.27857,0.68150,-6.31122,0.59162
135,13600,-6.12648,0.62038,-6.26130,0.82279,-6.28857,0.56242
136,13700,-6.12776,0.56620,-6.29542,0.64661,-6.29762,0.56618
137,13800,-6.17853,0.51214,-6.27679,0.73513,-6.34641,0.55115
138,13900,-6.19460,0.62735,-6.28552,0.63554,-6.35300,0.54873
139,14000,-6.18649,0.65627,-6.34487,0.71235,-6.30551,0.59049
140,14100,-6.17671,0.63361,-6.32856,0.69706,-6.40014,0.57682
141,14200,-6.23703,0.59834,-6.38750,0.61116,-6.39246,0.61296
142,14300,-6.25086,0.59567,-6.33621,0.59310,-6.33921,0.58526
143,14400,-6.25489,0.61061,-6.37096,0.63252,-6.41843,0.65466
144,14500,-6.22649,0.53274,-6.41329,0.60908,-6.45568,0.61393
145,14600,-6.23317,0.56723,-6.40156,0.51536,-6.38065,0.56323
146,14700,-6.24646,0.62287,-6.39081,0.64646,-6.40349,0.64455
147,14800,-6.27301,0.60699,-6.40542,0.58743,-6.41470,0.64812
148,14900,-6.30636,0.56675,-6.40706,0.60647,-6.41704,0.56106
149,15000,-6.25903,0.59072,-6.44114,0.58053,-6.47471,0.56637
150,15100,-6.24683,0.54490,-6.48659,0.64786,-6.46154,0.57340
151,15200,-6.28249,0.51153,-6.48462,0.60991,-6.45862,0.55540
152,15300,-6.30503,0.51502,-6.47089,0.56776,-6.43944,0.56526
153,15400,-6.28564,0.52463,-6.50432,0.57404,-6.49120,0.62205
154,15500,-6.30840,0.48286,-6.51910,0.59022,-6.49926,0.63315
155,15600,-6.32586,0.57184,-6.49680,0.61934,-6.50425,0.56821
156,15700,-6.34362,0.60846,-6.47952,0.59801,-6.46317,0.57776
157,15800,-6.36073,0.61785,-6.47880,0.55502,-6.44458,0.64656
