iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss
177,17800,-0.38863,0.92720,-0.36245,0.87262
178,17900,-0.38416,0.96661,-0.34158,0.86032
179,18000,-0.39779,0.92551,-0.30810,1.05799
180,18100,-0.39198,0.90113,-0.33965,0.93966
181,18200,-0.38581,0.91404,-0.32272,1.01094
182,18300,-0.38295,0.90163,-0.32144,1.09591
183,18400,-0.35912,0.97790,-0.32302,0.95022
184,18500,-0.35429,0.84472,-0.32717,0.82113
185,18600,-0.35477,0.88985,-0.31479,0.98469
186,18700,-0.34471,0.88488,-0.30583,0.98710
187,18800,-0.35323,0.79190,-0.31544,0.97848
188,18900,-0.35045,1.00872,-0.29176,1.08774
189,19000,-0.35769,0.85096,-0.29544,1.04087
190,19100,-0.34504,0.92953,-0.31113,0.91466
191,19200,-0.36168,0.85872,-0.30632,0.91604
192,19300,-0.35412,0.81076,-0.30359,0.92943
193,19400,-0.32317,0.83205,-0.29053,0.87121
194,19500,-0.34053,0.85179,-0.31185,0.83409
195,19600,-0.33050,0.97612,-0.28488,1.07419
196,19700,-0.32613,0.90555,-0.33159,0.82752
197,19800,-0.33030,0.84033,-0.31704,0.85192
198,19900,-0.31199,1.01113,-0.31812,0.91279
199,20000,-0.32265,0.90531,-0.29620,0.97358
200,20100,-0.30528,0.84823,-0.28616,0.98228
201,20200,-0.32825,0.95372,-0.30384,0.93833
202,20300,-0.31425,0.84447,-0.31085,0.91548
203,20400,-0.28270,0.89772,-0.28474,0.97849
204,20500,-0.29753,0.77740,-0.30167,0.90179
205,20600,-0.30591,0.95747,-0.29017,0.88140
206,20700,-0.30410,0.84105,-0.28540,0.90957
207,20800,-0.30308,0.97272,-0.25668,0.98353
208,20900,-0.26612,0.98341,-0.28332,0.86433
209,21000,-0.27657,0.96798,-0.25413,0.90046
210,21100,-0.29250,0.77705,-0.24141,0.95143
211,21200,-0.28438,0.88233,-0.26013,0.96117
212,21300,-0.28257,0.87821,-0.24848,0.92930
213,21400,-0.29705,0.82554,-0.23578,0.97672
214,21500,-0.29118,0.94716,-0.22370,0.96158
215,21600,-0.28315,0.91957,-0.24151,0.91277
216,21700,-0.25380,1.13084,-0.22213,0.95973
217,21800,-0.27685,0.80867,-0.22230,0.94176
218,21900,-0.26211,0.97470,-0.23853,1.05715
219,22000,-0.26098,0.94412,-0.23398,0.90091
220,22100,-0.27859,0.83364,-0.21191,0.94418
221,22200,-0.28543,0.88840,-0.19717,1.09085
222,22300,-0.29151,0.82659,-0.22784,0.93390
223,22400,-0.26508,0.94217,-0.20309,1.00698
224,22500,-0.26663,0.89128,-0.22106,0.92917
225,22600,-0.26596,0.94694,-0.22271,0.94046
