iteration,episode,1_iql_loss,2_iql_loss,3_iql_loss,4_iql_loss
222,22300,1.32194,1.38157,1.34807,0.97612
223,22400,1.39459,1.43091,1.38023,1.02567
224,22500,1.39314,1.38856,1.35844,0.99578
225,22600,1.28083,1.41777,1.44367,1.01589
226,22700,1.37769,1.35720,1.33619,0.99907
227,22800,1.36604,1.38236,1.33769,1.01544
228,22900,1.42591,1.48577,1.37294,1.01113
229,23000,1.40572,1.39233,1.48714,0.97590
230,23100,1.38132,1.42327,1.40606,1.04640
231,23200,1.39739,1.40316,1.43090,1.01946
232,23300,1.36978,1.44810,1.40939,0.94756
233,23400,1.36766,1.43271,1.45061,0.97588
234,23500,1.41797,1.43391,1.45195,1.04885
235,23600,1.34194,1.46676,1.41087,0.98557
236,23700,1.35206,1.41733,1.37336,0.90864
237,23800,1.39285,1.48435,1.41594,1.02059
238,23900,1.36800,1.37895,1.36387,0.96996
239,24000,1.40249,1.38424,1.42543,0.99531
240,24100,1.37616,1.45277,1.43022,0.97961
241,24200,1.44265,1.48385,1.45481,1.01510
242,24300,1.38725,1.46014,1.41229,0.98546
243,24400,1.40548,1.46538,1.43384,0.95491
244,24500,1.36745,1.40388,1.44584,0.98409
245,24600,1.41301,1.42966,1.42076,1.03010
246,24700,1.38150,1.42281,1.47939,1.01403
247,24800,1.39047,1.43604,1.49919,0.98435
248,24900,1.36353,1.40289,1.41596,0.96748
