iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss,4_iql_loss,4_icm_forward_loss,4_icm_inverse_loss
117,11800,1.14874,0.15656,1.59874,1.17758,0.15633,1.59759,1.17246,0.15690,1.59897,0.95956,0.11578,1.60479
118,11900,1.15053,0.15478,1.59909,1.11800,0.15447,1.59800,1.20982,0.15478,1.59932,0.92061,0.11449,1.60474
119,12000,1.15034,0.15306,1.59895,1.21566,0.15256,1.59742,1.21381,0.15314,1.60026,0.99426,0.11338,1.60483
120,12100,1.17710,0.15124,1.59871,1.17903,0.15081,1.59714,1.25262,0.15126,1.59859,0.99674,0.11201,1.60448
121,12200,1.20767,0.14937,1.59930,1.18140,0.14893,1.59726,1.27886,0.14953,1.59893,0.97447,0.11083,1.60467
122,12300,1.27233,0.14783,1.59817,1.19270,0.14728,1.59698,1.15594,0.14777,1.59953,0.95114,0.10950,1.60453
123,12400,1.20434,0.14594,1.59886,1.18656,0.14539,1.59688,1.25260,0.14610,1.59815,0.91780,0.10838,1.60441
124,12500,1.30365,0.14427,1.59837,1.13461,0.14368,1.59725,1.23570,0.14418,1.59923,0.97866,0.10699,1.60396
125,12600,1.20287,0.14254,1.59801,1.24291,0.14210,1.59656,1.25159,0.14253,1.59930,0.93408,0.10585,1.60426
126,12700,1.29796,0.14088,1.59925,1.20074,0.14037,1.59747,1.27201,0.14079,1.59900,1.07228,0.10467,1.60415
127,12800,1.19195,0.13927,1.59889,1.30403,0.13854,1.59603,1.26032,0.13912,1.59873,0.96959,0.10335,1.60399
128,12900,1.16708,0.13744,1.59801,1.21310,0.13688,1.59658,1.33952,0.13744,1.59856,0.95027,0.10219,1.60457
129,13000,1.27098,0.13590,1.59924,1.27141,0.13523,1.59597,1.27202,0.13567,1.59935,0.95593,0.10106,1.60400
130,13100,1.17206,0.13423,1.59821,1.18013,0.13372,1.59638,1.12413,0.13406,1.59780,0.98093,0.09988,1.60447
131,13200,1.22565,0.13254,1.59803,1.19597,0.13189,1.59670,1.38580,0.13229,1.59835,1.03863,0.09870,1.60369
132,13300,1.24185,0.13075,1.59816,1.27224,0.13026,1.59611,1.25513,0.13073,1.59889,1.03991,0.09760,1.60377
133,13400,1.17920,0.12910,1.59884,1.12149,0.12869,1.59579,1.24429,0.12896,1.59806,0.97747,0.09640,1.60396
134,13500,1.19066,0.12755,1.59827,1.25494,0.12706,1.59495,1.25039,0.12757,1.59848,0.90933,0.09525,1.60352
135,13600,1.17555,0.12611,1.59791,1.23812,0.12527,1.59563,1.18388,0.12573,1.59803,0.98734,0.09412,1.60292
136,13700,1.25440,0.12448,1.59785,1.26765,0.12383,1.59524,1.25784,0.12438,1.59760,1.00474,0.09306,1.60345
137,13800,1.19022,0.12293,1.59823,1.25201,0.12219,1.59571,1.27928,0.12271,1.59780,1.02959,0.09186,1.60345
138,13900,1.25461,0.12123,1.59791,1.21043,0.12059,1.59516,1.27282,0.12114,1.59782,1.02969,0.09086,1.60351
139,14000,1.24882,0.11959,1.59764,1.27499,0.11894,1.59613,1.29043,0.11964,1.59712,1.02168,0.08971,1.60330
140,14100,1.24813,0.11807,1.59734,1.17715,0.11748,1.59632,1.26909,0.11808,1.59745,0.98450,0.08865,1.60344
141,14200,1.24925,0.11664,1.59655,1.22101,0.11584,1.59552,1.28081,0.11656,1.59768,0.97178,0.08752,1.60271
142,14300,1.21533,0.11516,1.59693,1.26618,0.11446,1.59555,1.23789,0.11498,1.59678,0.98866,0.08653,1.60274
