iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value,4_maddpg_actor_loss,4_maddpg_critic_loss,4_count_value
86,8700,-23.14504,2.16386,0.33588,-23.20341,2.75524,0.33969,-23.79724,2.72434,0.33666,-20.19527,2.39365,0.30552
87,8800,-23.23136,2.42849,0.33822,-23.29766,2.70099,0.34041,-23.83304,2.76883,0.33893,-20.20454,2.25693,0.30327
88,8900,-23.31434,3.00190,0.33570,-23.26296,2.55416,0.33866,-23.84808,2.45722,0.33538,-20.32658,2.07117,0.30277
89,9000,-23.22718,2.49342,0.33744,-23.53715,2.25880,0.33793,-23.79899,2.39544,0.33904,-20.28911,2.06016,0.30213
90,9100,-23.28052,2.17927,0.33543,-23.60658,3.03368,0.33891,-23.88664,2.39410,0.33752,-20.38272,2.31591,0.30091
91,9200,-23.38126,2.16550,0.33866,-23.49037,2.73153,0.33811,-23.83660,2.44055,0.33463,-20.53564,2.32302,0.30194
92,9300,-23.48156,2.15053,0.33601,-23.50452,2.69443,0.33785,-23.97279,2.43757,0.33532,-20.51147,2.55768,0.29855
93,9400,-23.52052,2.17856,0.33819,-23.69531,2.34258,0.33676,-23.97173,2.30277,0.33352,-20.52730,2.76881,0.29626
94,9500,-23.58384,2.33605,0.33807,-23.68331,2.77517,0.33605,-23.99161,2.51534,0.33717,-20.59009,1.84996,0.29713
95,9600,-23.52315,2.63093,0.33741,-23.78699,2.53554,0.33560,-24.06925,3.03507,0.33579,-20.62365,1.72253,0.29662
96,9700,-23.70520,2.65797,0.33892,-23.76005,2.49960,0.33386,-24.05252,2.66077,0.33717,-20.48188,2.04694,0.29734
97,9800,-23.72772,2.98991,0.33602,-23.77992,2.44945,0.33574,-23.96473,2.38098,0.33463,-20.68429,2.23169,0.29261
98,9900,-23.71614,2.47979,0.33481,-23.82994,2.87936,0.33686,-23.96469,2.49639,0.33575,-20.58231,2.10351,0.29183
99,10000,-23.68828,2.60433,0.33648,-23.99650,2.73788,0.33549,-24.12011,2.35280,0.33490,-20.56326,2.55979,0.29013
100,10100,-23.90204,2.50878,0.33503,-23.81139,3.37391,0.34045,-24.08839,2.23519,0.33515,-20.78948,2.19444,0.29129
101,10200,-23.99109,2.20644,0.33635,-24.05347,2.49722,0.33396,-24.22770,2.31434,0.33346,-20.66679,2.06049,0.28696
102,10300,-24.15559,1.99008,0.33427,-24.03862,2.03866,0.33539,-24.30812,2.26282,0.33470,-20.58209,2.36810,0.28751
103,10400,-24.08296,2.25447,0.33375,-23.97750,2.33046,0.33261,-24.08933,2.69069,0.33309,-20.80292,1.91405,0.28710
104,10500,-24.08230,2.23933,0.33428,-24.10497,2.41722,0.33058,-24.25562,2.74817,0.33529,-20.61325,2.12163,0.28515
105,10600,-24.02496,2.17791,0.33553,-24.11336,2.39262,0.33412,-24.06348,2.80477,0.33220,-20.69935,2.10064,0.28433
106,10700,-24.15896,2.06402,0.33366,-24.08793,2.61936,0.33229,-24.33973,2.38903,0.33574,-20.76382,2.25924,0.28263
107,10800,-24.14440,2.06932,0.33246,-24.29011,2.41979,0.33375,-24.24020,2.23800,0.33293,-20.61755,2.35092,0.28002
108,10900,-24.22056,2.09898,0.33609,-24.33256,2.38859,0.33331,-24.20993,2.27301,0.33424,-20.66921,1.88032,0.28005
109,11000,-24.13812,2.11176,0.33431,-24.33386,2.18710,0.33582,-24.39277,2.40445,0.33253,-20.62001,2.19333,0.27744
110,11100,-24.34552,2.20088,0.33348,-24.33379,2.32852,0.32959,-24.23641,2.19557,0.33053,-20.60740,2.03315,0.27388
111,11200,-24.26211,2.17222,0.33323,-24.31500,2.45542,0.33034,-24.37756,2.73563,0.33443,-20.50954,2.12594,0.27693
112,11300,-24.40860,2.19154,0.33554,-24.33975,2.25128,0.32971,-24.32881,2.59410,0.33176,-20.74191,2.56084,0.27394
113,11400,-24.41715,2.06877,0.33634,-24.32275,2.56490,0.32728,-24.25140,2.42006,0.32819,-20.59041,2.12316,0.27442
114,11500,-24.48540,2.18712,0.33503,-24.15718,3.10445,0.32924,-24.39268,2.31572,0.32866,-20.50048,2.18269,0.27522
115,11600,-24.30298,2.22323,0.33490,-24.28130,2.39301,0.32885,-24.19825,2.26666,0.32876,-20.54458,1.88607,0.27188
116,11700,-24.59446,2.21417,0.33271,-24.36231,2.23556,0.32700,-24.36364,2.31291,0.33006,-20.42969,1.88507,0.26922
117,11800,-24.52136,2.15394,0.33349,-24.28081,2.51876,0.32746,-24.19572,2.27850,0.32973,-20.41810,1.81967,0.27048
118,11900,-24.46645,2.18151,0.33198,-24.42042,2.34628,0.32745,-24.16102,2.18131,0.32782,-20.51213,1.99318,0.27228
119,12000,-24.58438,2.19387,0.33243,-24.40160,2.27181,0.32777,-24.19160,2.20392,0.33174,-20.36305,2.12568,0.26887
120,12100,-24.60813,2.21056,0.33337,-24.40825,2.16147,0.32818,-24.11329,2.29072,0.32812,-20.50406,2.11743,0.26774
121,12200,-24.50285,2.15930,0.32976,-24.25654,2.11529,0.32706,-24.24469,2.28614,0.32709,-20.37678,2.25573,0.26825
122,12300,-24.65946,2.56419,0.33083,-24.19256,2.16240,0.32752,-24.05931,2.31026,0.32825,-20.58682,2.28003,0.26739
123,12400,-24.55091,3.27762,0.33279,-24.21355,2.21502,0.32772,-24.28865,2.60819,0.32822,-20.37915,2.04439,0.26549
124,12500,-24.41857,2.77472,0.33183,-24.38452,2.98130,0.32717,-24.24122,2.99589,0.33139,-20.28321,2.37500,0.26544
125,12600,-24.57870,2.10406,0.33211,-24.35341,2.87614,0.32818,-24.19355,2.49800,0.32878,-20.36804,1.98568,0.26394
126,12700,-24.48928,2.42372,0.32991,-24.25140,3.19890,0.32814,-24.09153,2.64507,0.32630,-20.32786,2.07451,0.26459
127,12800,-24.49293,2.46832,0.32941,-24.24398,2.27311,0.32425,-24.04581,2.55928,0.32695,-20.31339,1.77054,0.26276
128,12900,-24.33636,2.34826,0.32981,-24.39882,2.32780,0.32804,-23.91821,2.73274,0.32659,-20.28286,1.79132,0.26386
129,13000,-24.56848,2.31094,0.33428,-24.20033,2.71988,0.32679,-23.99008,2.19755,0.32782,-20.26922,2.28764,0.26251
130,13100,-24.41023,2.43506,0.33004,-24.22566,2.69983,0.32583,-23.97475,2.65409,0.32697,-20.35428,1.82592,0.26059
131,13200,-24.44002,2.28715,0.32942,-24.19604,2.34258,0.32896,-24.00150,2.55666,0.32839,-20.26637,1.92686,0.26244
132,13300,-24.45933,2.21075,0.33022,-24.38172,2.47568,0.32786,-23.90085,2.66251,0.32597,-20.18321,2.13821,0.26006
133,13400,-24.54228,2.25932,0.32859,-24.24060,2.35891,0.32564,-24.01166,2.84870,0.32724,-20.26685,1.96694,0.26106
134,13500,-24.65430,2.23053,0.32702,-24.36796,2.58016,0.32532,-23.97401,2.38968,0.32788,-20.17519,2.29402,0.25996
135,13600,-24.52641,2.15930,0.32852,-24.28255,2.69781,0.32744,-23.98880,2.57268,0.32465,-20.11623,2.02146,0.25953
136,13700,-24.59941,2.38028,0.33155,-24.35230,2.27733,0.32629,-24.04961,2.95471,0.32610,-20.02299,1.99205,0.25966
137,13800,-24.59052,2.61979,0.32655,-24.36771,2.22275,0.32399,-23.93082,2.98727,0.32731,-20.08663,1.92751,0.26049
138,13900,-24.51524,2.33048,0.32840,-24.33527,2.91423,0.32645,-23.98941,3.11415,0.32427,-20.17621,2.14953,0.25765
139,14000,-24.55669,2.37310,0.32712,-24.32571,2.65405,0.32235,-24.19558,2.47310,0.32397,-20.09813,2.09863,0.25970
140,14100,-24.65025,2.29315,0.32873,-24.45802,2.73804,0.32639,-23.96593,2.53100,0.32619,-20.10802,1.94111,0.25812
141,14200,-24.54958,2.62977,0.32904,-24.40600,2.32045,0.32357,-24.09569,2.33633,0.32645,-20.11970,2.05795,0.25735
142,14300,-24.68916,2.35394,0.32668,-24.51997,2.61245,0.32520,-24.19368,2.66764,0.32726,-20.01039,1.97800,0.25809
143,14400,-24.64143,2.07219,0.32628,-24.48095,3.44549,0.32574,-24.03163,3.49523,0.32687,-20.10467,1.82694,0.25714
144,14500,-24.59832,2.10897,0.32509,-24.55591,2.67566,0.32499,-24.09365,2.73656,0.32491,-20.09839,1.87927,0.25692
145,14600,-24.58189,2.14792,0.32623,-24.50709,2.61229,0.32708,-24.16134,2.42681,0.32387,-19.99298,2.06966,0.25566
146,14700,-24.74088,2.12720,0.32553,-24.51681,2.54738,0.32562,-24.20125,2.30610,0.32485,-20.06745,2.41460,0.25605
147,14800,-24.65544,2.20758,0.32717,-24.71841,3.08482,0.32460,-24.28057,2.44194,0.32307,-19.89914,2.15559,0.25618
148,14900,-24.77907,2.18427,0.32265,-24.63898,2.95642,0.32462,-24.23923,2.78905,0.32318,-20.09477,1.94813,0.25507
149,15000,-24.70406,2.24959,0.32505,-24.71090,2.57283,0.32424,-24.20576,2.75654,0.32456,-19.94183,1.90838,0.25670
150,15100,-24.83980,2.22317,0.32412,-24.77030,2.45489,0.32485,-24.29571,2.53795,0.32340,-20.05107,1.96959,0.25549
151,15200,-24.81666,2.25735,0.32580,-24.78876,2.32276,0.32327,-24.58642,3.03410,0.32300,-19.81522,2.08291,0.25395
152,15300,-24.79464,2.36663,0.32330,-24.91754,2.68108,0.32477,-24.51288,3.01997,0.32547,-20.27303,2.49457,0.25760
153,15400,-24.96073,2.26950,0.32268,-24.95281,2.63834,0.32406,-24.51087,2.52314,0.32146,-19.82082,2.24024,0.25813
154,15500,-24.92346,2.37343,0.32277,-24.87234,2.94279,0.32211,-24.54374,2.39885,0.32448,-19.87353,1.90383,0.25910
155,15600,-25.08645,2.64558,0.32426,-24.97925,2.62067,0.32376,-24.58737,2.46163,0.32291,-19.93499,2.37995,0.25876
156,15700,-24.97807,2.70773,0.32429,-25.15968,3.07900,0.32431,-24.71894,2.63123,0.32240,-19.93238,2.02087,0.25859
157,15800,-25.08470,2.45464,0.32043,-25.18853,2.64200,0.32508,-24.80969,2.77343,0.32345,-19.99140,1.86179,0.25828
158,15900,-25.00259,2.73172,0.31968,-25.18652,4.00469,0.32158,-24.83268,2.60199,0.32238,-20.03083,1.85045,0.26022
159,16000,-25.21828,2.86889,0.32413,-25.10996,3.29888,0.32329,-24.68950,3.03715,0.32465,-19.91182,1.82675,0.25923
160,16100,-25.19350,2.66842,0.32499,-25.23724,3.57609,0.32035,-24.84217,3.14839,0.32343,-19.95725,1.87928,0.25688
161,16200,-25.27345,2.67744,0.32213,-25.33565,2.68984,0.32154,-24.81348,2.97949,0.32355,-19.96285,1.92664,0.25836
162,16300,-25.32352,2.77514,0.32191,-25.41280,2.78593,0.32154,-24.82765,2.91947,0.32365,-19.97026,1.93925,0.25683
163,16400,-25.27716,2.56554,0.32159,-25.30040,2.83301,0.32148,-24.90197,2.92465,0.32326,-19.98126,1.95703,0.25839
164,16500,-25.29829,2.43451,0.32313,-25.44587,2.85545,0.32260,-24.95390,2.48591,0.32231,-19.98142,1.92299,0.25570
165,16600,-25.36871,2.94510,0.32111,-25.43359,2.69779,0.31875,-25.09087,2.94709,0.32212,-19.93852,1.91086,0.25710
166,16700,-25.58248,2.76148,0.32270,-25.58140,3.06864,0.32423,-25.04328,2.92165,0.32410,-19.97902,1.93352,0.25786
167,16800,-25.53381,2.69981,0.32020,-25.52103,2.93241,0.32458,-25.11594,2.73440,0.32280,-20.04238,1.90837,0.25382
168,16900,-25.54250,3.39958,0.31913,-25.50568,3.45869,0.32346,-25.02642,3.47277,0.32146,-20.09052,1.97754,0.25672
169,17000,-25.55268,3.27523,0.31928,-25.67082,2.56513,0.32199,-25.25612,2.95346,0.32202,-20.02033,1.97643,0.25723
170,17100,-25.68638,2.70536,0.32001,-25.67705,2.94199,0.32204,-25.31010,2.95306,0.32304,-20.10853,1.93936,0.25536
171,17200,-25.64903,3.30669,0.32054,-25.74445,2.81697,0.31919,-25.39925,3.21278,0.32076,-20.09735,2.02591,0.25943
172,17300,-25.58545,2.86750,0.31705,-25.98284,2.65468,0.32392,-25.35662,2.87019,0.32119,-20.09895,2.01556,0.26001
173,17400,-25.55744,3.33717,0.31485,-25.86308,2.61110,0.32141,-25.40888,2.75583,0.32173,-20.06061,1.96383,0.25731
174,17500,-25.66540,3.00284,0.31896,-25.97514,2.68686,0.32056,-25.50800,2.89729,0.31983,-20.15412,2.08592,0.25695
175,17600,-25.72813,3.09238,0.32088,-25.89985,2.83653,0.32056,-25.49554,2.83321,0.32149,-19.99343,2.40034,0.25862
176,17700,-25.75041,3.20025,0.31768,-25.89825,3.28303,0.32034,-25.57705,2.98535,0.31754,-20.03914,2.29063,0.25562
177,17800,-25.80906,3.11867,0.31945,-26.19293,2.88134,0.32055,-25.57775,3.07646,0.32113,-20.22417,2.11766,0.25881
178,17900,-25.76868,3.05098,0.31882,-26.17080,2.71847,0.32040,-25.68768,3.05905,0.31984,-20.20781,2.00366,0.25691
179,18000,-25.59827,3.24813,0.31623,-26.23656,3.07327,0.32103,-25.67996,2.94561,0.32032,-20.28637,2.18767,0.25641
180,18100,-25.91185,2.93782,0.32127,-26.05291,3.26475,0.31632,-25.60928,2.77539,0.31985,-20.21895,2.19527,0.25799
181,18200,-25.83928,3.56670,0.32023,-26.18337,2.81333,0.31896,-25.67942,2.86162,0.31770,-20.21574,2.07272,0.25650
182,18300,-25.86245,3.40458,0.31740,-26.33149,3.08700,0.31913,-25.72373,2.93415,0.32146,-20.20052,2.16103,0.25768
183,18400,-26.00206,3.15234,0.31860,-26.41681,3.56858,0.31979,-25.76957,2.97928,0.32098,-20.22880,2.07584,0.25641
184,18500,-25.73477,3.33069,0.31710,-26.33905,3.55894,0.32047,-25.85781,2.98001,0.31972,-20.16461,2.20767,0.25858
185,18600,-25.83397,3.24336,0.31893,-26.48528,3.06880,0.31874,-25.84038,3.12423,0.31993,-20.21910,1.93892,0.25767
