iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss
151,15200,-8.23510,1.47880,0.07690,1.09049,-15.24429,1.70224,0.20197,1.59144
152,15300,-8.16868,1.54206,0.07570,1.09110,-15.14223,1.79861,0.19994,1.59153
153,15400,-8.03347,1.52067,0.07412,1.09046,-14.97231,1.60965,0.19814,1.59031
154,15500,-7.99754,1.45427,0.07265,1.09012,-14.94396,1.56493,0.19580,1.59232
155,15600,-7.92870,1.46099,0.07127,1.09022,-14.79428,1.53891,0.19402,1.59008
156,15700,-7.78707,1.46100,0.06992,1.08993,-14.76442,1.54204,0.19219,1.59022
157,15800,-7.67073,1.60435,0.06858,1.08973,-14.70956,1.57663,0.19017,1.59085
158,15900,-7.61828,1.49272,0.06721,1.08934,-14.58856,1.57353,0.18811,1.59122
159,16000,-7.59582,1.49179,0.06590,1.08923,-14.50838,1.51380,0.18624,1.59063
160,16100,-7.46339,1.54890,0.06478,1.08949,-14.30316,1.55264,0.18405,1.59078
161,16200,-7.34430,1.54615,0.06361,1.08967,-14.24612,1.60073,0.18219,1.59078
162,16300,-7.26362,1.52282,0.06218,1.08881,-14.15608,1.58007,0.18053,1.59001
163,16400,-7.16200,1.49959,0.06129,1.08960,-14.04124,1.57477,0.17830,1.59073
164,16500,-7.09251,1.58393,0.05991,1.08879,-14.00626,1.60174,0.17683,1.59013
165,16600,-6.97291,1.49230,0.05862,1.08830,-13.83625,1.59649,0.17473,1.59085
166,16700,-6.93714,1.59632,0.05750,1.08828,-13.76613,1.54644,0.17279,1.59046
167,16800,-6.82603,1.54268,0.05649,1.08856,-13.67129,1.67867,0.17122,1.58884
168,16900,-6.79095,1.54488,0.05536,1.08849,-13.49322,1.62930,0.16925,1.58978
169,17000,-6.68176,1.61552,0.05420,1.08815,-13.32603,1.63089,0.16748,1.58978
170,17100,-6.63578,1.57036,0.05309,1.08782,-13.28092,1.53590,0.16567,1.58959
171,17200,-6.49739,1.58111,0.05197,1.08757,-13.16060,1.51486,0.16366,1.58869
172,17300,-6.45389,1.50887,0.05092,1.08723,-13.09787,1.60818,0.16204,1.58961
173,17400,-6.34323,1.52634,0.04995,1.08742,-12.95949,1.60318,0.16024,1.58939
174,17500,-6.31092,1.70179,0.04894,1.08715,-12.84342,1.63585,0.15855,1.58847
175,17600,-6.22443,1.52690,0.04784,1.08670,-12.76390,1.60424,0.15667,1.58849
176,17700,-6.17844,1.55875,0.04692,1.08680,-12.61866,1.57337,0.15506,1.58775
177,17800,-6.07814,1.61314,0.04612,1.08726,-12.57503,1.66155,0.15318,1.58796
178,17900,-5.98745,1.66661,0.04503,1.08621,-12.38496,1.65897,0.15137,1.58884
179,18000,-5.96422,1.59346,0.04396,1.08542,-12.28781,1.67855,0.14985,1.58737
180,18100,-5.88106,1.58596,0.04332,1.08610,-12.19612,1.56977,0.14809,1.58721
181,18200,-5.84215,1.68570,0.04241,1.08573,-12.17262,1.66005,0.14655,1.58728
182,18300,-5.68066,1.56796,0.04163,1.08562,-12.02420,1.64320,0.14475,1.58812
183,18400,-5.65652,1.59237,0.04103,1.08643,-11.86139,1.63236,0.14325,1.58724
184,18500,-5.56222,1.62608,0.03994,1.08476,-11.75626,1.57176,0.14142,1.58704
185,18600,-5.50085,1.59367,0.03945,1.08574,-11.69904,1.63920,0.13988,1.58709
186,18700,-5.40561,1.62863,0.03862,1.08525,-11.61191,1.57668,0.13807,1.58672
187,18800,-5.36906,1.60260,0.03792,1.08505,-11.51233,1.67888,0.13666,1.58639
188,18900,-5.30747,1.63511,0.03725,1.08509,-11.48338,1.77708,0.13515,1.58604
189,19000,-5.27220,1.59396,0.03673,1.08578,-11.34370,1.64703,0.13352,1.58593
190,19100,-5.19316,1.61227,0.03596,1.08493,-11.22288,1.62802,0.13209,1.58603
191,19200,-5.08168,1.62656,0.03534,1.08492,-11.14875,1.73105,0.13030,1.58487
192,19300,-5.08477,1.60298,0.03477,1.08502,-11.06700,1.62913,0.12863,1.58496
193,19400,-4.98229,1.69890,0.03404,1.08404,-10.96454,1.69371,0.12737,1.58472
194,19500,-4.91769,1.62589,0.03349,1.08395,-10.85225,1.57580,0.12572,1.58495
195,19600,-4.87095,1.56602,0.03298,1.08422,-10.79293,1.64362,0.12436,1.58452
196,19700,-4.84231,1.53600,0.03250,1.08441,-10.71058,1.62502,0.12280,1.58538
197,19800,-4.79152,1.66871,0.03201,1.08456,-10.58947,1.77128,0.12118,1.58484
198,19900,-4.71450,1.52078,0.03144,1.08411,-10.48351,1.60972,0.11985,1.58273
199,20000,-4.65749,1.63408,0.03095,1.08404,-10.43291,1.64588,0.11834,1.58449
200,20100,-4.59945,1.59965,0.03047,1.08417,-10.27932,1.63544,0.11682,1.58378
201,20200,-4.52815,1.50838,0.02997,1.08385,-10.21783,1.54444,0.11549,1.58345
202,20300,-4.51457,1.53597,0.02958,1.08424,-10.13572,1.61142,0.11415,1.58307
203,20400,-4.41465,1.54799,0.02907,1.08377,-9.99058,1.73816,0.11262,1.58274
204,20500,-4.38268,1.64595,0.02855,1.08320,-9.96182,1.57865,0.11130,1.58180
205,20600,-4.33723,1.64668,0.02819,1.08358,-9.86966,1.64275,0.10985,1.58311
206,20700,-4.30192,1.57642,0.02776,1.08345,-9.75688,1.65483,0.10859,1.58203
207,20800,-4.24759,1.66370,0.02737,1.08358,-9.68203,1.79195,0.10704,1.58234
208,20900,-4.20807,1.63800,0.02687,1.08278,-9.62299,1.77608,0.10577,1.58240
209,21000,-4.12157,1.58064,0.02661,1.08360,-9.53603,1.63925,0.10415,1.58278
210,21100,-4.12035,1.64624,0.02614,1.08315,-9.44289,1.60831,0.10297,1.58089
211,21200,-4.03231,1.62934,0.02576,1.08285,-9.40812,1.61969,0.10182,1.58225
