iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss
175,17600,0.96760,0.03626,1.44144,0.69868,0.03630,1.44941
176,17700,0.99337,0.03638,1.44783,0.69395,0.03624,1.45153
177,17800,0.98850,0.03648,1.44276,0.71107,0.03628,1.44293
178,17900,0.97259,0.03619,1.44527,0.68202,0.03653,1.44266
179,18000,0.99515,0.03650,1.43524,0.69310,0.03660,1.42964
180,18100,1.02473,0.03644,1.43073,0.70917,0.03664,1.42898
181,18200,0.98154,0.03669,1.42971,0.67674,0.03674,1.42785
182,18300,0.96915,0.03657,1.42153,0.70545,0.03681,1.41843
183,18400,0.99626,0.03663,1.42429,0.69633,0.03690,1.41849
184,18500,1.02883,0.03742,1.41906,0.72554,0.03687,1.41455
185,18600,0.97497,0.03697,1.40923,0.71868,0.03730,1.40537
186,18700,0.97032,0.03727,1.40419,0.67921,0.03724,1.40643
187,18800,0.95928,0.03761,1.39983,0.68418,0.03739,1.40295
188,18900,0.98018,0.03717,1.39529,0.69490,0.03746,1.39276
189,19000,1.02961,0.03781,1.39039,0.68455,0.03779,1.39906
190,19100,0.95348,0.03780,1.39014,0.69710,0.03826,1.38784
191,19200,0.95485,0.03793,1.38880,0.71958,0.03833,1.38608
192,19300,0.98576,0.03808,1.38684,0.71138,0.03839,1.38112
193,19400,1.01941,0.03850,1.37417,0.69844,0.03849,1.37524
194,19500,1.02723,0.03927,1.37062,0.71853,0.03881,1.36272
195,19600,0.99539,0.03882,1.36508,0.69913,0.03890,1.36262
196,19700,0.94064,0.03886,1.36663,0.70121,0.03926,1.36540
197,19800,0.96424,0.03915,1.36597,0.73436,0.03993,1.36488
198,19900,0.98540,0.03995,1.36091,0.71278,0.03968,1.35760
199,20000,0.95606,0.03964,1.35325,0.71343,0.04027,1.35787
200,20100,0.99976,0.04010,1.34817,0.72182,0.04003,1.34779
201,20200,0.99652,0.04053,1.33992,0.73162,0.04024,1.33749
202,20300,1.00674,0.04070,1.34468,0.70813,0.04065,1.33716
203,20400,1.00651,0.04123,1.33819,0.74179,0.04092,1.32864
204,20500,0.99392,0.04130,1.33733,0.70442,0.04146,1.32862
205,20600,0.98356,0.04156,1.31985,0.72057,0.04132,1.32554
206,20700,0.97756,0.04193,1.32166,0.72548,0.04181,1.31778
207,20800,0.97832,0.04225,1.31959,0.74728,0.04200,1.31333
208,20900,0.93356,0.04239,1.30892,0.76603,0.04259,1.31615
209,21000,0.97657,0.04275,1.29973,0.76363,0.04289,1.30293
210,21100,1.00357,0.04337,1.29297,0.75438,0.04339,1.30318
211,21200,1.02762,0.04353,1.29464,0.74317,0.04332,1.29892
212,21300,0.99762,0.04389,1.28829,0.75011,0.04365,1.29858
213,21400,1.01492,0.04433,1.28351,0.74339,0.04425,1.29425
214,21500,0.98097,0.04409,1.27273,0.77501,0.04436,1.28331
