iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value,4_iql_loss,4_count_value
123,12400,2.23879,0.30407,2.34684,0.32831,2.55883,0.32189,2.16402,0.32711
124,12500,2.43863,0.30406,2.58636,0.32841,2.40148,0.32098,2.03140,0.32644
125,12600,2.46825,0.30486,2.43851,0.32652,2.51483,0.32222,1.89386,0.32564
126,12700,2.19299,0.30512,2.38891,0.32607,2.31476,0.32108,1.94031,0.32690
127,12800,2.39510,0.30484,2.78425,0.32749,2.45668,0.32703,1.89255,0.32285
128,12900,2.29409,0.30689,2.50402,0.32629,2.31541,0.32544,2.00129,0.32341
129,13000,2.52685,0.30472,2.36981,0.32616,2.44646,0.32455,2.15634,0.32645
130,13100,2.38587,0.30426,2.41050,0.32879,2.39708,0.32586,2.02260,0.32648
131,13200,2.51898,0.30578,2.28371,0.32744,2.52717,0.32629,1.95246,0.32424
132,13300,2.30540,0.30397,2.48228,0.32643,2.35658,0.32593,2.06164,0.32310
133,13400,2.39229,0.30615,2.49544,0.32456,2.36253,0.32695,1.89385,0.32049
134,13500,2.31233,0.30758,2.41230,0.32464,2.68831,0.32577,1.97250,0.32466
135,13600,2.24238,0.30425,2.55943,0.32684,2.51035,0.32811,1.88094,0.32124
136,13700,2.31374,0.30568,2.52703,0.32455,2.45034,0.32685,2.16280,0.32051
137,13800,2.47511,0.30750,2.64355,0.32568,2.64607,0.32827,1.99504,0.31818
138,13900,2.36061,0.30710,2.27676,0.32344,2.32038,0.33087,2.12786,0.32085
139,14000,2.34532,0.30423,2.44446,0.32238,2.40193,0.32862,2.21540,0.31984
140,14100,2.50502,0.30704,2.42487,0.32440,2.52967,0.32976,2.10857,0.32095
141,14200,2.35666,0.30724,2.35561,0.32359,2.61524,0.33027,1.92086,0.32080
142,14300,2.23488,0.30958,2.25504,0.32211,2.63995,0.33041,2.03699,0.32027
143,14400,2.25755,0.30612,2.56223,0.32148,2.65221,0.32885,1.92516,0.31861
144,14500,2.40213,0.30759,2.54400,0.32395,2.46864,0.33218,2.18760,0.31731
145,14600,2.25680,0.30751,2.34586,0.32428,2.39619,0.33199,2.15522,0.32101
146,14700,2.41953,0.30619,2.35157,0.32367,2.55581,0.32762,2.08579,0.32048
147,14800,2.62290,0.30879,2.51426,0.32232,2.39204,0.33095,2.03189,0.31733
148,14900,2.51577,0.30951,2.54794,0.32740,2.68087,0.33237,1.91385,0.31940
149,15000,2.63505,0.30962,2.55359,0.32415,2.39241,0.33292,2.14050,0.31658
150,15100,2.46677,0.30944,2.58479,0.32427,2.42239,0.33140,2.08047,0.32196
151,15200,2.76262,0.30795,2.70700,0.32394,2.49621,0.33297,1.97577,0.31788
152,15300,2.33769,0.31019,2.37471,0.32447,2.52616,0.33267,2.02446,0.31822
153,15400,2.45381,0.31056,2.38098,0.32374,2.51011,0.33086,1.96293,0.31717
154,15500,2.42033,0.30659,2.47604,0.32680,2.39342,0.32984,2.06042,0.31890
155,15600,2.61554,0.31175,2.39376,0.32581,2.32010,0.33467,1.75453,0.31532
156,15700,2.60539,0.31065,2.06615,0.32557,2.52654,0.33332,1.99572,0.31784
157,15800,2.58176,0.31080,2.49197,0.32635,2.31453,0.33049,2.14423,0.31706
158,15900,2.46837,0.30973,2.52602,0.32216,2.44015,0.33098,2.08999,0.31611
159,16000,2.57725,0.31163,2.57524,0.32494,2.31116,0.33031,2.02126,0.31658
160,16100,2.50690,0.31296,2.38831,0.32777,2.58331,0.33167,2.14589,0.31581
161,16200,2.44897,0.31109,2.46538,0.32835,2.59027,0.33240,2.17974,0.31638
162,16300,2.55212,0.31059,2.60172,0.32698,2.56315,0.33217,2.05406,0.31687
163,16400,2.54683,0.31469,2.46574,0.32732,2.68913,0.33568,2.07012,0.31785
164,16500,2.54148,0.31361,2.40964,0.32611,2.38748,0.33432,2.01320,0.31533
165,16600,2.75910,0.31390,2.45983,0.32809,2.59303,0.33399,1.98883,0.31656
166,16700,2.54601,0.31398,2.54277,0.32954,2.38452,0.33655,2.09130,0.31802
167,16800,2.48148,0.31774,2.37828,0.32714,2.60803,0.33556,2.15031,0.31642
168,16900,2.60609,0.31608,2.53860,0.32772,2.54384,0.33739,2.17011,0.31533
169,17000,2.63787,0.31682,2.48091,0.32785,2.46269,0.33212,1.92580,0.31642
170,17100,2.35211,0.31649,2.32328,0.32837,2.46446,0.33390,2.16635,0.31836
171,17200,2.65303,0.31828,2.50963,0.32986,2.36908,0.33312,2.07843,0.31801
172,17300,2.51850,0.31757,2.36815,0.32651,2.46507,0.33461,2.19079,0.31854
173,17400,2.57756,0.32120,2.47970,0.32950,2.34113,0.33336,2.03337,0.31523
174,17500,2.70012,0.32011,2.34278,0.33034,2.32070,0.33295,1.96966,0.31659
