iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss
77,7800,-25.21090,1.31637,0.43463,1.62051,-29.72452,1.94190,0.54132,1.58786,-30.00728,1.28249,0.56204,1.58642
78,7900,-25.13855,1.36146,0.43342,1.62045,-29.60672,1.61809,0.53300,1.58783,-29.97364,1.44840,0.56056,1.58607
79,8000,-25.33705,1.27173,0.42633,1.62049,-29.25102,1.73873,0.52674,1.58766,-30.22906,1.89481,0.55440,1.58568
80,8100,-24.88110,1.28827,0.41983,1.61966,-29.25545,1.86204,0.52046,1.58774,-29.86939,1.23533,0.54396,1.58537
81,8200,-24.97930,1.29814,0.41549,1.61925,-29.06916,2.30819,0.51604,1.58684,-30.00079,1.88553,0.53981,1.58478
82,8300,-24.62652,1.31510,0.41056,1.61958,-28.90103,2.45011,0.50736,1.58625,-29.39827,2.54462,0.53174,1.58394
83,8400,-24.65928,1.28164,0.40548,1.61913,-28.68508,2.30899,0.49754,1.58563,-29.56166,1.63347,0.52658,1.58312
84,8500,-24.21829,1.33777,0.39954,1.61811,-28.52715,2.19861,0.49127,1.58583,-29.38234,1.91514,0.52141,1.58298
85,8600,-24.32427,1.36568,0.39230,1.61848,-28.35721,1.95079,0.48561,1.58555,-29.58708,1.80784,0.51482,1.58260
86,8700,-24.04510,1.67355,0.39201,1.61800,-28.17965,1.62430,0.47617,1.58491,-29.29694,1.52104,0.50610,1.58194
87,8800,-23.97551,1.43632,0.38643,1.61750,-27.89059,1.67283,0.47521,1.58457,-29.03202,1.25411,0.50378,1.58137
88,8900,-23.96986,1.45453,0.38073,1.61737,-27.80930,1.62622,0.46850,1.58460,-28.73102,1.28138,0.50074,1.58153
89,9000,-23.92436,2.03047,0.37534,1.61674,-27.64124,1.66087,0.46458,1.58449,-28.81335,1.17897,0.49034,1.58102
90,9100,-23.73396,1.57190,0.37083,1.61651,-27.35259,1.66724,0.45799,1.58462,-28.52348,1.26845,0.48504,1.58034
91,9200,-23.66016,1.34635,0.36524,1.61617,-27.32454,1.70265,0.44849,1.58518,-28.29360,1.23114,0.48204,1.57918
92,9300,-23.35506,1.40112,0.36121,1.61611,-27.09841,1.68128,0.44414,1.58447,-28.07376,1.96147,0.47748,1.57946
93,9400,-23.36132,1.29844,0.35864,1.61598,-26.89004,1.65419,0.43613,1.58473,-28.18033,2.21159,0.47000,1.57789
94,9500,-23.06803,1.14295,0.35304,1.61549,-26.91017,1.56811,0.43640,1.58535,-27.86957,1.57741,0.46463,1.57776
95,9600,-22.96835,1.17433,0.34661,1.61560,-26.55583,1.64493,0.43111,1.58484,-27.86942,1.65630,0.46108,1.57604
96,9700,-22.73177,1.16950,0.34560,1.61465,-26.27678,1.83243,0.41802,1.58510,-27.60206,1.91794,0.45147,1.57770
97,9800,-22.54945,1.41322,0.34003,1.61457,-26.04061,1.82072,0.41722,1.58742,-27.24179,1.38050,0.44506,1.57697
98,9900,-22.41660,1.32797,0.33444,1.61456,-25.82284,1.69458,0.41086,1.58641,-27.07931,1.53947,0.43961,1.57725
99,10000,-22.28406,1.11089,0.32916,1.61410,-25.77888,1.46448,0.40487,1.58648,-27.01721,1.22440,0.43748,1.57644
100,10100,-21.99036,1.69111,0.32630,1.61375,-25.40294,1.34364,0.39870,1.58597,-26.85348,1.09651,0.43120,1.57698
101,10200,-21.81505,1.34489,0.32292,1.61384,-25.31936,1.25054,0.39383,1.58578,-26.64305,1.08783,0.42479,1.57564
102,10300,-21.84678,1.44201,0.31708,1.61361,-25.15951,1.22243,0.39203,1.58740,-26.44034,1.67320,0.41896,1.57563
103,10400,-21.59845,1.24776,0.31456,1.61292,-24.94426,1.26615,0.38582,1.58669,-26.32932,1.26091,0.41493,1.57543
104,10500,-21.36667,1.09557,0.30946,1.61292,-24.67901,1.24870,0.38005,1.58579,-26.00456,0.96976,0.40882,1.57560
105,10600,-21.25959,1.16718,0.30704,1.61203,-24.63274,1.30370,0.37485,1.58742,-25.80890,1.05532,0.40581,1.57331
106,10700,-21.04569,1.53271,0.30424,1.61212,-24.43550,1.25107,0.36936,1.58718,-25.73200,1.04002,0.40245,1.57409
107,10800,-21.00950,1.19823,0.29984,1.61239,-24.11905,1.30967,0.36538,1.58753,-25.43282,1.09473,0.39684,1.57263
108,10900,-20.63977,1.11123,0.29656,1.61147,-23.94763,1.31318,0.36246,1.58772,-25.33977,1.23938,0.39320,1.57137
109,11000,-20.60764,1.25689,0.29318,1.61095,-23.78440,1.43591,0.35714,1.58660,-25.19985,1.18417,0.39288,1.56949
110,11100,-20.49318,1.28740,0.29124,1.61095,-23.58920,1.41253,0.35072,1.58882,-25.04656,1.14748,0.38504,1.56873
111,11200,-20.17627,1.29320,0.28616,1.61071,-23.45158,1.38178,0.34653,1.58797,-24.69910,1.24044,0.38557,1.56729
112,11300,-20.08901,1.15351,0.28394,1.61056,-23.16432,1.31774,0.34133,1.58961,-24.70353,1.30095,0.38103,1.56684
113,11400,-19.92662,1.27524,0.27902,1.61031,-23.06573,1.29476,0.33876,1.58933,-24.41310,1.34767,0.37888,1.56494
114,11500,-19.87756,1.30957,0.27544,1.60947,-22.74866,1.29797,0.33544,1.58802,-24.31729,2.24609,0.37194,1.56513
115,11600,-19.59306,1.02362,0.27221,1.60945,-22.60016,1.43647,0.33042,1.58925,-23.98001,2.18540,0.36669,1.56401
116,11700,-19.54891,1.09724,0.26955,1.60905,-22.34891,1.47232,0.32569,1.59026,-23.69365,1.45277,0.36574,1.56303
117,11800,-19.20608,1.25598,0.26741,1.60859,-22.13236,1.53983,0.32205,1.59000,-23.48216,1.48586,0.35831,1.56275
118,11900,-19.08668,1.27017,0.26329,1.60838,-22.02195,1.43568,0.31511,1.58851,-23.41186,1.31155,0.35109,1.56246
119,12000,-18.84393,1.17807,0.26006,1.60829,-21.67688,1.64274,0.31497,1.58876,-23.26051,1.34227,0.34842,1.56149
120,12100,-18.76048,1.04836,0.25654,1.60793,-21.48851,1.39643,0.30782,1.59076,-22.90799,2.16553,0.34335,1.56222
121,12200,-18.53196,1.11799,0.25366,1.60747,-21.33022,1.42975,0.30543,1.59060,-22.79725,1.10400,0.33921,1.56272
122,12300,-18.30809,2.04418,0.24963,1.60711,-21.05266,1.31262,0.30074,1.59047,-22.81835,1.51366,0.33329,1.56210
123,12400,-18.21200,1.10831,0.24541,1.60685,-20.84299,1.30048,0.29803,1.59001,-22.34141,1.33955,0.32853,1.56320
124,12500,-18.00032,1.23690,0.24207,1.60672,-20.67969,1.49291,0.29413,1.59066,-22.29758,1.52726,0.32635,1.56236
125,12600,-17.93716,1.03327,0.24038,1.60610,-20.55128,1.63219,0.29095,1.59075,-22.02882,1.22882,0.32060,1.56135
126,12700,-17.64879,1.14101,0.23731,1.60615,-20.20718,1.72208,0.28519,1.59108,-21.76543,1.26369,0.31734,1.56297
127,12800,-17.55446,1.03364,0.23493,1.60536,-20.06652,1.47192,0.28309,1.59156,-21.70915,1.23181,0.31458,1.56276
128,12900,-17.30483,1.35872,0.23302,1.60541,-19.90307,1.20593,0.27751,1.59089,-21.31540,1.10411,0.31218,1.56277
129,13000,-17.01839,1.27787,0.22918,1.60512,-19.74566,1.24184,0.27548,1.58986,-21.28342,2.38207,0.30744,1.56272
