iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss
97,9800,-8.16395,1.00347,0.10835,1.91486,-8.33239,0.99930,0.10867,1.91474
98,9900,-8.10168,0.91819,0.10682,1.91101,-8.28316,0.94855,0.10716,1.90978
99,10000,-8.02213,0.99622,0.10545,1.90577,-8.16319,0.89974,0.10580,1.90627
100,10100,-7.98030,0.93003,0.10443,1.90218,-8.07629,0.96736,0.10418,1.90343
101,10200,-7.86783,0.95161,0.10263,1.89943,-7.99342,0.86306,0.10286,1.89964
102,10300,-7.82943,0.93989,0.10158,1.89591,-7.92627,0.92790,0.10128,1.89473
103,10400,-7.76714,0.94593,0.10008,1.88929,-7.86302,1.01871,0.09983,1.88897
104,10500,-7.71761,0.94560,0.09873,1.88696,-7.76234,1.01160,0.09875,1.88735
105,10600,-7.65021,0.93544,0.09745,1.88333,-7.72921,0.93115,0.09733,1.88391
106,10700,-7.56366,0.97667,0.09665,1.87815,-7.61797,0.97076,0.09631,1.87652
107,10800,-7.47934,0.95085,0.09537,1.87133,-7.56018,0.93367,0.09541,1.87370
108,10900,-7.40890,0.96422,0.09461,1.86876,-7.46703,0.92905,0.09413,1.86845
109,11000,-7.35598,0.93846,0.09294,1.86622,-7.42971,0.96797,0.09315,1.86469
110,11100,-7.26491,0.92286,0.09221,1.85891,-7.35959,0.86901,0.09233,1.85970
111,11200,-7.25184,0.84952,0.09093,1.85789,-7.25560,0.98609,0.09117,1.85370
112,11300,-7.11895,0.96517,0.09015,1.85162,-7.18786,1.01424,0.09026,1.85154
113,11400,-7.12278,0.87980,0.08927,1.84557,-7.13196,0.93572,0.08960,1.84658
114,11500,-6.99037,0.96343,0.08907,1.84242,-7.07544,0.90707,0.08878,1.84167
115,11600,-6.90108,0.94194,0.08794,1.83688,-6.96452,1.01690,0.08820,1.83505
116,11700,-6.86885,0.89753,0.08713,1.83141,-6.93202,0.86830,0.08717,1.82956
117,11800,-6.79173,0.93301,0.08663,1.82826,-6.86459,0.95045,0.08638,1.82473
118,11900,-6.73135,0.85438,0.08587,1.81982,-6.81600,0.91369,0.08566,1.82069
119,12000,-6.70963,0.93568,0.08535,1.81389,-6.75669,0.97893,0.08468,1.81872
120,12100,-6.60641,0.96369,0.08499,1.81170,-6.70780,0.83674,0.08410,1.81279
121,12200,-6.53591,0.90229,0.08387,1.80424,-6.62161,0.99335,0.08400,1.80621
122,12300,-6.54711,0.92028,0.08320,1.80018,-6.58876,0.84274,0.08321,1.80055
123,12400,-6.42666,0.99819,0.08251,1.79337,-6.51371,0.99828,0.08267,1.79756
124,12500,-6.39815,0.91677,0.08205,1.79211,-6.50392,0.84698,0.08183,1.79020
125,12600,-6.31824,0.97554,0.08167,1.78541,-6.43063,0.90268,0.08146,1.78545
126,12700,-6.27622,0.88651,0.08117,1.77727,-6.36405,0.87500,0.08068,1.78105
127,12800,-6.24821,0.98347,0.08069,1.77660,-6.30549,0.98229,0.08058,1.77512
128,12900,-6.16851,0.96292,0.08024,1.76917,-6.23846,0.92556,0.08019,1.76799
129,13000,-6.09191,1.01232,0.08000,1.76297,-6.17583,1.00736,0.07981,1.76334
130,13100,-6.09508,0.95561,0.07913,1.75774,-6.12421,0.88730,0.07934,1.76087
131,13200,-6.02028,0.91597,0.07922,1.75218,-6.07595,0.93905,0.07866,1.75346
132,13300,-5.98794,0.89527,0.07819,1.74607,-6.03229,0.96910,0.07868,1.74707
133,13400,-5.90500,0.93556,0.07839,1.74299,-5.98606,0.86218,0.07794,1.74126
134,13500,-5.88784,0.86872,0.07765,1.73520,-5.93217,0.89832,0.07778,1.73469
135,13600,-5.83601,0.85561,0.07784,1.73001,-5.87599,0.94927,0.07736,1.72796
136,13700,-5.76500,0.95034,0.07711,1.72018,-5.82840,0.96938,0.07779,1.72301
137,13800,-5.74794,0.86939,0.07680,1.71431,-5.78363,0.90648,0.07676,1.71927
138,13900,-5.68271,0.87066,0.07660,1.71294,-5.75284,0.86379,0.07663,1.70819
139,14000,-5.61710,0.93349,0.07630,1.70812,-5.65216,1.05806,0.07650,1.70578
140,14100,-5.61086,0.95609,0.07597,1.70065,-5.63955,0.96400,0.07589,1.69811
141,14200,-5.55416,0.98757,0.07570,1.69384,-5.60402,0.89889,0.07566,1.69413
142,14300,-5.49049,0.91906,0.07563,1.68871,-5.53506,1.00862,0.07543,1.68911
143,14400,-5.47545,1.01773,0.07501,1.68251,-5.53144,0.86384,0.07530,1.67958
144,14500,-5.47393,0.85679,0.07519,1.67844,-5.46562,0.90004,0.07537,1.67454
145,14600,-5.43555,0.88816,0.07480,1.67166,-5.44687,0.95638,0.07463,1.67119
