iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss
126,12700,-27.09182,1.49455,0.36147,-25.58746,1.35590,0.36171
127,12800,-27.00647,1.45250,0.35631,-25.28448,1.24922,0.35741
128,12900,-26.69263,1.23943,0.35243,-25.06468,1.11684,0.35256
129,13000,-26.41397,1.20162,0.34823,-24.74804,1.09322,0.34761
130,13100,-26.10025,1.06002,0.34265,-24.71363,1.12222,0.34342
131,13200,-25.84077,1.05946,0.33953,-24.51451,1.24123,0.33835
132,13300,-25.64621,1.08418,0.33306,-24.26827,1.21179,0.33294
133,13400,-25.42097,1.32082,0.33142,-24.11885,1.40774,0.32963
134,13500,-25.08744,1.14173,0.32607,-23.85545,1.37331,0.32607
135,13600,-24.99766,1.12009,0.32242,-23.61818,1.27939,0.32053
136,13700,-24.62477,1.19419,0.31876,-23.44435,1.08777,0.31705
137,13800,-24.51451,1.12023,0.31409,-23.20215,1.06380,0.31326
138,13900,-24.17140,1.07570,0.30946,-22.98680,1.02596,0.31071
139,14000,-23.89937,1.01929,0.30443,-22.76479,1.11084,0.30572
140,14100,-23.70038,1.04847,0.30215,-22.37479,1.28176,0.30202
141,14200,-23.55052,1.08971,0.29846,-22.26396,1.11773,0.29899
142,14300,-23.16454,1.07226,0.29533,-22.02420,1.17338,0.29407
143,14400,-23.00773,1.04201,0.29134,-21.82091,0.97370,0.29076
144,14500,-22.72489,1.03371,0.28720,-21.59451,1.16534,0.28741
145,14600,-22.54018,1.04426,0.28328,-21.34106,1.08544,0.28234
146,14700,-22.18623,1.07797,0.28101,-21.13570,1.21269,0.28040
147,14800,-22.17272,1.03099,0.27599,-21.00270,1.16870,0.27615
148,14900,-21.96677,1.03844,0.27470,-20.64504,1.09249,0.27353
149,15000,-21.64983,1.10066,0.26980,-20.56928,0.97399,0.27016
150,15100,-21.47608,1.08148,0.26845,-20.34503,0.98607,0.26756
151,15200,-21.17351,1.00466,0.26311,-20.16716,0.94312,0.26299
152,15300,-21.02452,0.96892,0.26050,-19.89063,0.99478,0.26151
153,15400,-20.78393,1.00831,0.25550,-19.72018,1.14113,0.25644
154,15500,-20.59583,1.07462,0.25304,-19.48350,1.14454,0.25511
155,15600,-20.43042,1.04583,0.25104,-19.31244,1.10455,0.25061
156,15700,-20.23056,1.06901,0.24740,-19.09383,1.04574,0.24775
157,15800,-19.95626,1.10306,0.24493,-19.05904,1.03151,0.24360
158,15900,-19.81322,1.05489,0.24264,-18.78959,1.21527,0.24299
159,16000,-19.63528,1.08712,0.23949,-18.60785,0.98081,0.24081
160,16100,-19.46945,1.04453,0.23558,-18.50691,1.06430,0.23755
161,16200,-19.24119,1.17357,0.23454,-18.32737,0.90543,0.23474
162,16300,-19.06776,1.01332,0.23125,-18.21634,0.91815,0.23062
163,16400,-18.88889,1.01209,0.22794,-18.06278,1.07189,0.22931
164,16500,-18.73038,1.04606,0.22566,-17.87748,0.95071,0.22581
165,16600,-18.52839,0.97254,0.22409,-17.66303,0.90874,0.22351
166,16700,-18.26261,0.91901,0.22080,-17.50541,0.93319,0.22091
167,16800,-18.08929,1.04171,0.21902,-17.38725,0.91919,0.21912
168,16900,-17.91808,0.87272,0.21765,-17.22660,0.91925,0.21689
169,17000,-17.72706,0.94359,0.21436,-17.03350,0.92456,0.21489
