iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_rnd_forward_loss
56,5700,-23.42520,2.12653,0.57051,-22.82940,2.31866,0.56273,-23.51434,2.66719,0.56630,-29.64629,1.39699,0.70887
57,5800,-23.38140,1.49096,0.56716,-22.98021,1.86699,0.55941,-23.86835,3.50616,0.56324,-29.68831,0.85878,0.70579
58,5900,-23.41219,2.22046,0.56427,-23.07464,2.04448,0.55737,-23.52781,2.36828,0.56080,-29.93264,1.23677,0.70242
59,6000,-23.65358,1.43229,0.56163,-23.19147,1.52559,0.55384,-23.74759,2.73495,0.55738,-29.80927,1.00077,0.69861
60,6100,-23.67695,1.43423,0.55914,-23.20416,1.42227,0.55212,-23.89172,1.99247,0.55410,-30.02757,1.15152,0.69507
61,6200,-23.57372,2.01720,0.55634,-23.40617,1.44762,0.54928,-23.88704,2.11627,0.55213,-29.77029,2.35795,0.69102
62,6300,-23.74339,1.59520,0.55387,-23.25652,1.35565,0.54651,-23.88311,1.64467,0.54981,-30.88637,4.14634,0.68804
63,6400,-23.73975,2.37160,0.55069,-23.35701,1.29741,0.54378,-23.90355,2.47964,0.54589,-30.03791,3.20363,0.68427
64,6500,-23.98645,1.65975,0.54873,-23.45211,1.52321,0.54161,-24.15537,1.85261,0.54311,-30.28629,2.87798,0.68235
65,6600,-23.76835,1.46394,0.54529,-23.56289,1.32914,0.53875,-23.86106,2.71459,0.54054,-30.48741,1.77386,0.67755
66,6700,-24.13078,2.32826,0.54300,-23.57891,1.26885,0.53653,-24.05573,1.99194,0.53798,-30.28067,1.70078,0.67455
67,6800,-24.05242,2.01333,0.54087,-23.51756,1.71654,0.53369,-23.99349,1.62627,0.53531,-30.40268,1.14067,0.67139
68,6900,-24.18581,1.44285,0.53865,-23.95170,2.46441,0.53119,-24.08483,1.47426,0.53277,-30.44479,1.34098,0.66768
69,7000,-24.16290,1.50513,0.53617,-23.98482,1.47425,0.52819,-24.08407,1.37839,0.53051,-30.66569,1.82459,0.66419
70,7100,-24.07252,1.33810,0.53433,-23.59351,1.60008,0.52584,-24.11268,1.33989,0.52811,-30.48787,1.61165,0.66081
71,7200,-24.22338,1.86458,0.53164,-23.88782,1.63285,0.52344,-24.44773,1.63156,0.52492,-30.62777,1.58372,0.65722
72,7300,-24.30883,2.79816,0.52935,-23.86753,1.48712,0.52144,-24.38730,1.41188,0.52273,-30.70823,0.95313,0.65410
73,7400,-24.38498,1.36904,0.52617,-24.02020,1.46989,0.51813,-24.57439,2.27883,0.51971,-30.59495,2.03880,0.65105
74,7500,-24.11081,1.63249,0.52452,-23.82538,2.12778,0.51535,-24.32026,1.95570,0.51626,-30.89227,2.46927,0.64698
75,7600,-24.13796,1.37150,0.52105,-24.17036,1.69038,0.51299,-24.29351,2.04082,0.51444,-30.65194,1.43696,0.64264
76,7700,-24.30629,1.10060,0.51935,-23.86447,1.48277,0.51079,-24.35205,1.78815,0.51139,-30.52441,1.51632,0.63902
77,7800,-24.34007,1.90070,0.51687,-23.88034,1.47580,0.50812,-24.47571,1.45387,0.50860,-30.54306,2.13842,0.63495
78,7900,-24.35623,1.68004,0.51453,-23.86373,1.51401,0.50534,-24.49123,2.15700,0.50575,-30.54651,1.95701,0.63081
79,8000,-24.38551,1.29987,0.51250,-23.97236,1.57355,0.50283,-24.43146,1.63248,0.50332,-30.97499,1.27162,0.62775
80,8100,-24.56995,1.32346,0.51025,-23.98864,1.92651,0.50052,-24.38654,1.85568,0.50038,-30.69470,1.19222,0.62362
