iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss
187,18800,0.99904,0.05724,1.41755,0.05692
188,18900,1.01329,0.05609,1.42537,0.05618
189,19000,1.00029,0.05546,1.43940,0.05570
190,19100,1.03043,0.05488,1.43016,0.05485
191,19200,0.99969,0.05392,1.40935,0.05404
192,19300,0.98864,0.05335,1.40665,0.05324
193,19400,0.99996,0.05268,1.35185,0.05277
194,19500,1.00478,0.05201,1.38151,0.05187
195,19600,0.98909,0.05144,1.37539,0.05154
196,19700,1.00353,0.05084,1.36498,0.05071
197,19800,1.00170,0.05009,1.38643,0.05014
198,19900,1.01346,0.04947,1.41099,0.04958
199,20000,1.00067,0.04871,1.41973,0.04890
200,20100,1.00188,0.04839,1.45111,0.04814
201,20200,1.03529,0.04776,1.35901,0.04772
202,20300,0.98968,0.04729,1.34425,0.04713
203,20400,0.98399,0.04692,1.36078,0.04685
204,20500,0.99392,0.04624,1.36395,0.04630
205,20600,1.00930,0.04560,1.41419,0.04562
206,20700,1.01059,0.04514,1.36091,0.04524
207,20800,1.04042,0.04472,1.32565,0.04469
208,20900,0.99007,0.04415,1.39800,0.04398
209,21000,1.01198,0.04359,1.32540,0.04370
210,21100,0.99387,0.04338,1.39649,0.04348
211,21200,1.01189,0.04251,1.37830,0.04277
212,21300,1.00587,0.04259,1.34685,0.04225
213,21400,0.98006,0.04202,1.33888,0.04190
214,21500,1.01403,0.04152,1.36871,0.04140
215,21600,1.02016,0.04115,1.33113,0.04112
216,21700,1.00448,0.04078,1.32344,0.04048
217,21800,1.00089,0.04009,1.38238,0.04019
218,21900,0.98803,0.03970,1.36390,0.03988
219,22000,0.99206,0.03916,1.39652,0.03924
220,22100,0.98221,0.03898,1.41016,0.03888
221,22200,0.98993,0.03871,1.39968,0.03868
222,22300,1.02035,0.03826,1.36526,0.03821
223,22400,1.01015,0.03792,1.40414,0.03790
224,22500,0.98472,0.03758,1.36297,0.03756
225,22600,1.00267,0.03728,1.39722,0.03736
226,22700,0.99623,0.03675,1.37550,0.03684
227,22800,0.98269,0.03656,1.37903,0.03659
228,22900,0.99071,0.03639,1.37318,0.03625
229,23000,0.99983,0.03589,1.35723,0.03584
230,23100,0.99329,0.03569,1.32093,0.03575
231,23200,0.99038,0.03533,1.30095,0.03507
232,23300,0.99243,0.03479,1.38144,0.03509
233,23400,1.02479,0.03485,1.37957,0.03462
