iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value
76,7700,-11.05412,1.63724,0.15281,-11.14965,1.51307,0.15226,-11.56683,1.51314,0.15146
77,7800,-11.20275,1.47110,0.15207,-11.15391,1.56195,0.15111,-11.68088,1.59611,0.15154
78,7900,-11.17089,1.43581,0.15117,-11.21319,1.55764,0.14956,-11.63534,1.67612,0.15245
79,8000,-11.21669,1.51585,0.15268,-11.29405,1.51372,0.14928,-11.71880,1.39269,0.15232
80,8100,-11.24692,1.57520,0.15124,-11.36365,1.54430,0.15103,-11.77392,1.52250,0.15265
81,8200,-11.33095,1.47641,0.15126,-11.45449,1.44126,0.15153,-11.82673,1.51756,0.15067
82,8300,-11.43222,1.44801,0.15183,-11.52474,1.56756,0.15128,-11.83972,1.46143,0.15257
83,8400,-11.51243,1.59192,0.15170,-11.53865,1.56563,0.15094,-11.90595,1.39596,0.15079
84,8500,-11.49717,1.79655,0.15279,-11.67442,1.48524,0.15347,-11.97000,1.49515,0.15217
85,8600,-11.59327,1.51904,0.15242,-11.68308,1.50087,0.15338,-12.05491,1.61072,0.15132
86,8700,-11.67875,1.52944,0.15234,-11.72967,1.42174,0.15284,-12.11280,1.49230,0.15288
87,8800,-11.76349,1.52646,0.15224,-11.85481,1.56758,0.15292,-12.17393,1.52360,0.15114
88,8900,-11.73574,1.61208,0.15216,-11.81372,1.48853,0.15119,-12.21193,1.54010,0.15186
89,9000,-11.74888,1.50038,0.15054,-11.94895,1.58573,0.15177,-12.32965,1.53342,0.15209
90,9100,-11.83559,1.53783,0.15168,-11.97722,1.51837,0.15299,-12.41145,1.47838,0.15209
91,9200,-11.86692,1.52231,0.15153,-12.00003,1.41570,0.15021,-12.44783,1.70738,0.15356
92,9300,-11.89624,1.62431,0.15122,-12.06603,1.48305,0.15190,-12.47951,1.52333,0.15246
93,9400,-11.98788,1.52015,0.15215,-12.09630,1.49212,0.15100,-12.49078,1.44202,0.15065
94,9500,-12.10984,1.37178,0.15221,-12.13437,1.42829,0.15002,-12.63929,1.48665,0.15152
95,9600,-12.17902,1.53727,0.15307,-12.24895,1.54716,0.15112,-12.60216,1.58316,0.14949
96,9700,-12.22064,1.60775,0.15196,-12.28440,1.66074,0.14988,-12.67323,1.46724,0.14972
97,9800,-12.17659,1.53322,0.14984,-12.28224,1.47747,0.15247,-12.66165,1.49816,0.15091
98,9900,-12.20944,1.54464,0.14983,-12.40049,1.51850,0.15091,-12.78113,1.49351,0.14982
99,10000,-12.25832,1.51230,0.15081,-12.36668,1.51367,0.14927,-12.78614,1.46904,0.14859
100,10100,-12.32653,1.59455,0.15058,-12.45895,1.49210,0.14890,-12.84924,1.59430,0.15050
101,10200,-12.37069,1.64889,0.15168,-12.46785,1.51858,0.15095,-12.79876,1.46794,0.14876
102,10300,-12.34511,1.53107,0.14808,-12.46726,1.42464,0.14838,-12.88428,1.44918,0.15005
103,10400,-12.44485,1.61947,0.14920,-12.55726,1.63332,0.15041,-12.92236,1.48834,0.14960
104,10500,-12.42856,1.56516,0.14992,-12.54483,1.51715,0.15001,-12.91441,1.58176,0.15022
105,10600,-12.47717,1.83568,0.15122,-12.65717,1.53606,0.15027,-12.96230,1.49960,0.15031
106,10700,-12.35747,1.88343,0.14808,-12.66011,1.50172,0.15011,-12.97483,1.58992,0.14881
107,10800,-12.45619,1.72851,0.14887,-12.68072,1.53425,0.14821,-13.03410,1.59647,0.14928
108,10900,-12.45338,1.83763,0.14920,-12.70195,1.66516,0.14884,-13.01214,1.54824,0.14988
109,11000,-12.57249,1.61313,0.15034,-12.74330,1.58802,0.14955,-13.03415,1.51399,0.14840
110,11100,-12.42141,1.66311,0.14880,-12.73903,1.44123,0.14637,-13.09388,1.56691,0.14901
111,11200,-12.55471,1.55120,0.14842,-12.76113,1.50860,0.14817,-13.08879,1.56194,0.14897
112,11300,-12.46491,1.59413,0.14739,-12.73878,1.65651,0.14723,-13.18830,1.54040,0.14921
113,11400,-12.55813,1.63036,0.14651,-12.82108,1.60243,0.14667,-13.17235,1.54306,0.14775
114,11500,-12.52799,1.61798,0.14825,-12.89207,1.64266,0.14851,-13.19747,1.50606,0.14833
115,11600,-12.54665,2.13941,0.14816,-12.90576,1.63925,0.14694,-13.16277,1.53121,0.15004
116,11700,-12.68531,1.81314,0.14909,-12.88178,1.76608,0.14986,-13.17832,1.55218,0.14860
117,11800,-12.60410,1.61299,0.14758,-12.86917,1.43474,0.14820,-13.21021,1.50070,0.14897
118,11900,-12.55964,1.48248,0.14747,-12.88324,1.58814,0.14772,-13.14011,1.59654,0.14846
119,12000,-12.60893,1.72368,0.14827,-12.94480,1.51871,0.14801,-13.16541,1.47640,0.14810
120,12100,-12.62346,1.50134,0.14745,-12.92874,1.49812,0.14653,-13.15543,1.43007,0.14599
121,12200,-12.56236,1.50449,0.14714,-12.93787,1.57010,0.14731,-13.18935,1.58427,0.14769
122,12300,-12.63618,1.50494,0.14627,-12.95970,1.53015,0.14835,-13.25938,1.61573,0.14926
123,12400,-12.64514,1.65451,0.14793,-13.02625,1.57540,0.14762,-13.24326,1.54251,0.14632
124,12500,-12.65378,1.61498,0.14734,-12.98193,1.61674,0.14706,-13.26690,1.69883,0.14623
125,12600,-12.72670,1.71842,0.14622,-13.06998,1.59777,0.14742,-13.24004,1.59535,0.14597
126,12700,-12.60587,1.66754,0.14626,-13.04315,1.55145,0.14572,-13.20149,1.43736,0.14671
127,12800,-12.66431,1.51685,0.14767,-13.04568,1.70494,0.14549,-13.26944,1.50304,0.14573
128,12900,-12.62691,1.62724,0.14266,-13.04323,1.55595,0.14664,-13.27991,1.52421,0.14477
129,13000,-12.53832,1.73627,0.14655,-13.02319,1.52569,0.14494,-13.26306,1.51331,0.14382
130,13100,-12.76516,1.79525,0.14473,-13.15059,1.55136,0.14516,-13.28911,1.51754,0.14680
131,13200,-12.59622,1.95187,0.14611,-13.19052,1.59121,0.14694,-13.25516,1.49144,0.14541
132,13300,-12.56309,1.82048,0.14455,-13.06094,1.53990,0.14408,-13.21770,1.60618,0.14496
133,13400,-12.60669,1.87262,0.14578,-13.09702,1.50852,0.14398,-13.28017,1.49629,0.14296
134,13500,-12.60318,1.64853,0.14473,-13.12265,1.63970,0.14570,-13.25029,1.53815,0.14461
135,13600,-12.52217,1.57833,0.14283,-13.15332,1.53427,0.14531,-13.23513,1.51861,0.14357
136,13700,-12.57879,1.41548,0.14451,-13.10617,1.53424,0.14360,-13.25714,1.46974,0.14367
137,13800,-12.52164,1.75087,0.14546,-13.12943,1.51468,0.14288,-13.33470,1.57531,0.14499
138,13900,-12.57858,1.61867,0.14491,-13.12326,1.52401,0.14441,-13.34624,1.56443,0.14436
139,14000,-12.60049,1.59254,0.14528,-13.05679,1.56500,0.14325,-13.30077,1.60755,0.14281
140,14100,-12.57415,1.67983,0.14253,-13.14177,1.40332,0.14305,-13.27671,1.42192,0.14149
141,14200,-12.53623,1.73774,0.14334,-13.11986,1.48520,0.14302,-13.30721,1.63804,0.14404
142,14300,-12.55557,1.56749,0.14362,-13.14522,1.49062,0.14241,-13.27405,1.55184,0.14148
143,14400,-12.55612,1.51972,0.14228,-13.20940,1.46355,0.14286,-13.18437,1.63000,0.14141
144,14500,-12.58147,1.44530,0.14290,-13.14647,1.68262,0.14328,-13.34402,1.62311,0.14289
145,14600,-12.55036,1.54304,0.14261,-13.20257,1.64234,0.14217,-13.30698,1.41085,0.14319
146,14700,-12.57864,1.52980,0.14234,-13.24573,1.41364,0.14258,-13.27634,1.58304,0.14422
147,14800,-12.53482,1.57135,0.14241,-13.27940,1.60188,0.14367,-13.30192,1.45028,0.14256
148,14900,-12.56365,1.49178,0.14209,-13.19990,1.51266,0.14236,-13.23501,1.51779,0.14153
149,15000,-12.65775,1.45538,0.14368,-13.23459,1.48382,0.14283,-13.31560,1.52556,0.14316
150,15100,-12.61975,1.45647,0.14174,-13.17508,1.66803,0.14300,-13.27169,1.64006,0.14158
151,15200,-12.59110,1.72474,0.14311,-13.15891,1.66431,0.14094,-13.27764,1.60957,0.14175
152,15300,-12.60976,1.74769,0.14272,-13.13978,1.55637,0.14396,-13.34536,1.60927,0.14256
153,15400,-12.66073,1.51853,0.14281,-13.15843,1.61525,0.14259,-13.32381,1.72404,0.14307
154,15500,-12.56592,1.79566,0.14330,-13.20819,1.52636,0.14366,-13.29503,1.41320,0.14316
155,15600,-12.58367,1.56331,0.14264,-13.23557,1.65274,0.14383,-13.37071,1.54577,0.14161
156,15700,-12.70059,1.73810,0.14191,-13.23281,1.60560,0.14457,-13.37357,1.52333,0.14465
157,15800,-12.68833,1.52447,0.14259,-13.23029,1.57484,0.14447,-13.43219,1.67585,0.14411
158,15900,-12.66262,1.61189,0.14301,-13.24694,1.50159,0.14169,-13.35963,1.67277,0.14306
159,16000,-12.68456,1.56641,0.14460,-13.20419,1.61946,0.14344,-13.41683,1.65040,0.14244
160,16100,-12.67844,1.61146,0.14364,-13.33558,1.54876,0.14544,-13.48768,1.67721,0.14574
161,16200,-12.66174,1.88612,0.14435,-13.29508,1.57136,0.14411,-13.45185,1.66236,0.14496
162,16300,-12.75716,1.62561,0.14356,-13.33435,1.53484,0.14469,-13.50821,1.59188,0.14584
163,16400,-12.75204,1.62101,0.14460,-13.27967,1.63251,0.14493,-13.51155,1.56571,0.14599
164,16500,-12.75427,1.65726,0.14404,-13.37628,1.73626,0.14479,-13.40919,1.61845,0.14523
165,16600,-12.81221,1.54714,0.14550,-13.37012,1.63059,0.14484,-13.56680,1.54312,0.14440
166,16700,-12.85703,1.71867,0.14415,-13.40934,1.61175,0.14440,-13.53080,1.52123,0.14555
167,16800,-12.80170,1.76196,0.14747,-13.43023,1.51273,0.14739,-13.62508,1.71418,0.14620
168,16900,-12.98176,1.72099,0.14590,-13.39855,1.63956,0.14563,-13.59569,1.69060,0.14593
169,17000,-12.94417,1.74759,0.14606,-13.41543,1.59476,0.14605,-13.63769,1.51026,0.14415
170,17100,-12.93459,1.63971,0.14525,-13.49429,1.56527,0.14570,-13.69521,1.53711,0.14685
171,17200,-12.93035,1.72705,0.14516,-13.48449,1.68844,0.14521,-13.73438,1.70189,0.14525
172,17300,-12.92394,2.03581,0.14626,-13.50583,1.64737,0.14587,-13.80056,1.56175,0.14597
173,17400,-13.06187,1.69879,0.14585,-13.55425,1.70563,0.14417,-13.75719,1.59567,0.14373
174,17500,-13.07044,1.47462,0.14654,-13.51689,1.67509,0.14576,-13.79606,1.70487,0.14508
175,17600,-13.00760,1.73326,0.14478,-13.70809,1.92665,0.14600,-13.81827,1.64138,0.14536
176,17700,-13.06363,1.68698,0.14674,-13.73504,1.71077,0.14626,-13.91470,1.61058,0.14603
177,17800,-13.11230,1.74327,0.14545,-13.65451,1.47440,0.14617,-13.95902,1.75148,0.14642
178,17900,-13.04153,1.66235,0.14471,-13.68632,1.49966,0.14507,-13.90901,1.72621,0.14466
179,18000,-13.18114,1.65951,0.14532,-13.67841,1.53910,0.14525,-13.92366,1.57080,0.14470
180,18100,-13.22763,1.72039,0.14592,-13.64440,1.73258,0.14396,-13.96167,1.82934,0.14497
