iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value,4_maddpg_actor_loss,4_maddpg_critic_loss,4_count_value
59,6000,-13.35384,2.13710,0.17972,-13.22021,2.03424,0.18146,-12.86037,1.92899,0.17962,-12.07533,1.63400,0.17868
60,6100,-13.45240,2.33890,0.17875,-13.36007,1.97475,0.18075,-13.05914,1.70506,0.18041,-12.27615,1.58069,0.17758
61,6200,-13.43008,2.09966,0.17852,-13.38683,2.09038,0.18072,-13.17937,1.86997,0.17968,-12.26551,1.87951,0.17877
62,6300,-13.66916,2.38501,0.18067,-13.57859,2.07180,0.17771,-13.28728,1.90502,0.18121,-12.59556,1.75261,0.17874
63,6400,-13.81041,2.15081,0.17801,-13.75075,2.16713,0.18011,-13.43515,1.79437,0.18111,-12.45723,1.57600,0.17787
64,6500,-13.96000,2.01725,0.17989,-13.88781,1.96905,0.18060,-13.52326,1.75458,0.17953,-12.78653,1.34840,0.18089
65,6600,-14.08369,2.18387,0.18011,-13.90066,2.00706,0.18070,-13.74834,1.76217,0.17962,-12.80164,1.44813,0.17840
66,6700,-14.15618,2.18050,0.18085,-14.23310,2.18724,0.17855,-13.83167,1.83371,0.18113,-12.84189,1.48109,0.17767
67,6800,-14.29014,2.12342,0.17982,-14.25863,2.27962,0.17978,-13.96842,1.80067,0.17714,-13.00057,1.58590,0.17907
68,6900,-14.50496,2.46560,0.18003,-14.27220,2.07852,0.17959,-14.14667,1.89035,0.18009,-13.10848,1.58516,0.18071
69,7000,-14.34587,2.51555,0.17990,-14.39325,2.14045,0.18017,-14.17688,1.93052,0.17994,-13.24249,1.74674,0.18010
70,7100,-14.50011,2.13003,0.18041,-14.60912,2.02204,0.18032,-14.28572,2.02263,0.17996,-13.26614,1.41576,0.17847
71,7200,-14.60509,2.14524,0.17961,-14.66572,1.92637,0.18028,-14.53591,2.03938,0.18067,-13.42082,1.38659,0.18151
