iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,4_maddpg_actor_loss,4_maddpg_critic_loss
132,13300,-0.76735,1.20738,-1.23367,1.18944,-1.01389,1.13133,-0.80701,1.14062
133,13400,-0.78334,1.18190,-1.21835,1.16971,-0.96781,1.15665,-0.80756,1.05848
134,13500,-0.72550,1.20793,-1.16404,1.15765,-0.93187,1.16970,-0.85291,1.11598
135,13600,-0.68895,1.21341,-1.16247,1.22658,-0.91596,1.09459,-0.86282,1.08468
136,13700,-0.68115,1.13428,-1.12508,1.15193,-0.90235,1.14948,-0.86007,1.08254
137,13800,-0.66713,1.11458,-1.06376,1.21376,-0.87023,1.10928,-0.87703,1.03430
138,13900,-0.69290,1.13396,-1.06138,1.14427,-0.83595,1.10520,-0.87195,1.11687
139,14000,-0.67945,1.20351,-1.06861,1.17766,-0.84166,1.07081,-0.86067,1.07034
140,14100,-0.61593,1.13277,-1.01352,1.17690,-0.81215,1.05415,-0.87170,1.07334
141,14200,-0.59825,1.12530,-0.99521,1.13570,-0.77171,1.05331,-0.89444,1.05083
142,14300,-0.59468,1.13505,-0.98801,1.11502,-0.77211,1.12154,-0.90016,1.07755
143,14400,-0.57342,1.11485,-0.96773,1.11321,-0.75039,1.12547,-0.87723,1.12373
144,14500,-0.55184,1.06243,-0.98827,1.18252,-0.73043,1.05758,-0.86478,1.11329
145,14600,-0.53644,1.11440,-0.92016,1.16115,-0.67980,1.07605,-0.87619,1.09254
146,14700,-0.51123,1.10195,-0.86109,1.16532,-0.68259,1.14935,-0.86143,1.11982
147,14800,-0.46386,1.09846,-0.84304,1.13416,-0.66719,1.09947,-0.90607,1.11394
148,14900,-0.44363,1.11864,-0.83573,1.14739,-0.63612,1.10898,-0.91047,1.10835
149,15000,-0.43007,1.09522,-0.78702,1.13790,-0.60324,1.05981,-0.91208,1.10141
150,15100,-0.43841,1.02923,-0.76925,1.09167,-0.56586,1.01093,-0.92401,1.08923
151,15200,-0.43270,1.08990,-0.74969,1.07740,-0.58268,1.11194,-0.94763,1.10223
152,15300,-0.41565,1.13437,-0.73733,1.04254,-0.55931,1.07892,-0.91055,1.12565
153,15400,-0.40270,1.10941,-0.72553,1.07718,-0.55140,1.03124,-0.92269,1.08756
154,15500,-0.40723,1.08115,-0.68448,1.11176,-0.50512,1.03936,-0.91462,1.16895
155,15600,-0.36931,1.04274,-0.68824,1.09723,-0.48341,1.03271,-0.94966,1.13577
156,15700,-0.36134,1.07816,-0.65289,1.05607,-0.47462,1.08427,-0.98622,1.10983
157,15800,-0.36907,1.09829,-0.62438,1.06534,-0.49592,0.99423,-0.98128,1.09068
158,15900,-0.32321,1.01909,-0.61093,1.04372,-0.47725,1.05963,-1.02006,1.05710
159,16000,-0.33202,1.00583,-0.60866,1.11987,-0.44957,0.98988,-0.96152,1.08630
160,16100,-0.33314,1.08334,-0.57396,1.09160,-0.43547,1.07543,-0.98516,1.05883
161,16200,-0.34206,1.04425,-0.60841,1.08408,-0.46114,1.05506,-0.96514,0.98731
162,16300,-0.31001,1.07083,-0.63063,1.11444,-0.40219,1.06038,-0.97622,1.04856
163,16400,-0.28501,1.08247,-0.56092,1.05375,-0.42158,1.05640,-0.96287,1.04456
164,16500,-0.30379,1.13589,-0.57773,1.14938,-0.42606,1.08523,-0.95934,1.07146
165,16600,-0.25367,1.02402,-0.54239,1.11710,-0.35692,1.03421,-0.95201,1.11553
