iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss
165,16600,1.00010,0.04021,1.09793,0.90186,0.09425,1.59991
166,16700,1.04134,0.03952,1.09768,0.98277,0.09288,1.60016
167,16800,1.04905,0.03886,1.09778,0.94000,0.09196,1.59993
168,16900,0.98133,0.03819,1.09781,1.08311,0.09083,1.59984
169,17000,1.08727,0.03761,1.09756,1.00635,0.08985,1.59973
170,17100,1.07701,0.03699,1.09757,0.84560,0.08857,1.59947
171,17200,1.01854,0.03635,1.09766,1.00100,0.08772,1.59937
172,17300,1.11604,0.03580,1.09777,1.05048,0.08723,1.59926
173,17400,1.11805,0.03521,1.09766,1.02714,0.08582,1.59936
174,17500,0.91543,0.03465,1.09768,1.02978,0.08463,1.59946
175,17600,1.02036,0.03407,1.09788,0.98448,0.08367,1.59945
176,17700,0.87429,0.03351,1.09761,0.92935,0.08298,1.59896
177,17800,0.99476,0.03300,1.09782,0.90798,0.08207,1.59882
178,17900,1.00455,0.03247,1.09761,0.99533,0.08110,1.59872
179,18000,1.03223,0.03201,1.09757,1.08451,0.08040,1.59878
180,18100,1.15530,0.03152,1.09757,1.09918,0.07957,1.59826
181,18200,0.95997,0.03103,1.09757,1.08016,0.07852,1.59851
182,18300,1.03907,0.03053,1.09754,0.90600,0.07782,1.59840
183,18400,1.24035,0.03009,1.09778,0.95883,0.07705,1.59817
184,18500,0.90590,0.02963,1.09709,0.76363,0.07595,1.59792
185,18600,0.98619,0.02917,1.09741,1.00131,0.07529,1.59829
186,18700,0.85026,0.02873,1.09762,0.92614,0.07454,1.59805
187,18800,1.00534,0.02833,1.09767,0.88763,0.07355,1.59751
188,18900,1.04583,0.02789,1.09733,1.05604,0.07325,1.59801
189,19000,1.02647,0.02750,1.09759,0.88610,0.07259,1.59784
190,19100,0.96581,0.02708,1.09774,0.92546,0.07173,1.59747
191,19200,0.90216,0.02665,1.09748,1.00180,0.07093,1.59760
192,19300,0.95639,0.02633,1.09758,1.12667,0.07073,1.59701
193,19400,1.09664,0.02594,1.09733,0.81256,0.06975,1.59702
194,19500,0.90695,0.02554,1.09721,1.00542,0.06917,1.59699
195,19600,1.05311,0.02521,1.09759,1.02834,0.06829,1.59767
196,19700,1.10864,0.02484,1.09740,0.95074,0.06784,1.59661
197,19800,1.05714,0.02454,1.09790,0.94750,0.06718,1.59707
198,19900,1.06271,0.02418,1.09763,0.89448,0.06652,1.59661
199,20000,1.16761,0.02389,1.09778,1.14866,0.06627,1.59617
200,20100,1.07292,0.02350,1.09748,0.97342,0.06582,1.59620
201,20200,1.00529,0.02318,1.09751,1.03664,0.06499,1.59645
202,20300,0.93819,0.02290,1.09722,0.91252,0.06424,1.59598
203,20400,0.86880,0.02260,1.09742,0.87826,0.06375,1.59619
204,20500,0.88780,0.02231,1.09737,0.92009,0.06309,1.59615
205,20600,1.10312,0.02200,1.09726,1.16073,0.06304,1.59572
206,20700,1.11243,0.02171,1.09716,0.90712,0.06222,1.59565
207,20800,0.84249,0.02142,1.09735,1.13708,0.06190,1.59568
208,20900,0.92807,0.02114,1.09727,0.97910,0.06109,1.59551
209,21000,0.98040,0.02088,1.09694,0.90079,0.06042,1.59551
210,21100,1.01752,0.02058,1.09680,1.05482,0.06003,1.59533
211,21200,0.93321,0.02035,1.09769,0.95571,0.05970,1.59532
212,21300,1.04933,0.02008,1.09696,0.87733,0.05909,1.59458
213,21400,1.05101,0.01984,1.09708,1.10856,0.05880,1.59553
214,21500,0.96439,0.01958,1.09704,1.05895,0.05822,1.59479
215,21600,1.00852,0.01937,1.09722,0.88317,0.05775,1.59466
216,21700,0.90264,0.01912,1.09715,1.01133,0.05753,1.59434
217,21800,1.06667,0.01887,1.09668,0.99295,0.05701,1.59450
218,21900,0.87374,0.01866,1.09728,0.93643,0.05655,1.59459
219,22000,1.00566,0.01842,1.09686,0.91751,0.05608,1.59435
220,22100,1.04026,0.01825,1.09702,0.96984,0.05580,1.59409
221,22200,0.87070,0.01798,1.09675,1.01920,0.05540,1.59390
222,22300,0.94031,0.01778,1.09689,1.00713,0.05516,1.59411
223,22400,1.13265,0.01758,1.09712,0.89463,0.05439,1.59374
224,22500,0.94195,0.01738,1.09700,0.97832,0.05393,1.59368
225,22600,0.97206,0.01719,1.09699,0.98176,0.05394,1.59304
226,22700,1.03038,0.01698,1.09669,0.90391,0.05339,1.59349
227,22800,1.02184,0.01679,1.09696,1.03693,0.05313,1.59339
228,22900,0.94574,0.01660,1.09685,0.83185,0.05262,1.59307
229,23000,1.10681,0.01639,1.09641,0.86162,0.05227,1.59320
230,23100,0.96982,0.01621,1.09629,0.94839,0.05204,1.59299
231,23200,0.96823,0.01605,1.09671,0.98120,0.05194,1.59219
232,23300,1.07144,0.01586,1.09619,0.97261,0.05138,1.59246
233,23400,1.06298,0.01570,1.09688,0.95122,0.05088,1.59232
234,23500,1.08320,0.01553,1.09684,0.98939,0.05073,1.59232
235,23600,0.88448,0.01534,1.09622,0.98664,0.05029,1.59187
236,23700,1.01903,0.01518,1.09607,1.02678,0.05002,1.59176
237,23800,1.13410,0.01503,1.09633,0.97649,0.04954,1.59221
238,23900,1.05837,0.01487,1.09606,0.99742,0.04946,1.59147
239,24000,0.82170,0.01469,1.09577,0.99690,0.04927,1.59088
240,24100,1.24616,0.01456,1.09616,0.85045,0.04871,1.59115
241,24200,1.09412,0.01441,1.09601,0.89839,0.04875,1.59117
242,24300,1.02513,0.01424,1.09596,0.83871,0.04823,1.59099
243,24400,1.14119,0.01412,1.09657,0.98246,0.04798,1.59083
244,24500,1.03176,0.01396,1.09588,1.01659,0.04786,1.59072
245,24600,0.91050,0.01381,1.09592,0.96220,0.04751,1.59024
246,24700,0.98821,0.01367,1.09586,0.94181,0.04714,1.59027
247,24800,0.95548,0.01352,1.09580,0.92115,0.04696,1.59039
248,24900,0.89594,0.01338,1.09566,1.10608,0.04695,1.58986
