iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_icm_forward_loss,4_icm_inverse_loss
85,8600,-3.26683,0.97839,0.05055,2.20288,-3.16371,0.94096,0.05023,2.21368,-2.96937,0.94149,0.05025,2.20800,-3.64578,0.93734,0.05030,2.21044
86,8700,-3.21711,0.98035,0.04926,2.21066,-3.15321,0.99338,0.04913,2.20893,-2.92136,1.04268,0.04946,2.20750,-3.63319,0.99487,0.04918,2.21042
87,8800,-3.24273,0.99087,0.04846,2.21078,-3.14002,0.99196,0.04869,2.20755,-2.90709,0.94016,0.04833,2.20392,-3.61054,0.90720,0.04832,2.20509
88,8900,-3.12889,0.90149,0.04741,2.20641,-3.08012,0.99384,0.04762,2.20219,-2.87694,1.01237,0.04773,2.21165,-3.65807,0.86062,0.04763,2.21007
89,9000,-3.13086,0.94822,0.04669,2.19944,-3.02572,0.95574,0.04708,2.19978,-2.85259,0.94470,0.04670,2.19898,-3.63070,0.89703,0.04677,2.19062
90,9100,-3.07193,0.94972,0.04595,2.19912,-3.02310,0.92600,0.04583,2.18903,-2.81515,0.99280,0.04595,2.19288,-3.62884,0.84143,0.04596,2.19830
91,9200,-3.08143,0.95396,0.04492,2.19154,-2.97677,0.97285,0.04517,2.19200,-2.76603,0.93079,0.04526,2.18922,-3.59069,0.83644,0.04519,2.20080
92,9300,-3.00898,0.96752,0.04437,2.19251,-2.96966,0.93271,0.04466,2.18844,-2.74612,0.92149,0.04479,2.20048,-3.56081,0.87827,0.04453,2.18810
93,9400,-2.96941,0.94078,0.04351,2.18050,-2.94275,0.98874,0.04373,2.18157,-2.70009,0.92588,0.04369,2.18963,-3.57940,0.84629,0.04357,2.18325
94,9500,-2.94500,0.95577,0.04302,2.19336,-2.88033,1.01894,0.04313,2.18385,-2.64148,0.94128,0.04291,2.18732,-3.57942,0.92469,0.04295,2.19261
95,9600,-2.91379,0.91746,0.04227,2.18791,-2.85796,0.97289,0.04221,2.18110,-2.61241,0.93810,0.04215,2.18198,-3.53250,0.86973,0.04218,2.19247
96,9700,-2.89343,0.96539,0.04132,2.18992,-2.84068,0.93443,0.04177,2.18841,-2.58842,0.93043,0.04147,2.18262,-3.51429,0.89089,0.04156,2.19223
97,9800,-2.85252,0.94752,0.04100,2.17382,-2.81113,0.92578,0.04087,2.17435,-2.57447,0.97436,0.04075,2.18104,-3.51134,0.90499,0.04077,2.17862
98,9900,-2.81128,0.91725,0.03992,2.17386,-2.75294,0.89370,0.04009,2.17649,-2.55121,0.94694,0.04012,2.18538,-3.49371,0.89363,0.04017,2.17168
99,10000,-2.79232,0.97185,0.03936,2.17015,-2.72745,0.97419,0.03979,2.17666,-2.52261,1.00901,0.03954,2.17637,-3.47888,0.89589,0.03939,2.18098
