iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_icm_forward_loss,4_icm_inverse_loss
43,4400,-10.10739,1.24353,0.20909,1.61010,-9.71199,1.05134,0.20556,1.60392,-9.89615,1.10447,0.21385,1.58144,-7.93730,1.27386,0.16999,1.60872
44,4500,-10.09880,1.10102,0.20483,1.60917,-9.83424,1.37561,0.20072,1.60402,-9.94187,1.09524,0.20956,1.58166,-8.06336,1.02450,0.16654,1.60884
45,4600,-10.06281,1.20378,0.20054,1.60897,-9.82629,1.08486,0.19651,1.60413,-9.87810,1.06594,0.20573,1.58129,-8.00110,1.00265,0.16311,1.60752
46,4700,-10.13732,1.12336,0.19553,1.60828,-9.68755,1.10096,0.19214,1.60369,-9.90993,1.14950,0.20137,1.58132,-8.01226,1.04956,0.15957,1.60805
47,4800,-9.97515,1.02729,0.19085,1.60797,-9.68982,1.12795,0.18745,1.60426,-9.82547,1.14376,0.19523,1.58055,-7.92444,0.96565,0.15575,1.60803
48,4900,-9.93381,1.03736,0.18595,1.60753,-9.57518,1.03306,0.18297,1.60351,-9.83293,1.11015,0.19095,1.58088,-7.89642,0.93481,0.15252,1.60765
49,5000,-9.81160,1.01675,0.18238,1.60760,-9.61652,1.08845,0.17883,1.60377,-9.73283,1.07187,0.18663,1.58033,-7.93560,0.95264,0.15020,1.60709
50,5100,-9.77566,1.18968,0.17766,1.60687,-9.54359,1.09829,0.17543,1.60324,-9.75885,1.23839,0.18258,1.58051,-7.92749,1.11852,0.14703,1.60645
51,5200,-9.70466,1.11330,0.17311,1.60792,-9.45075,1.02171,0.17093,1.60233,-9.69006,1.07160,0.17821,1.58130,-7.84757,0.99531,0.14390,1.60584
52,5300,-9.68614,1.08933,0.16897,1.60737,-9.46339,0.95058,0.16756,1.60299,-9.63706,1.20437,0.17401,1.58094,-7.76694,1.03696,0.14080,1.60513
53,5400,-9.50709,1.09219,0.16489,1.60697,-9.39588,1.12288,0.16334,1.60176,-9.60957,1.00611,0.17034,1.58059,-7.81419,1.05429,0.13787,1.60569
54,5500,-9.55560,1.16057,0.16119,1.60633,-9.35343,1.10902,0.16001,1.60179,-9.65293,1.02949,0.16640,1.58048,-7.71811,1.12448,0.13515,1.60547
55,5600,-9.47925,1.07727,0.15781,1.60581,-9.33979,1.13180,0.15592,1.60170,-9.57224,1.04405,0.16314,1.57966,-7.67791,0.99217,0.13236,1.60480
56,5700,-9.40683,1.08818,0.15371,1.60589,-9.25732,1.19000,0.15239,1.60194,-9.41871,1.01359,0.15851,1.58032,-7.65142,1.07233,0.12984,1.60463
57,5800,-9.37114,1.09976,0.15056,1.60501,-9.12602,1.02721,0.14881,1.60190,-9.36907,1.04319,0.15591,1.57922,-7.61947,1.07840,0.12682,1.60376
58,5900,-9.28802,1.13423,0.14707,1.60497,-9.06375,1.09895,0.14570,1.60191,-9.41319,1.07846,0.15277,1.57879,-7.51364,1.04195,0.12452,1.60324
59,6000,-9.22465,1.11577,0.14364,1.60470,-9.00504,1.11220,0.14224,1.60232,-9.21647,1.14480,0.14925,1.57797,-7.52360,1.05463,0.12197,1.60301
60,6100,-9.11387,1.12671,0.14051,1.60402,-8.93574,1.08479,0.13898,1.60185,-9.15982,1.25155,0.14548,1.57772,-7.40557,1.01716,0.11938,1.60243
61,6200,-8.94482,1.09855,0.13772,1.60386,-8.90668,1.00989,0.13536,1.60178,-9.08579,1.01450,0.14190,1.57909,-7.37790,1.09223,0.11689,1.60258
62,6300,-8.85730,1.09307,0.13422,1.60374,-8.78231,1.05660,0.13248,1.60065,-9.12863,1.12478,0.13909,1.57744,-7.34925,0.92006,0.11474,1.60136
63,6400,-8.86510,1.00261,0.13134,1.60325,-8.71127,1.02272,0.12995,1.60143,-8.96234,1.01096,0.13607,1.57734,-7.31690,1.00570,0.11207,1.60176
64,6500,-8.79235,1.16434,0.12794,1.60304,-8.67550,1.15961,0.12627,1.60083,-8.86632,1.00728,0.13355,1.57845,-7.24546,1.02841,0.10964,1.60133
65,6600,-8.70512,1.04351,0.12562,1.60288,-8.62478,1.05337,0.12368,1.60005,-8.82598,1.10977,0.12933,1.57670,-7.19269,0.93594,0.10757,1.60180
66,6700,-8.53525,1.03233,0.12222,1.60273,-8.54194,1.04314,0.12109,1.59977,-8.71225,1.12351,0.12644,1.57682,-7.14649,1.11616,0.10534,1.60080
67,6800,-8.51137,1.05161,0.11988,1.60253,-8.35232,0.98143,0.11831,1.59991,-8.60754,1.07841,0.12415,1.57746,-7.10289,0.94971,0.10321,1.60016
68,6900,-8.40986,0.98553,0.11692,1.60183,-8.28299,1.00261,0.11583,1.59996,-8.54613,1.02174,0.12140,1.57656,-7.05317,1.03311,0.10136,1.59955
69,7000,-8.32213,1.12515,0.11439,1.60172,-8.25936,0.99002,0.11316,1.60015,-8.51028,1.03888,0.11873,1.57742,-7.01207,0.95247,0.09933,1.59978
70,7100,-8.28432,1.17257,0.11205,1.60167,-8.20821,1.03705,0.11050,1.60019,-8.39668,0.97947,0.11508,1.57723,-6.95264,0.92084,0.09742,1.60003
71,7200,-8.17668,1.13986,0.10965,1.60135,-8.08989,1.06904,0.10800,1.59977,-8.28768,0.96190,0.11338,1.57638,-6.96909,0.97797,0.09525,1.59887
72,7300,-8.23210,1.17246,0.10685,1.60015,-8.02445,1.01977,0.10568,1.59882,-8.21743,1.09280,0.11000,1.57612,-6.84318,1.00322,0.09314,1.59870
73,7400,-7.92922,1.20026,0.10465,1.60076,-7.90826,1.01610,0.10352,1.59940,-8.13809,1.02589,0.10779,1.57644,-6.81521,0.95985,0.09169,1.59867
74,7500,-7.85460,1.06878,0.10245,1.60049,-7.82560,1.08600,0.10115,1.59906,-8.06487,1.15969,0.10549,1.57713,-6.74216,1.00217,0.08960,1.59855
75,7600,-7.86020,1.07129,0.10016,1.60005,-7.77969,1.02729,0.09879,1.59863,-7.96102,1.03083,0.10357,1.57656,-6.67963,0.98086,0.08815,1.59767
76,7700,-7.74832,1.06264,0.09812,1.59994,-7.73010,0.97097,0.09712,1.59900,-7.92104,0.96964,0.10095,1.57802,-6.64691,1.00514,0.08660,1.59765
77,7800,-7.64446,1.09492,0.09639,1.59976,-7.55502,1.10487,0.09541,1.59808,-7.74306,1.02701,0.09839,1.57719,-6.61811,0.97617,0.08490,1.59692
78,7900,-7.59600,0.97579,0.09448,1.59970,-7.56623,1.04040,0.09324,1.59878,-7.74056,1.04625,0.09651,1.57588,-6.55464,1.01908,0.08288,1.59653
79,8000,-7.49796,1.08950,0.09223,1.59945,-7.39323,0.98481,0.09144,1.59813,-7.64980,1.07354,0.09434,1.57760,-6.48159,1.02174,0.08165,1.59681
80,8100,-7.41871,1.07325,0.09045,1.59900,-7.41291,0.99875,0.08969,1.59747,-7.50678,0.94503,0.09253,1.57806,-6.43510,0.97315,0.07989,1.59601
81,8200,-7.34050,1.14533,0.08888,1.59851,-7.27826,1.04762,0.08761,1.59703,-7.47047,1.05992,0.09098,1.57747,-6.40959,1.04218,0.07875,1.59574
82,8300,-7.17699,1.10181,0.08742,1.59848,-7.15454,0.99862,0.08638,1.59748,-7.33792,0.97512,0.08887,1.57839,-6.25343,1.07324,0.07743,1.59564
83,8400,-7.08932,1.06300,0.08570,1.59858,-7.09681,1.02447,0.08521,1.59738,-7.27953,1.00649,0.08757,1.57597,-6.28209,0.98890,0.07589,1.59510
84,8500,-6.97998,0.99898,0.08385,1.59837,-7.00832,1.05917,0.08343,1.59672,-7.18412,1.04205,0.08611,1.57750,-6.19943,1.06211,0.07474,1.59459
85,8600,-6.93937,1.03514,0.08277,1.59769,-6.94347,1.00425,0.08208,1.59712,-7.07570,1.04038,0.08444,1.57803,-6.16150,0.97154,0.07327,1.59434
86,8700,-6.84375,0.97177,0.08197,1.59812,-6.83413,1.00902,0.08069,1.59679,-6.99745,1.05030,0.08283,1.57750,-6.14784,1.03405,0.07226,1.59469
87,8800,-6.75354,0.95227,0.08042,1.59732,-6.73990,1.08497,0.07955,1.59646,-6.88601,0.98412,0.08181,1.57773,-6.03277,1.04786,0.07108,1.59438
88,8900,-6.66635,0.96907,0.07921,1.59712,-6.66057,1.07494,0.07841,1.59784,-6.82143,1.00422,0.08049,1.57782,-6.02391,1.02343,0.06992,1.59437
89,9000,-6.60641,1.03981,0.07785,1.59745,-6.60092,1.06914,0.07753,1.59651,-6.69934,1.07860,0.07904,1.57705,-5.96642,0.93440,0.06869,1.59375
90,9100,-6.54728,1.01619,0.07664,1.59687,-6.52647,1.07634,0.07604,1.59610,-6.59680,1.21166,0.07820,1.57737,-5.91910,1.00505,0.06761,1.59366
91,9200,-6.45958,1.11292,0.07596,1.59717,-6.46649,1.09026,0.07545,1.59568,-6.51231,0.98483,0.07690,1.57731,-5.89020,1.06746,0.06685,1.59422
92,9300,-6.37751,0.96735,0.07491,1.59666,-6.36239,1.04419,0.07455,1.59556,-6.39195,1.02216,0.07596,1.57678,-5.86042,0.95018,0.06582,1.59287
93,9400,-6.34115,1.07131,0.07385,1.59678,-6.34611,1.01397,0.07364,1.59579,-6.33871,0.94797,0.07454,1.57681,-5.81258,0.94608,0.06506,1.59335
