iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss,4_iql_loss,4_icm_forward_loss,4_icm_inverse_loss
62,6300,0.96310,0.12977,1.60797,1.00993,0.13054,1.60436,1.08470,0.12985,1.60352,0.97907,0.11007,1.60888
63,6400,1.12988,0.12715,1.60769,1.08126,0.12752,1.60406,1.01202,0.12735,1.60370,0.92189,0.10761,1.60932
64,6500,0.97700,0.12396,1.60769,0.99107,0.12447,1.60381,0.96794,0.12426,1.60343,0.97488,0.10516,1.60943
65,6600,0.92658,0.12108,1.60719,1.02671,0.12182,1.60332,1.05636,0.12187,1.60359,0.96197,0.10320,1.60884
66,6700,1.02460,0.11836,1.60755,1.03222,0.11928,1.60408,0.99414,0.11826,1.60266,0.91076,0.10090,1.60926
67,6800,0.94327,0.11546,1.60724,1.06179,0.11611,1.60296,1.02101,0.11575,1.60223,0.93697,0.09851,1.60929
68,6900,0.99865,0.11309,1.60684,1.06858,0.11380,1.60352,1.03123,0.11345,1.60287,0.96419,0.09660,1.60900
69,7000,1.02118,0.11057,1.60753,1.06181,0.11128,1.60306,0.89362,0.11063,1.60220,0.97369,0.09427,1.60908
70,7100,1.02695,0.10776,1.60671,0.94167,0.10884,1.60319,1.03903,0.10794,1.60246,0.97597,0.09209,1.60893
71,7200,1.01316,0.10558,1.60688,0.95461,0.10706,1.60259,0.97862,0.10568,1.60224,0.91089,0.09042,1.60916
72,7300,1.03633,0.10325,1.60670,0.99919,0.10436,1.60295,1.03131,0.10355,1.60199,0.97510,0.08852,1.60873
73,7400,1.04002,0.10088,1.60660,1.01950,0.10217,1.60294,0.99900,0.10142,1.60225,0.91926,0.08662,1.60899
74,7500,1.00936,0.09893,1.60622,1.12200,0.09992,1.60255,0.96264,0.09933,1.60134,0.96381,0.08513,1.60892
75,7600,0.98578,0.09611,1.60620,1.03470,0.09750,1.60272,1.08141,0.09655,1.60195,0.90288,0.08309,1.60925
76,7700,0.96559,0.09444,1.60612,0.98656,0.09517,1.60247,1.01273,0.09513,1.60232,0.99021,0.08120,1.60902
77,7800,1.06472,0.09251,1.60615,0.94569,0.09352,1.60198,1.00210,0.09271,1.60123,0.94198,0.08005,1.60936
78,7900,0.98790,0.09099,1.60607,1.01723,0.09136,1.60159,1.04052,0.09123,1.60161,0.86045,0.07869,1.60884
79,8000,1.04388,0.08881,1.60599,0.99944,0.08998,1.60200,0.98378,0.08977,1.60058,0.97300,0.07714,1.60934
80,8100,1.00022,0.08738,1.60606,1.02052,0.08793,1.60179,0.97830,0.08796,1.60052,0.93135,0.07588,1.60880
81,8200,1.04246,0.08532,1.60555,1.04644,0.08636,1.60154,0.95822,0.08601,1.60066,0.98562,0.07473,1.60913
82,8300,1.00245,0.08412,1.60556,0.96209,0.08503,1.60201,1.05155,0.08434,1.60032,0.92467,0.07331,1.60912
83,8400,1.08382,0.08229,1.60566,1.02539,0.08363,1.60194,1.10840,0.08311,1.60044,0.88927,0.07186,1.60880
