iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value,4_maddpg_actor_loss,4_maddpg_critic_loss,4_count_value
69,7000,-20.09580,3.20295,0.36359,-19.76590,2.57434,0.35903,-20.35576,2.42783,0.35616,-16.41359,2.30541,0.29267
70,7100,-20.20158,2.78590,0.36162,-19.85951,2.57098,0.35838,-20.59370,2.36763,0.35739,-16.38658,2.49224,0.29126
71,7200,-20.40621,2.65983,0.36296,-19.86936,2.46363,0.35643,-20.65903,2.20319,0.35756,-16.43406,2.55206,0.29333
72,7300,-20.45728,2.65260,0.36244,-20.16682,2.53719,0.35625,-20.85303,2.69012,0.35569,-16.41555,2.12834,0.29120
73,7400,-20.60254,2.69728,0.36245,-20.21221,2.48293,0.36001,-20.85305,2.66313,0.35647,-16.52396,2.20237,0.29115
74,7500,-20.64756,2.47867,0.36083,-20.21722,2.59828,0.35626,-21.15850,2.56053,0.35631,-16.51672,2.13376,0.28914
75,7600,-20.63584,2.40970,0.36394,-20.44024,2.61827,0.35480,-21.19791,2.68390,0.35745,-16.60095,2.06666,0.29010
76,7700,-20.80435,2.40887,0.36235,-20.66232,2.78775,0.35890,-21.23662,3.44022,0.35531,-16.54910,2.23895,0.28526
77,7800,-20.92920,2.34790,0.35938,-20.66386,2.75745,0.35838,-21.53458,2.67060,0.35775,-16.64614,2.16900,0.28583
78,7900,-21.10718,3.19769,0.36203,-20.83853,2.63792,0.35706,-21.62410,2.55610,0.35432,-16.63666,2.21279,0.28834
79,8000,-21.23919,2.68082,0.36518,-20.97221,2.70657,0.35316,-21.72687,2.49813,0.35778,-16.79597,2.28426,0.28956
80,8100,-21.35932,2.86179,0.35917,-21.00506,2.79291,0.35549,-21.80913,2.50882,0.35540,-16.62167,2.15882,0.28676
81,8200,-21.26079,2.81675,0.36301,-21.03997,2.59083,0.35546,-21.82646,2.41987,0.35796,-16.72907,2.54247,0.28775
82,8300,-21.61767,2.75860,0.36234,-21.26049,2.48864,0.35593,-22.00255,2.38534,0.35655,-16.73302,2.38718,0.28880
83,8400,-21.74161,3.09817,0.36015,-21.35052,2.52440,0.35620,-21.95450,2.91651,0.35656,-16.93094,2.73328,0.28947
84,8500,-21.78109,4.30636,0.35969,-21.46608,2.65661,0.35447,-22.20175,2.80890,0.35743,-16.89176,2.47018,0.29015
85,8600,-21.91363,3.19693,0.36206,-21.13374,3.46047,0.35163,-22.31962,2.91740,0.35622,-16.90994,2.43753,0.28666
86,8700,-22.17696,3.21965,0.36146,-21.45203,2.89012,0.35528,-22.40007,2.89831,0.35538,-16.85174,2.25027,0.28713
87,8800,-21.92929,3.63967,0.36067,-21.55317,3.24830,0.35091,-22.44731,2.87389,0.35598,-17.07667,2.52880,0.28879
88,8900,-22.21560,2.56736,0.35963,-21.65012,2.95610,0.35079,-22.61310,2.37528,0.35424,-16.98151,2.51162,0.28755
89,9000,-22.19300,3.02429,0.35978,-21.66877,2.61872,0.35556,-22.44344,2.87661,0.35288,-17.13381,2.34954,0.28705
90,9100,-22.22504,3.16078,0.35775,-21.80979,2.33425,0.35270,-22.70070,2.75699,0.35515,-17.30023,2.58014,0.28914
91,9200,-22.18444,2.55364,0.35834,-21.80746,3.06514,0.35573,-22.67911,3.48592,0.35369,-17.10951,2.63323,0.28558
92,9300,-22.19966,2.67443,0.35946,-21.71292,3.04711,0.35099,-22.98853,3.75023,0.35422,-17.23091,2.91137,0.28538
93,9400,-22.39666,3.08573,0.35782,-21.69027,2.60072,0.35287,-22.68111,2.98638,0.35231,-17.22911,2.56388,0.28763
94,9500,-22.42539,2.66465,0.35975,-21.83133,2.79170,0.35287,-22.91235,3.12663,0.35115,-17.21413,2.87528,0.28686
95,9600,-22.58186,2.61415,0.35934,-21.84190,2.71635,0.35320,-22.95650,3.18303,0.35412,-17.20497,2.58845,0.28591
96,9700,-22.50203,2.71383,0.35553,-21.97196,2.78409,0.35076,-23.08087,2.64871,0.35375,-17.39999,2.39284,0.28715
97,9800,-22.51167,2.56095,0.35893,-21.79411,2.83413,0.35081,-23.04142,2.88403,0.35349,-17.48496,2.38510,0.28590
98,9900,-22.63585,2.51040,0.35915,-21.82037,2.79877,0.35234,-23.15391,2.82613,0.35428,-17.38625,2.46513,0.28255
99,10000,-22.59089,2.39762,0.35777,-21.96942,2.49899,0.35198,-23.25281,3.10632,0.35536,-17.38908,2.53384,0.28439
100,10100,-22.74645,2.98070,0.35780,-22.01856,2.66796,0.35292,-23.24064,3.45976,0.35278,-17.57870,2.80465,0.28152
101,10200,-22.81924,3.00504,0.35417,-22.07166,2.94486,0.35165,-23.32113,3.09112,0.35118,-17.60747,2.79725,0.28345
102,10300,-22.79416,2.84216,0.35779,-22.11869,2.95339,0.35086,-23.51846,2.97123,0.35286,-17.66922,2.73549,0.28300
103,10400,-22.73164,2.63525,0.35838,-22.11264,2.72899,0.34942,-23.53277,2.91146,0.35252,-17.71437,2.72237,0.28459
104,10500,-23.11756,2.66764,0.35449,-22.16296,2.74404,0.35111,-23.53153,2.97027,0.35158,-17.74437,2.59262,0.28154
105,10600,-23.16303,2.83911,0.35544,-22.19290,2.89320,0.34991,-23.62429,2.79760,0.35146,-17.65528,2.61224,0.28261
106,10700,-22.85669,3.07687,0.35385,-22.33738,2.86505,0.34893,-23.67128,3.14326,0.35215,-17.74440,2.59720,0.27980
107,10800,-23.07315,3.64057,0.35482,-22.21337,2.79139,0.34762,-23.72533,2.77276,0.35075,-17.86296,2.46646,0.27787
108,10900,-23.02291,2.56068,0.35501,-22.43358,2.98319,0.35011,-23.70295,3.25107,0.34694,-17.92556,2.42193,0.27758
109,11000,-22.99392,2.72644,0.35490,-22.35560,2.72254,0.34843,-23.74176,3.18960,0.34711,-18.04253,2.71476,0.27901
110,11100,-23.08333,2.85764,0.35280,-22.46767,2.39005,0.34714,-23.84068,2.77401,0.34750,-18.06781,2.63085,0.27765
111,11200,-23.05956,3.13418,0.35183,-22.66439,2.91412,0.34669,-23.86424,2.90174,0.34901,-17.95920,3.47503,0.27592
112,11300,-23.24120,2.73331,0.35686,-22.53296,2.56766,0.34705,-24.05454,2.84168,0.34462,-18.02256,2.67563,0.27464
113,11400,-23.21200,2.70759,0.35580,-22.62330,2.46921,0.34614,-23.99624,3.23702,0.34346,-18.06444,2.72011,0.27431
114,11500,-23.12452,2.93670,0.35069,-22.64036,2.99669,0.34902,-24.16709,3.38212,0.34637,-18.08442,2.70871,0.27678
115,11600,-23.23432,2.53265,0.35231,-22.73050,2.88529,0.34613,-24.12107,3.02136,0.34515,-17.83451,2.82009,0.27283
116,11700,-23.24600,2.45986,0.35246,-22.62723,2.93311,0.34620,-24.14780,3.06690,0.34550,-18.07223,2.44309,0.27277
117,11800,-23.20562,2.50996,0.35064,-22.61851,2.76321,0.34456,-24.14387,3.00506,0.34131,-18.12137,2.39374,0.27142
118,11900,-23.24848,2.49173,0.34943,-22.72025,2.69503,0.34420,-24.22663,3.02139,0.34094,-18.10347,2.78761,0.27386
119,12000,-23.16103,2.58201,0.35124,-22.92277,2.86420,0.34344,-24.20655,3.04645,0.34237,-18.17090,2.51107,0.27060
120,12100,-23.43929,2.90038,0.35202,-22.86256,2.95272,0.34201,-24.21175,3.19392,0.34080,-18.14508,2.75858,0.27219
121,12200,-23.34779,3.29536,0.35305,-22.92017,2.80648,0.34409,-24.29912,3.25535,0.34183,-18.05199,2.68317,0.26998
122,12300,-23.34928,2.86159,0.35248,-22.88044,2.77837,0.34241,-24.34040,3.76203,0.34124,-18.00633,2.59661,0.27050
123,12400,-23.24980,2.93453,0.35183,-22.95981,2.61014,0.33974,-24.43981,3.31912,0.34133,-18.16560,2.55348,0.27079
124,12500,-23.47942,2.61955,0.35205,-22.94341,2.81376,0.34244,-24.34570,3.22269,0.33932,-18.24192,2.38892,0.27066
125,12600,-23.55362,3.01263,0.34751,-23.07990,2.58113,0.34049,-24.39860,3.28060,0.33916,-18.15301,2.46536,0.27026
126,12700,-23.34509,2.58271,0.35256,-23.02377,2.47874,0.33940,-24.44546,3.08657,0.33852,-18.19304,2.55778,0.26836
127,12800,-23.47938,2.40733,0.34694,-22.98027,2.44758,0.34069,-24.41274,3.07721,0.34100,-18.20492,2.42763,0.26664
128,12900,-23.56307,2.44041,0.34943,-23.12950,2.67417,0.34026,-24.27453,3.66507,0.33877,-18.22827,2.29778,0.26668
129,13000,-23.58365,3.59459,0.35017,-23.14708,2.53620,0.33767,-24.50899,3.39715,0.33851,-18.25145,2.52263,0.26754
130,13100,-23.58349,2.75333,0.34778,-23.22588,2.52164,0.33995,-24.53807,3.40840,0.33983,-18.19229,2.32203,0.26536
131,13200,-23.53629,3.04681,0.34881,-23.26854,2.80926,0.33767,-24.46328,3.39358,0.33849,-18.26718,2.23465,0.26661
132,13300,-23.45544,3.26026,0.34776,-23.31915,2.83842,0.34221,-24.49063,3.14012,0.33727,-18.23476,2.21009,0.26766
133,13400,-23.44769,2.92411,0.34833,-23.22388,2.95837,0.34027,-24.59258,3.33240,0.33562,-18.18843,2.31574,0.26428
134,13500,-23.54824,3.08594,0.34619,-23.50312,2.88878,0.33846,-24.44456,4.27291,0.33707,-18.24967,2.39207,0.26399
135,13600,-23.47438,2.77807,0.34839,-23.55927,2.96714,0.33733,-24.79762,4.99364,0.33656,-18.19894,2.31843,0.26606
136,13700,-23.51553,2.72772,0.34772,-23.50054,2.67054,0.33742,-24.50694,3.38660,0.33596,-18.18181,2.40633,0.26463
137,13800,-23.49796,2.86117,0.34695,-23.50045,3.10020,0.33977,-24.59844,3.20126,0.33714,-18.15413,2.51796,0.26272
138,13900,-23.46001,3.70219,0.34703,-23.55196,2.70556,0.33654,-24.72609,3.14471,0.33700,-18.09395,2.54797,0.26300
139,14000,-23.34657,3.34242,0.34451,-23.61789,3.20023,0.33970,-24.58576,3.17393,0.33740,-18.07559,2.41456,0.26581
140,14100,-23.39660,2.72552,0.34898,-23.61660,2.83164,0.33696,-24.61182,3.02319,0.33430,-18.15522,2.26989,0.26665
141,14200,-23.44049,2.59984,0.34632,-23.42897,2.83459,0.33717,-24.63244,3.25966,0.33679,-18.17002,2.26811,0.26484
142,14300,-23.49354,2.54694,0.34700,-23.56565,2.68528,0.33821,-24.53368,3.18253,0.33798,-18.07957,2.63476,0.26591
143,14400,-23.43742,2.56630,0.34503,-23.57861,2.68318,0.33765,-24.56607,3.26233,0.33552,-18.08993,2.37813,0.26450
144,14500,-23.50853,2.57325,0.34575,-23.49882,3.05318,0.33717,-24.72384,3.33805,0.33277,-18.09278,2.40016,0.26165
145,14600,-23.55317,2.63041,0.34477,-23.66210,2.82114,0.33901,-24.55983,3.16265,0.33403,-18.04752,2.22641,0.26368
146,14700,-23.47232,2.80780,0.34640,-23.44255,2.77556,0.33820,-24.68015,3.11887,0.33534,-18.06539,2.59530,0.26484
147,14800,-23.36273,2.82205,0.34633,-23.61055,2.78770,0.33703,-24.52036,3.06014,0.33348,-18.06952,2.58032,0.26082
148,14900,-23.56938,2.54833,0.34440,-23.57203,2.79877,0.33801,-24.73914,3.15030,0.33606,-18.12841,2.44503,0.26427
149,15000,-23.65421,2.98034,0.34345,-23.60041,2.77339,0.33637,-24.59020,3.37928,0.33259,-18.08225,2.39121,0.26461
150,15100,-23.61260,3.09340,0.34557,-23.52884,2.63357,0.33387,-24.66750,3.01438,0.33076,-18.20948,2.49135,0.26565
151,15200,-23.59602,2.95951,0.34752,-23.62946,2.78836,0.33543,-24.62841,3.34081,0.33255,-18.14523,2.54613,0.26487
