iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss
157,15800,-6.45025,0.28561,0.05976,1.31792,-6.84581,0.22399,0.06024,1.31807
158,15900,-6.46954,0.21353,0.05989,1.31856,-6.88035,0.20670,0.06081,1.32257
159,16000,-6.46210,0.19727,0.06052,1.30669,-6.82288,0.26545,0.06062,1.30898
160,16100,-6.48938,0.18724,0.06105,1.30385,-6.84509,0.32598,0.06108,1.29501
161,16200,-6.40537,0.23193,0.06193,1.30166,-6.87939,0.31289,0.06126,1.29786
162,16300,-6.48341,0.23100,0.06146,1.29127,-6.89244,0.19991,0.06215,1.29421
163,16400,-6.44868,0.38238,0.06258,1.28672,-6.94470,0.19190,0.06165,1.28651
164,16500,-6.52286,0.31389,0.06328,1.28108,-6.98553,0.19961,0.06220,1.28917
165,16600,-6.52110,0.26458,0.06301,1.27034,-6.94422,0.17233,0.06305,1.27939
166,16700,-6.49670,0.21522,0.06320,1.27121,-6.90383,0.21192,0.06352,1.26836
167,16800,-6.53932,0.17165,0.06336,1.25572,-6.94377,0.19603,0.06351,1.26898
168,16900,-6.49599,0.22025,0.06456,1.26122,-7.04842,0.17536,0.06421,1.25897
169,17000,-6.57155,0.19837,0.06438,1.25432,-7.05893,0.18012,0.06468,1.25062
170,17100,-6.56839,0.23437,0.06411,1.24743,-7.02477,0.19123,0.06450,1.24805
171,17200,-6.62570,0.21427,0.06429,1.25228,-7.03559,0.16266,0.06414,1.24077
172,17300,-6.57610,0.19894,0.06539,1.23993,-7.05277,0.17148,0.06532,1.24165
173,17400,-6.68403,0.20649,0.06575,1.22926,-7.05818,0.21684,0.06530,1.23905
174,17500,-6.59779,0.20425,0.06563,1.21829,-6.98668,0.16978,0.06563,1.23064
175,17600,-6.66086,0.20838,0.06624,1.22335,-7.04972,0.21589,0.06596,1.22904
176,17700,-6.61529,0.21158,0.06641,1.21511,-7.07990,0.18809,0.06631,1.21338
177,17800,-6.66062,0.19889,0.06647,1.19975,-7.11649,0.19760,0.06601,1.20740
178,17900,-6.67701,0.16311,0.06646,1.20340,-7.07770,0.17828,0.06663,1.20661
179,18000,-6.63090,0.22190,0.06648,1.20221,-7.11719,0.20981,0.06666,1.18514
180,18100,-6.70286,0.20591,0.06767,1.19429,-7.13552,0.17200,0.06690,1.18114
181,18200,-6.68335,0.21015,0.06726,1.18331,-7.09905,0.18560,0.06734,1.18693
182,18300,-6.69796,0.23143,0.06810,1.17617,-7.15159,0.18731,0.06687,1.17971
183,18400,-6.73056,0.24027,0.06782,1.17128,-7.18916,0.19635,0.06796,1.17658
184,18500,-6.72935,0.21483,0.06731,1.17000,-7.13923,0.20271,0.06782,1.16897
185,18600,-6.73345,0.24671,0.06812,1.16198,-7.15587,0.20687,0.06772,1.16219
186,18700,-6.71198,0.23489,0.06870,1.16279,-7.16433,0.19181,0.06810,1.15514
187,18800,-6.72881,0.23997,0.06828,1.14671,-7.16799,0.17251,0.06803,1.15409
188,18900,-6.78933,0.23686,0.06855,1.14173,-7.19073,0.22637,0.06791,1.14421
189,19000,-6.75801,0.22036,0.06869,1.13021,-7.21923,0.18578,0.06803,1.13848
190,19100,-6.83439,0.20082,0.06878,1.13407,-7.28167,0.17498,0.06933,1.13759
191,19200,-6.74123,0.21614,0.06929,1.12985,-7.25423,0.16824,0.06958,1.12127
192,19300,-6.77085,0.25197,0.06921,1.11896,-7.28036,0.22193,0.06824,1.11883
193,19400,-6.74449,0.21820,0.06843,1.11748,-7.29059,0.20315,0.06941,1.11166
194,19500,-6.81581,0.25735,0.06939,1.11684,-7.26851,0.22908,0.06817,1.10375
195,19600,-6.83892,0.18086,0.06943,1.10247,-7.29531,0.18867,0.06901,1.10413
196,19700,-6.86203,0.20665,0.06889,1.09330,-7.29294,0.20394,0.06979,1.09597
197,19800,-6.87284,0.22458,0.06982,1.09184,-7.28154,0.16424,0.07072,1.09865
198,19900,-6.89704,0.19683,0.07006,1.08289,-7.30518,0.18555,0.06981,1.09184
199,20000,-6.89156,0.22028,0.06969,1.07726,-7.32011,0.21639,0.07046,1.08522
200,20100,-6.89653,0.26710,0.06977,1.07807,-7.30198,0.20661,0.07042,1.07075
201,20200,-6.86125,0.19710,0.07057,1.07468,-7.32790,0.20761,0.07096,1.06934
202,20300,-6.91550,0.19595,0.07069,1.06709,-7.35668,0.20419,0.07020,1.06837
203,20400,-6.88277,0.22110,0.06993,1.05711,-7.33286,0.15498,0.07041,1.06795
204,20500,-6.90411,0.22538,0.06951,1.04945,-7.36660,0.15479,0.07093,1.06287
205,20600,-6.87840,0.19073,0.07037,1.05042,-7.36700,0.18066,0.07113,1.04783
206,20700,-6.96340,0.19694,0.06975,1.03759,-7.37462,0.20660,0.07032,1.04190
207,20800,-6.98624,0.16260,0.07042,1.04335,-7.33212,0.17294,0.07151,1.04337
208,20900,-6.89388,0.19098,0.07085,1.03161,-7.39805,0.18836,0.07124,1.02480
209,21000,-6.92440,0.22061,0.06995,1.02696,-7.39112,0.15363,0.07023,1.03272
210,21100,-6.97158,0.21294,0.06997,1.02624,-7.42613,0.15830,0.07157,1.01541
211,21200,-6.99313,0.22603,0.07078,1.01712,-7.34191,0.27129,0.07202,1.01684
212,21300,-6.96967,0.28015,0.07266,1.01005,-7.36792,0.17243,0.07113,1.00458
213,21400,-7.01945,0.20927,0.07172,1.00641,-7.38757,0.19132,0.07245,1.00487
214,21500,-6.96831,0.28651,0.07190,0.99653,-7.45423,0.20522,0.07109,0.99151
215,21600,-6.99587,0.28832,0.07167,0.99350,-7.42193,0.21141,0.07186,0.98805
216,21700,-7.01966,0.19351,0.07172,0.99542,-7.39229,0.16449,0.07160,0.99023
217,21800,-7.02886,0.20169,0.07221,0.98334,-7.44020,0.18967,0.07312,0.99100
218,21900,-6.99342,0.18928,0.07411,0.97820,-7.47290,0.21440,0.07269,0.98728
219,22000,-7.08646,0.23869,0.07134,0.97483,-7.43292,0.19238,0.07253,0.96961
220,22100,-7.02135,0.23251,0.07125,0.96418,-7.49967,0.18183,0.07192,0.96815
