iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_rnd_forward_loss
90,9100,-25.42239,1.53233,0.39831,-31.89555,1.57667,0.47610,-27.55585,1.12242,0.43194,-24.59539,1.81535,0.34294
91,9200,-25.32070,1.69202,0.39171,-31.80932,1.63356,0.47225,-27.36328,1.07714,0.42560,-24.18079,2.20102,0.34021
92,9300,-25.19138,1.49926,0.38887,-31.66836,1.62421,0.46618,-27.17171,1.96956,0.42022,-24.06370,1.73519,0.33288
93,9400,-25.13934,1.62972,0.38318,-31.11722,1.52631,0.45514,-26.76988,1.97160,0.41295,-23.91099,1.55328,0.33043
94,9500,-24.45631,2.16602,0.37698,-30.68565,1.49180,0.45078,-26.89643,1.59594,0.41105,-23.58265,1.52595,0.32338
95,9600,-24.71509,1.86689,0.37168,-30.41465,1.62531,0.44111,-26.68182,1.59033,0.40359,-23.37964,1.73566,0.32038
96,9700,-24.43273,1.38711,0.36775,-30.41224,2.39770,0.43326,-26.34688,1.32572,0.39667,-23.25388,1.78843,0.31651
97,9800,-24.23439,1.48440,0.36342,-29.96150,1.71974,0.42809,-26.00558,1.38713,0.39091,-23.02784,1.29991,0.31081
98,9900,-24.04539,1.37131,0.35590,-29.63620,1.75308,0.42062,-25.74865,1.37430,0.38612,-22.92719,1.28718,0.30683
99,10000,-23.79427,1.40991,0.35362,-29.89048,2.38619,0.41452,-25.63761,1.24479,0.38126,-22.56972,1.71164,0.30396
100,10100,-23.75634,1.82321,0.35062,-29.26755,2.30015,0.40853,-25.42286,1.27701,0.37747,-22.48193,1.81038,0.30067
101,10200,-23.40169,1.64840,0.34675,-28.79198,1.80420,0.40366,-25.18384,1.29593,0.37021,-22.11701,1.66022,0.29601
102,10300,-23.18941,1.39205,0.34281,-28.49454,1.95079,0.39547,-24.84781,1.30025,0.36544,-21.93761,1.31849,0.29170
103,10400,-23.02098,1.18566,0.33878,-28.31741,1.20622,0.38915,-24.59274,1.34532,0.36144,-21.85341,1.33474,0.28885
104,10500,-22.91521,1.44646,0.33651,-28.02153,1.17804,0.38516,-24.44600,1.22607,0.35414,-21.59510,1.43553,0.28414
105,10600,-22.69523,1.41894,0.32975,-27.74468,1.12976,0.37607,-24.24936,1.40018,0.35176,-21.50697,1.20283,0.28080
106,10700,-22.47829,1.32270,0.32721,-27.46507,1.05907,0.37224,-24.02818,1.44166,0.34670,-21.39811,1.16186,0.27852
107,10800,-22.45154,1.53875,0.32240,-27.21226,1.10788,0.36576,-23.85451,1.80956,0.34108,-20.99175,1.20619,0.27468
