iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss
225,22600,-1.47165,1.79897,-1.71813,1.83707
226,22700,-1.40680,1.80055,-1.60439,1.58357
227,22800,-1.36278,1.64527,-1.68485,1.62434
228,22900,-1.37385,1.74414,-1.72946,1.82877
229,23000,-1.56542,1.83209,-1.73675,1.77588
230,23100,-1.40799,1.71625,-1.72853,1.74399
231,23200,-1.43558,1.74245,-1.70747,1.74416
232,23300,-1.44175,1.74295,-1.63163,1.67047
233,23400,-1.42372,1.80932,-1.69390,1.79596
234,23500,-1.47669,1.80112,-1.80520,1.73323
235,23600,-1.51698,1.72245,-1.74481,1.70283
236,23700,-1.42932,1.74801,-1.67842,1.91255
237,23800,-1.38111,1.80887,-1.73790,1.97911
238,23900,-1.50496,1.93328,-1.72121,1.93368
239,24000,-1.47642,1.87120,-1.68385,1.70867
240,24100,-1.46352,1.74390,-1.70213,1.80771
241,24200,-1.50072,1.74624,-1.65821,1.76763
242,24300,-1.46418,1.96434,-1.63453,1.89062
243,24400,-1.46918,1.97389,-1.54512,1.77828
244,24500,-1.47085,1.79642,-1.72542,1.79209
245,24600,-1.41345,1.69422,-1.69389,1.73761
246,24700,-1.56069,1.63511,-1.69261,1.70987
247,24800,-1.44198,1.92672,-1.79789,1.70517
248,24900,-1.37239,1.80202,-1.70563,1.71832
