iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss,3_iql_loss,3_rnd_forward_loss,4_iql_loss,4_rnd_forward_loss
113,11400,0.92918,0.28528,1.03603,0.28725,0.98381,0.29008,1.08794,0.22998
114,11500,1.06400,0.28225,1.04195,0.28488,0.98411,0.28702,0.96855,0.22674
115,11600,1.02566,0.27901,1.03233,0.28011,1.04566,0.28399,0.98134,0.22584
116,11700,1.01002,0.27658,1.02392,0.27478,1.07612,0.28055,0.93681,0.22290
117,11800,0.89764,0.27026,1.04492,0.27121,0.99901,0.27417,0.95685,0.22064
118,11900,1.03163,0.26860,0.96482,0.26942,0.99728,0.27085,0.98673,0.21838
119,12000,0.99380,0.26518,1.05951,0.26529,1.04650,0.26883,0.94236,0.21693
120,12100,1.04497,0.26026,1.07379,0.26138,1.02773,0.26478,0.97202,0.21544
121,12200,1.01923,0.25633,1.03432,0.25920,1.07833,0.26213,0.83709,0.21272
122,12300,1.00549,0.25469,1.07749,0.25569,1.06964,0.25972,1.01846,0.21198
123,12400,0.96892,0.25183,1.04136,0.25233,1.00163,0.25601,0.86047,0.20990
124,12500,0.93116,0.24863,1.00689,0.25012,0.97210,0.25293,0.96446,0.20723
125,12600,1.05571,0.24713,1.05051,0.24693,0.97451,0.24917,0.96287,0.20673
126,12700,1.00161,0.24389,1.03142,0.24359,0.98572,0.24831,1.07841,0.20592
127,12800,0.97126,0.23887,1.02529,0.24201,1.02460,0.24474,0.93923,0.20368
128,12900,1.06061,0.23818,1.04619,0.23908,0.97949,0.24021,0.94930,0.20265
129,13000,0.98257,0.23450,1.02065,0.23565,0.95844,0.23803,1.00043,0.20010
130,13100,1.01206,0.23329,0.99917,0.23257,0.91748,0.23622,0.93889,0.20067
131,13200,1.03056,0.22812,0.98649,0.23073,1.00263,0.23258,1.05969,0.19670
132,13300,1.00654,0.22661,0.97231,0.22743,1.00563,0.23066,0.98103,0.19699
133,13400,1.05721,0.22330,0.97094,0.22543,1.05392,0.22689,1.01970,0.19574
134,13500,1.01058,0.22217,1.05742,0.22245,0.99482,0.22488,0.98646,0.19526
135,13600,1.08102,0.22064,1.03093,0.21986,1.02186,0.22302,0.96889,0.19243
136,13700,0.99100,0.21832,1.04748,0.21824,0.97032,0.22029,0.98550,0.19209
137,13800,0.99481,0.21585,1.04822,0.21580,1.08207,0.21745,1.04433,0.19179
138,13900,0.99486,0.21331,1.06693,0.21380,0.98175,0.21584,0.90795,0.19010
139,14000,1.04121,0.21067,0.97516,0.21251,1.00305,0.21375,1.01925,0.18928
140,14100,0.99692,0.20966,0.96111,0.20923,1.02870,0.21186,0.99521,0.18729
141,14200,0.96930,0.20754,1.09396,0.20814,1.00512,0.21044,0.93057,0.18611
142,14300,1.01577,0.20483,0.97106,0.20510,0.99834,0.20855,0.93426,0.18493
143,14400,1.03601,0.20294,0.98748,0.20620,0.97094,0.20584,1.01720,0.18344
144,14500,0.98031,0.20226,1.05891,0.20279,1.02143,0.20381,1.00316,0.18210
145,14600,1.00504,0.20038,1.02498,0.20155,1.02905,0.20200,0.96228,0.18072
146,14700,0.98708,0.19861,0.92762,0.19874,1.02488,0.20105,0.99587,0.18032
147,14800,1.00878,0.19599,1.02392,0.19774,1.07788,0.19824,0.96937,0.17880
148,14900,1.07610,0.19590,1.02797,0.19654,1.05738,0.19722,0.97766,0.17708
149,15000,1.03813,0.19383,0.99091,0.19463,0.98231,0.19632,1.00272,0.17608
150,15100,1.04361,0.19305,1.07144,0.19346,1.02140,0.19462,0.94070,0.17599
151,15200,0.98552,0.19210,1.05593,0.19023,1.00412,0.19266,1.02608,0.17492
152,15300,1.00386,0.18896,0.99777,0.18987,0.97381,0.19063,1.02205,0.17308
153,15400,1.01981,0.18716,1.04160,0.18883,1.00395,0.18940,0.99630,0.17241
154,15500,0.95644,0.18778,1.03627,0.18767,0.95580,0.18827,1.02288,0.17208
155,15600,0.95186,0.18672,1.00817,0.18653,0.99379,0.18663,0.96876,0.17003
156,15700,0.96583,0.18480,1.03248,0.18452,1.00680,0.18550,0.98237,0.16981
157,15800,0.98064,0.18349,0.99211,0.18285,1.04171,0.18454,0.94280,0.16772
158,15900,1.02491,0.18295,0.99974,0.18250,1.03111,0.18211,0.92628,0.16800
159,16000,0.94760,0.18068,0.96363,0.18137,1.00884,0.18091,1.04447,0.16589
160,16100,1.05105,0.17930,0.98251,0.17962,0.96822,0.18139,0.90558,0.16488
161,16200,0.96944,0.17843,1.01999,0.17896,1.00611,0.17922,0.94613,0.16461
162,16300,1.04910,0.17693,1.04586,0.17738,1.04828,0.17821,1.02116,0.16438
163,16400,1.05739,0.17664,0.96433,0.17650,1.01572,0.17615,0.92399,0.16288
164,16500,1.00599,0.17528,1.02678,0.17544,0.98047,0.17537,1.00401,0.16194
165,16600,0.99162,0.17441,0.99566,0.17447,0.99023,0.17485,1.02063,0.16052
166,16700,0.99407,0.17338,0.99016,0.17363,0.98962,0.17228,0.99018,0.15981
167,16800,0.96958,0.17176,0.99552,0.17235,1.00693,0.17203,0.99462,0.15906
168,16900,1.00611,0.17090,0.93755,0.17156,1.01991,0.17135,0.94065,0.15865
169,17000,1.02156,0.16890,0.97027,0.17088,0.99445,0.16984,0.91531,0.15759
170,17100,0.99465,0.16782,0.99007,0.16883,1.00756,0.16930,0.98952,0.15664
