iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss
175,17600,-3.32424,0.15113,-3.38105,0.24811
176,17700,-3.33326,0.18594,-3.38626,0.15493
177,17800,-3.33615,0.22341,-3.44430,0.13895
178,17900,-3.33938,0.23989,-3.39109,0.14764
179,18000,-3.34025,0.26738,-3.42141,0.26177
180,18100,-3.30277,0.21362,-3.43912,0.19641
181,18200,-3.29353,0.14719,-3.46413,0.20605
182,18300,-3.22700,0.24127,-3.39756,0.19057
183,18400,-3.27639,0.17512,-3.42979,0.28454
184,18500,-3.34261,0.51055,-3.43315,0.12236
185,18600,-3.33472,0.16414,-3.46259,0.14643
186,18700,-3.27142,0.26591,-3.44840,0.24514
187,18800,-3.30753,0.15769,-3.40140,0.16640
188,18900,-3.30150,0.18823,-3.44599,0.15287
189,19000,-3.23696,0.23991,-3.45198,0.16178
190,19100,-3.32473,0.29343,-3.44644,0.16035
191,19200,-3.26453,0.25080,-3.43218,0.14062
192,19300,-3.32339,0.26750,-3.47184,0.24655
193,19400,-3.33386,0.16067,-3.45105,0.23309
194,19500,-3.29887,0.22604,-3.46341,0.33365
195,19600,-3.30297,0.35200,-3.46006,0.26961
196,19700,-3.38735,0.18088,-3.45696,0.16043
197,19800,-3.32054,0.21177,-3.47670,0.17745
198,19900,-3.30655,0.18443,-3.53598,0.16470
199,20000,-3.31319,0.19726,-3.44400,0.16094
200,20100,-3.33914,0.13478,-3.46169,0.23480
201,20200,-3.30038,0.16890,-3.47756,0.14144
202,20300,-3.30348,0.18497,-3.48942,0.32713
203,20400,-3.29641,0.19333,-3.50799,0.21340
204,20500,-3.29896,0.12557,-3.47014,0.18103
205,20600,-3.24447,0.13969,-3.44488,0.15703
206,20700,-3.28896,0.18984,-3.46482,0.17983
207,20800,-3.29329,0.19702,-3.44343,0.13213
208,20900,-3.28427,0.15342,-3.43459,0.25052
209,21000,-3.26152,0.17848,-3.38751,0.22943
210,21100,-3.23950,0.19744,-3.45005,0.15692
211,21200,-3.29797,0.20834,-3.47227,0.15323
212,21300,-3.28932,0.23047,-3.47910,0.17624
213,21400,-3.26777,0.18619,-3.40730,0.19936
214,21500,-3.29942,0.14750,-3.46149,0.14918
215,21600,-3.28891,0.15104,-3.45438,0.18200
216,21700,-3.31277,0.18961,-3.48365,0.28906
217,21800,-3.26645,0.23816,-3.46960,0.19890
218,21900,-3.24492,0.22147,-3.49525,0.18954
219,22000,-3.30370,0.14190,-3.43312,0.15326
220,22100,-3.29142,0.15618,-3.43344,0.19259
221,22200,-3.31740,0.16524,-3.45450,0.22479
222,22300,-3.29363,0.15608,-3.44129,0.15757
223,22400,-3.24841,0.14761,-3.43949,0.24208
224,22500,-3.18737,0.18537,-3.47608,0.26080
225,22600,-3.22803,0.22514,-3.47580,0.17222
226,22700,-3.26754,0.16550,-3.39365,0.14480
227,22800,-3.24747,0.30490,-3.46983,0.25338
228,22900,-3.22865,0.18177,-3.41687,0.21812
229,23000,-3.28056,0.19214,-3.41551,0.22532
230,23100,-3.20096,0.28044,-3.45030,0.16734
231,23200,-3.29252,0.29140,-3.41566,0.23112
232,23300,-3.25412,0.18887,-3.42069,0.22130
233,23400,-3.25535,0.23270,-3.44235,0.16093
234,23500,-3.23459,0.18528,-3.49046,0.11447
235,23600,-3.22750,0.20219,-3.36097,0.25072
236,23700,-3.22462,0.22683,-3.40179,0.24804
237,23800,-3.24878,0.31831,-3.38730,0.31681
238,23900,-3.24464,0.14317,-3.46242,0.16309
239,24000,-3.20125,0.16240,-3.37566,0.17375
240,24100,-3.24457,0.13157,-3.44868,0.23749
241,24200,-3.27489,0.21336,-3.34723,0.14324
242,24300,-3.17311,0.17934,-3.40834,0.14893
243,24400,-3.23352,0.15294,-3.38602,0.16897
244,24500,-3.22779,0.16242,-3.39513,0.20656
245,24600,-3.22935,0.18000,-3.45799,0.14677
246,24700,-3.25597,0.13813,-3.35390,0.18593
247,24800,-3.19774,0.17201,-3.44259,0.22048
248,24900,-3.25001,0.32326,-3.37078,0.20219
