iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value
157,15800,-18.17138,1.82044,0.19502,-18.40531,1.51974,0.19769
158,15900,-18.17100,1.54306,0.19519,-18.44038,1.55264,0.19507
159,16000,-18.09889,1.78360,0.19454,-18.41909,1.72044,0.19356
160,16100,-18.22926,1.89212,0.19447,-18.40102,1.80636,0.19599
161,16200,-18.16189,1.55980,0.19413,-18.45927,1.59768,0.19588
162,16300,-18.15632,1.51306,0.19531,-18.37540,1.79657,0.19517
163,16400,-18.18372,1.45620,0.19696,-18.34967,1.52856,0.19511
164,16500,-18.16264,1.76312,0.19310,-18.32292,1.51724,0.19386
165,16600,-18.24415,1.59651,0.19485,-18.27408,1.54157,0.19305
166,16700,-18.20062,1.78664,0.19138,-18.25583,1.67114,0.19303
167,16800,-18.11807,1.63453,0.19376,-18.26591,1.71635,0.19147
168,16900,-18.05669,1.54018,0.19400,-18.29272,1.49446,0.19610
169,17000,-18.09925,1.66581,0.19396,-18.35382,1.30473,0.19573
170,17100,-18.11595,1.69469,0.19284,-18.35638,1.47952,0.19379
171,17200,-18.00395,1.79718,0.19187,-18.36609,1.86497,0.19182
172,17300,-18.19425,1.65317,0.19465,-18.44342,1.60875,0.19229
173,17400,-18.11447,1.51460,0.19172,-18.54838,1.37426,0.19274
174,17500,-18.08956,1.79741,0.19299,-18.58523,1.57094,0.19436
175,17600,-18.16307,1.74595,0.19388,-18.66611,1.51673,0.19208
176,17700,-18.19518,1.55715,0.19387,-18.66005,1.76397,0.19300
177,17800,-18.29179,1.53613,0.19293,-18.76602,1.55397,0.19452
178,17900,-18.36829,1.52696,0.19441,-18.87100,1.53899,0.19198
179,18000,-18.40408,1.66185,0.19380,-18.75472,1.59891,0.19283
180,18100,-18.36544,1.64770,0.19193,-18.82898,1.58050,0.19152
181,18200,-18.48181,1.83763,0.19484,-19.01093,1.54228,0.19372
182,18300,-18.58380,1.53559,0.19227,-18.99469,1.62476,0.19274
183,18400,-18.60855,1.55687,0.19208,-18.96810,1.65820,0.19299
184,18500,-18.64052,1.66664,0.19257,-18.98287,1.70802,0.19126
185,18600,-18.61488,1.72460,0.19418,-18.98413,1.78420,0.19354
186,18700,-18.65436,1.61428,0.18973,-18.96180,1.49815,0.19126
187,18800,-18.62926,1.68034,0.19047,-19.01797,1.73713,0.19207
188,18900,-18.75201,1.82501,0.19073,-19.04769,1.59369,0.19006
189,19000,-18.70219,1.50264,0.19177,-19.03977,1.55173,0.19122
190,19100,-18.65948,1.66044,0.19202,-19.05925,1.62853,0.19314
191,19200,-18.63071,1.81041,0.19133,-19.13061,1.46370,0.19334
192,19300,-18.66098,1.69194,0.19031,-19.06655,1.66397,0.19214
193,19400,-18.58674,1.75728,0.19041,-19.07527,1.62122,0.19047
194,19500,-18.61321,1.59763,0.19008,-19.16822,1.59362,0.19022
195,19600,-18.62203,1.56080,0.18995,-19.04188,1.34629,0.18807
196,19700,-18.66961,1.34535,0.19287,-19.02923,1.54213,0.19053
197,19800,-18.64665,1.72722,0.19091,-18.99321,1.68653,0.18914
198,19900,-18.57716,1.72477,0.19112,-18.98813,1.82797,0.19050
199,20000,-18.55809,1.60973,0.19031,-18.95917,1.61264,0.18997
200,20100,-18.53035,1.57620,0.18957,-18.96483,2.01124,0.18947
201,20200,-18.49697,1.53701,0.19013,-18.81412,2.17934,0.19101
202,20300,-18.46395,1.67401,0.18972,-18.91971,1.68946,0.18942
203,20400,-18.46803,1.82924,0.18933,-18.91647,1.56491,0.19082
204,20500,-18.41654,1.62989,0.19041,-18.91891,1.62359,0.18810
205,20600,-18.36138,1.72841,0.18870,-18.77198,1.64214,0.18961
206,20700,-18.28277,1.62561,0.18825,-18.75016,1.53591,0.18626
207,20800,-18.36998,1.48787,0.18802,-18.64504,1.51141,0.18830
208,20900,-18.20516,1.53715,0.18900,-18.61775,1.83437,0.18658
209,21000,-18.26185,1.53888,0.18799,-18.66286,1.87160,0.18647
210,21100,-18.12100,1.51233,0.18651,-18.51533,1.62377,0.18820
211,21200,-18.08434,1.65183,0.18607,-18.54440,1.47990,0.18737
212,21300,-18.07008,1.58094,0.18654,-18.48352,1.73167,0.18545
213,21400,-18.02226,1.53595,0.18524,-18.42474,1.47705,0.18674
