iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss,3_iql_loss,3_rnd_forward_loss,4_iql_loss,4_rnd_forward_loss
93,9400,1.13714,0.82488,1.16065,0.82249,1.14249,0.82349,1.01425,0.62979
94,9500,1.15697,0.82252,1.13492,0.81905,1.07754,0.82056,1.01548,0.62612
95,9600,1.15045,0.81868,1.13219,0.81575,1.16137,0.81689,0.97473,0.62310
96,9700,1.09813,0.81488,1.08572,0.81132,1.05046,0.81378,0.95475,0.61984
97,9800,1.13630,0.81199,1.04890,0.80879,1.12461,0.81081,1.02774,0.61644
98,9900,1.13918,0.80881,1.14195,0.80547,1.10882,0.80660,0.96464,0.61312
99,10000,1.19981,0.80488,1.23769,0.80227,1.14476,0.80367,0.91678,0.60963
100,10100,1.10319,0.80192,1.12272,0.79986,1.18350,0.79946,1.00265,0.60645
101,10200,1.15968,0.79863,1.10511,0.79544,1.11836,0.79535,0.96304,0.60300
102,10300,1.18786,0.79622,1.13671,0.79261,1.16092,0.79297,0.96322,0.59948
103,10400,1.16043,0.79159,1.14063,0.78947,1.12660,0.78932,1.00788,0.59701
104,10500,1.06379,0.78913,1.19930,0.78552,1.14414,0.78590,0.88393,0.59354
105,10600,1.12609,0.78481,1.12669,0.78255,1.17696,0.78200,1.04558,0.58972
106,10700,1.16120,0.78280,1.10134,0.77965,1.14573,0.77893,0.93220,0.58665
107,10800,1.10609,0.77841,1.14736,0.77553,1.12756,0.77566,0.94497,0.58376
108,10900,1.06864,0.77615,1.14506,0.77281,1.13525,0.77221,0.98846,0.58036
109,11000,1.12147,0.77226,1.12365,0.76971,1.12344,0.76858,0.95954,0.57724
110,11100,1.16781,0.76879,1.10610,0.76560,1.13594,0.76520,1.01481,0.57393
111,11200,1.20626,0.76557,1.12133,0.76298,1.12114,0.76180,0.96068,0.57078
112,11300,1.07524,0.76266,1.19696,0.75966,1.22345,0.75819,1.02418,0.56714
113,11400,1.13090,0.75935,1.04147,0.75629,1.16462,0.75545,0.95948,0.56433
114,11500,1.14891,0.75605,1.19723,0.75332,1.14210,0.75224,0.93218,0.56122
115,11600,1.08452,0.75217,1.13999,0.74980,1.22279,0.74880,0.96470,0.55757
116,11700,1.14718,0.74909,1.32179,0.74719,1.12924,0.74502,0.99964,0.55395
117,11800,1.11699,0.74559,1.09333,0.74350,1.18952,0.74182,0.94880,0.55163
118,11900,1.17391,0.74255,1.08223,0.74018,1.10327,0.73852,0.96737,0.54833
119,12000,1.14634,0.73945,1.04612,0.73681,1.15755,0.73574,0.99009,0.54490
120,12100,1.12847,0.73509,1.12195,0.73358,1.12524,0.73149,1.04070,0.54116
121,12200,1.19690,0.73256,1.19316,0.73028,1.09309,0.72862,0.94806,0.53837
122,12300,1.17292,0.73041,1.15762,0.72715,1.14105,0.72670,0.91326,0.53510
123,12400,1.20119,0.72621,1.11507,0.72376,1.11097,0.72285,0.96204,0.53149
124,12500,1.17769,0.72343,1.09883,0.72077,1.09290,0.71982,0.91937,0.52842
125,12600,1.19009,0.72039,1.19310,0.71780,1.13924,0.71658,0.95046,0.52564
126,12700,1.13141,0.71722,1.13749,0.71372,1.15896,0.71178,0.97547,0.52221
127,12800,1.13713,0.71391,1.19133,0.71128,1.20096,0.70946,0.99297,0.51903
128,12900,1.17606,0.71096,1.07963,0.70822,1.17908,0.70643,0.95847,0.51584
129,13000,1.22452,0.70779,1.10096,0.70454,1.10495,0.70368,0.99294,0.51252
130,13100,1.12124,0.70410,1.17385,0.70197,1.23278,0.69915,0.91161,0.50948
131,13200,1.07079,0.70140,1.15029,0.69797,1.22908,0.69659,0.90814,0.50604
132,13300,1.20126,0.69749,1.17585,0.69523,1.20143,0.69387,0.98287,0.50352
133,13400,1.22824,0.69418,1.13921,0.69198,1.21356,0.69040,0.98639,0.49922
134,13500,1.13479,0.69186,1.14800,0.68943,1.14598,0.68660,0.96824,0.49680
135,13600,1.31485,0.68817,1.18239,0.68651,1.14762,0.68465,0.95489,0.49345
136,13700,1.16951,0.68489,1.16141,0.68289,1.10898,0.68078,0.98895,0.49009
137,13800,1.22197,0.68199,1.27046,0.67994,1.20545,0.67759,0.99504,0.48707
138,13900,1.19425,0.67926,1.11350,0.67696,1.17479,0.67539,1.00368,0.48441
139,14000,1.21922,0.67643,1.18483,0.67327,1.15442,0.67163,0.95468,0.48139
140,14100,1.21753,0.67254,1.15467,0.67021,1.22090,0.66869,0.90686,0.47752
141,14200,1.15751,0.66930,1.16131,0.66688,1.18592,0.66592,0.95757,0.47515
142,14300,1.27341,0.66646,1.20075,0.66331,1.24123,0.66237,1.02229,0.47173
143,14400,1.25837,0.66240,1.24826,0.66089,1.28916,0.65930,1.03295,0.46847
144,14500,1.27056,0.65977,1.19256,0.65747,1.23489,0.65612,0.93694,0.46483
145,14600,1.23544,0.65644,1.17789,0.65508,1.19366,0.65272,0.98899,0.46268
146,14700,1.18947,0.65403,1.22084,0.65210,1.21132,0.65046,0.94738,0.45892
147,14800,1.19164,0.65051,1.15150,0.64849,1.15761,0.64643,1.00464,0.45597
148,14900,1.23865,0.64772,1.20248,0.64497,1.14304,0.64390,1.00720,0.45223
149,15000,1.21173,0.64456,1.34858,0.64192,1.25044,0.64032,0.94327,0.44987
150,15100,1.20892,0.64080,1.16049,0.63917,1.13621,0.63737,0.99154,0.44671
151,15200,1.09844,0.63720,1.15568,0.63549,1.13739,0.63459,0.99178,0.44370
152,15300,1.20898,0.63485,1.26277,0.63192,1.10047,0.63108,0.97375,0.44034
153,15400,1.20553,0.63195,1.22752,0.62916,1.09105,0.62806,0.98958,0.43750
154,15500,1.17780,0.62876,1.19052,0.62632,1.14576,0.62517,0.97588,0.43387
155,15600,1.24456,0.62501,1.11405,0.62290,1.14247,0.62117,1.00649,0.43129
156,15700,1.26774,0.62273,1.17381,0.62024,1.22338,0.61916,1.02789,0.42795
157,15800,1.22374,0.61917,1.21387,0.61698,1.26969,0.61638,0.96404,0.42522
158,15900,1.23439,0.61588,1.12768,0.61355,1.13048,0.61251,0.97592,0.42197
159,16000,1.27493,0.61408,1.21385,0.61089,1.33099,0.60952,0.99024,0.41906
160,16100,1.33760,0.61018,1.16918,0.60779,1.19623,0.60624,0.96055,0.41609
161,16200,1.27268,0.60660,1.19652,0.60480,1.14668,0.60371,1.02342,0.41332
162,16300,1.24165,0.60387,1.19309,0.60072,1.24579,0.60118,1.01346,0.40985
163,16400,1.27303,0.60126,1.25337,0.59865,1.23212,0.59672,0.98452,0.40691
164,16500,1.23034,0.59747,1.17134,0.59498,1.20890,0.59424,0.98204,0.40355
165,16600,1.24006,0.59503,1.39072,0.59214,1.20791,0.59104,1.02928,0.40173
166,16700,1.30249,0.59192,1.27419,0.58865,1.30165,0.58788,0.98463,0.39792
167,16800,1.29330,0.58950,1.24673,0.58610,1.28023,0.58461,0.92206,0.39554
168,16900,1.27234,0.58566,1.32420,0.58303,1.16402,0.58150,0.96650,0.39259
169,17000,1.21763,0.58270,1.26487,0.58000,1.15288,0.57881,0.97427,0.38912
170,17100,1.26207,0.57928,1.33900,0.57647,1.22545,0.57586,0.99043,0.38679
171,17200,1.21919,0.57664,1.18503,0.57380,1.24047,0.57300,0.98424,0.38316
172,17300,1.29962,0.57373,1.25393,0.56985,1.31923,0.57009,0.96325,0.38052
173,17400,1.31848,0.57043,1.26062,0.56770,1.13700,0.56715,0.94747,0.37805
174,17500,1.30198,0.56699,1.28651,0.56375,1.18640,0.56313,0.99534,0.37511
175,17600,1.34425,0.56421,1.21478,0.56199,1.31764,0.56115,0.96079,0.37193
176,17700,1.34952,0.56143,1.22645,0.55864,1.24120,0.55720,1.04154,0.36922
177,17800,1.33007,0.55823,1.32364,0.55561,1.27153,0.55452,0.99748,0.36619
178,17900,1.30280,0.55550,1.23730,0.55297,1.25869,0.55161,0.90982,0.36332
179,18000,1.25934,0.55248,1.22783,0.55049,1.24032,0.54885,0.99784,0.36095
180,18100,1.20785,0.54950,1.25708,0.54727,1.22297,0.54524,1.02831,0.35798
181,18200,1.19502,0.54611,1.26417,0.54432,1.21191,0.54265,1.08651,0.35498
182,18300,1.21345,0.54329,1.15446,0.54064,1.29433,0.53961,0.93936,0.35248
183,18400,1.28265,0.53984,1.21719,0.53790,1.25074,0.53627,0.97169,0.34996
184,18500,1.32199,0.53728,1.24000,0.53487,1.26158,0.53334,1.03646,0.34664
185,18600,1.24034,0.53470,1.23799,0.53215,1.22792,0.53105,0.98341,0.34395
186,18700,1.33385,0.53124,1.26646,0.52912,1.25238,0.52724,0.98889,0.34114
187,18800,1.23959,0.52823,1.30635,0.52605,1.26766,0.52477,0.94604,0.33828
188,18900,1.30355,0.52475,1.21875,0.52298,1.27592,0.52258,1.07887,0.33555
189,19000,1.28085,0.52257,1.34603,0.52081,1.20657,0.51851,0.99686,0.33308
190,19100,1.31052,0.51897,1.27829,0.51703,1.26721,0.51634,0.97744,0.32986
191,19200,1.24468,0.51656,1.24098,0.51450,1.27032,0.51270,0.99630,0.32736
192,19300,1.33969,0.51335,1.24580,0.51105,1.31422,0.51046,0.98641,0.32476
