iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_icm_forward_loss,4_icm_inverse_loss
44,4500,-7.60575,1.01088,0.11510,2.81371,-7.73771,1.20396,0.11530,2.81359,-7.54479,1.24376,0.11531,2.81502,-7.22742,0.99740,0.11538,2.81361
45,4600,-7.64272,1.19270,0.11263,2.81283,-7.65246,1.04451,0.11299,2.80835,-7.54778,1.11166,0.11307,2.80824,-7.08224,0.97271,0.11306,2.80950
46,4700,-7.43065,1.01593,0.11032,2.80459,-7.53364,0.94900,0.11038,2.80437,-7.44220,1.27916,0.11062,2.80329,-7.06545,1.01052,0.11053,2.80149
47,4800,-7.38787,1.29111,0.10874,2.79844,-7.54898,1.35230,0.10813,2.79900,-7.43506,1.20988,0.10781,2.79866,-6.92646,1.02837,0.10819,2.79855
48,4900,-7.33137,1.01441,0.10621,2.79090,-7.51448,1.06238,0.10602,2.78980,-7.37358,1.06153,0.10587,2.79227,-6.98914,1.00907,0.10638,2.79385
49,5000,-7.23185,1.31715,0.10445,2.78498,-7.45256,1.14019,0.10448,2.78661,-7.26996,0.99329,0.10428,2.78474,-6.88113,0.85471,0.10400,2.78624
50,5100,-7.20665,1.23126,0.10277,2.77659,-7.31812,0.83715,0.10280,2.77810,-7.26979,0.96157,0.10277,2.77921,-6.86239,0.96568,0.10336,2.77841
51,5200,-7.16064,1.14006,0.10136,2.77346,-7.31964,1.40809,0.10183,2.77249,-7.22542,1.13334,0.10134,2.77174,-6.76772,1.01425,0.10117,2.77193
52,5300,-7.08530,1.19451,0.10004,2.76528,-7.29384,1.02570,0.10002,2.76710,-7.11555,0.94076,0.10008,2.76649,-6.77703,0.87738,0.09986,2.76687
53,5400,-6.99805,1.06476,0.09821,2.75947,-7.12125,0.99768,0.09883,2.75729,-7.07070,1.10226,0.09872,2.75836,-6.75749,0.92321,0.09835,2.75770
54,5500,-6.88906,1.00532,0.09710,2.75235,-7.06750,1.19608,0.09729,2.75316,-7.02743,1.02450,0.09742,2.75079,-6.69480,1.02095,0.09766,2.75080
55,5600,-6.83614,1.09922,0.09681,2.74364,-6.99837,1.01151,0.09653,2.74403,-6.90566,1.18806,0.09636,2.74433,-6.59848,0.87261,0.09617,2.74494
56,5700,-6.80505,1.13058,0.09552,2.73703,-6.94748,1.08910,0.09565,2.73841,-6.88363,1.12622,0.09558,2.73614,-6.55413,0.95531,0.09558,2.73888
57,5800,-6.79343,0.93683,0.09445,2.73113,-6.89895,1.08817,0.09496,2.72984,-6.82793,1.38491,0.09483,2.72869,-6.47880,0.94126,0.09458,2.72932
58,5900,-6.66949,1.52432,0.09384,2.71968,-6.82735,1.08268,0.09364,2.72375,-6.81230,1.23226,0.09378,2.72244,-6.47925,0.97653,0.09362,2.72024
59,6000,-6.69679,1.05572,0.09308,2.71399,-6.78825,1.06858,0.09314,2.71679,-6.65195,1.01294,0.09280,2.71523,-6.35036,0.88026,0.09301,2.71299
