iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value
183,18400,1.66276,0.17982,1.46953,0.17853
184,18500,1.87318,0.17896,1.51163,0.17689
185,18600,1.80709,0.17991,1.54028,0.17818
186,18700,1.70721,0.17874,1.49295,0.17736
187,18800,1.89899,0.18033,1.55208,0.17812
188,18900,1.72534,0.17871,1.48254,0.17888
189,19000,1.72906,0.17608,1.53472,0.17736
190,19100,1.75952,0.17741,1.53008,0.17617
191,19200,1.88685,0.17798,1.43931,0.17789
192,19300,1.75095,0.17770,1.50303,0.17818
193,19400,1.66057,0.17766,1.36936,0.17574
194,19500,1.69949,0.17705,1.46114,0.17749
195,19600,1.74965,0.17722,1.47715,0.17673
196,19700,1.65875,0.17705,1.50043,0.17642
197,19800,1.65945,0.17743,1.52897,0.17778
198,19900,1.77453,0.17678,1.50955,0.17712
199,20000,1.71398,0.17559,1.45414,0.17698
200,20100,1.67421,0.17756,1.55956,0.17713
201,20200,1.66720,0.17422,1.38149,0.17437
202,20300,1.78022,0.17811,1.55622,0.17603
203,20400,1.60402,0.17576,1.41531,0.17377
204,20500,1.65742,0.17556,1.58740,0.17535
205,20600,1.61388,0.17750,1.49901,0.17439
206,20700,1.70996,0.17514,1.48730,0.17731
207,20800,1.70177,0.17531,1.53179,0.17587
208,20900,1.67521,0.17319,1.49580,0.17487
209,21000,1.71530,0.17478,1.59206,0.17523
210,21100,1.66091,0.17391,1.47192,0.17511
211,21200,1.82224,0.17630,1.48152,0.17553
212,21300,1.59972,0.17369,1.47111,0.17593
213,21400,1.83104,0.17364,1.51733,0.17325
214,21500,1.81166,0.17333,1.43910,0.17409
215,21600,1.63749,0.17362,1.52183,0.17345
216,21700,1.64717,0.17490,1.58622,0.17418
217,21800,1.67962,0.17321,1.51325,0.17174
218,21900,1.85289,0.17471,1.47511,0.17099
219,22000,1.66488,0.17280,1.39325,0.17345
220,22100,1.70988,0.17318,1.55872,0.17290
221,22200,1.60923,0.17234,1.48199,0.17214
222,22300,1.58452,0.17117,1.53185,0.17444
223,22400,1.72723,0.17243,1.50651,0.17024
224,22500,1.68214,0.17168,1.51903,0.17172
225,22600,1.65877,0.17015,1.42236,0.17090
226,22700,1.82152,0.17175,1.53654,0.17079
227,22800,1.64803,0.16906,1.52809,0.17085
