iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,4_maddpg_actor_loss,4_maddpg_critic_loss
96,9700,-0.51183,1.04834,-0.25248,1.11600,-0.45948,1.05854,-0.70755,0.80567
97,9800,-0.51804,1.01374,-0.23064,0.89718,-0.45933,0.99302,-0.69456,0.85599
98,9900,-0.50146,1.03719,-0.24822,1.47507,-0.45238,1.06775,-0.71098,0.83769
99,10000,-0.49385,1.10674,-0.24859,0.91682,-0.44047,0.85984,-0.70564,0.81867
100,10100,-0.49118,1.13474,-0.23891,1.29381,-0.43794,0.99580,-0.71553,0.79665
101,10200,-0.48532,1.17095,-0.21798,0.77495,-0.43043,1.02994,-0.70991,0.80420
102,10300,-0.48622,0.85974,-0.22158,0.93294,-0.43863,1.05325,-0.71659,0.78802
103,10400,-0.49892,1.21441,-0.27170,1.79403,-0.43038,0.89431,-0.68798,0.87917
104,10500,-0.50530,1.28573,-0.25008,1.04876,-0.43054,0.92138,-0.71101,0.85203
105,10600,-0.49136,0.89054,-0.23197,0.84325,-0.42292,1.25219,-0.69683,0.82433
106,10700,-0.46097,0.85428,-0.23855,0.79230,-0.44069,0.86137,-0.72052,0.80129
107,10800,-0.47306,0.98151,-0.24619,0.91330,-0.41521,1.03824,-0.72927,0.82847
108,10900,-0.48843,1.20925,-0.25485,1.22890,-0.43366,1.24796,-0.74293,0.81632
109,11000,-0.47690,0.80135,-0.26292,1.44818,-0.41328,1.02170,-0.73447,0.78528
110,11100,-0.48874,1.02883,-0.25225,0.87494,-0.39987,1.11486,-0.75075,0.83429
111,11200,-0.48812,1.27394,-0.23947,0.81440,-0.42761,1.19563,-0.74525,0.81635
112,11300,-0.47233,0.90157,-0.27972,1.20168,-0.39901,0.89046,-0.76626,0.76925
113,11400,-0.45523,0.78126,-0.25533,0.83839,-0.41417,0.62320,-0.76253,0.81533
114,11500,-0.46254,1.37790,-0.24261,0.62062,-0.39169,0.76999,-0.73284,0.87495
115,11600,-0.45277,0.66080,-0.24622,0.78195,-0.41470,1.26130,-0.72786,0.86038
116,11700,-0.45227,1.30982,-0.23479,0.84111,-0.39750,0.80019,-0.77609,0.78673
117,11800,-0.44641,1.22266,-0.25521,0.95264,-0.38456,0.93537,-0.76468,0.81264
118,11900,-0.43752,0.86852,-0.26377,1.34393,-0.39777,0.85362,-0.75964,0.80116
119,12000,-0.43997,1.15870,-0.25060,0.95687,-0.37822,0.91814,-0.76172,0.79971
120,12100,-0.43867,0.99664,-0.24913,0.76135,-0.40728,1.30243,-0.76499,0.78329
121,12200,-0.43381,1.12189,-0.25098,0.82226,-0.39250,1.02898,-0.76764,0.81230
122,12300,-0.43093,1.24462,-0.26171,1.11768,-0.37675,1.20941,-0.76573,0.82429
123,12400,-0.43404,1.28605,-0.24418,0.97005,-0.39014,1.07620,-0.76073,0.79769
124,12500,-0.44476,1.44944,-0.23964,1.35136,-0.39550,1.16718,-0.77219,0.78281
125,12600,-0.43666,0.88009,-0.22555,0.88264,-0.38026,1.08989,-0.74766,0.87981
126,12700,-0.44230,0.90699,-0.24019,0.91374,-0.39140,1.42767,-0.78086,0.83246
127,12800,-0.41702,0.87018,-0.24221,1.01858,-0.40534,0.74915,-0.77476,0.79179
128,12900,-0.43866,0.75077,-0.26109,1.23612,-0.36928,1.26653,-0.78923,0.83549
129,13000,-0.42925,0.99884,-0.26698,0.95067,-0.37696,1.06540,-0.76190,0.82145
130,13100,-0.40647,1.66197,-0.21725,0.79097,-0.38746,1.18900,-0.75239,0.84176
131,13200,-0.43581,1.44732,-0.23743,0.99685,-0.36620,1.09028,-0.76254,0.81210
132,13300,-0.43603,1.28313,-0.22842,0.80480,-0.37938,1.06644,-0.76085,0.79542
133,13400,-0.43810,1.15703,-0.26153,1.26270,-0.35767,0.90010,-0.78990,0.77537
134,13500,-0.43035,1.03531,-0.22706,1.08051,-0.36488,1.28004,-0.76258,0.79829
135,13600,-0.40026,0.84834,-0.22796,0.67186,-0.34588,0.83177,-0.76330,0.85550
136,13700,-0.43099,0.79765,-0.23329,0.73113,-0.33901,0.83975,-0.79963,0.78644
137,13800,-0.40544,0.82140,-0.22451,1.10429,-0.32971,0.82265,-0.77685,0.81807
138,13900,-0.40126,1.14415,-0.23399,0.93906,-0.32186,0.73661,-0.79826,0.81507
139,14000,-0.42136,1.17541,-0.22657,0.90181,-0.31033,0.91933,-0.79659,0.81194
140,14100,-0.41164,0.86323,-0.24949,0.89366,-0.34371,1.40580,-0.79159,0.83560
141,14200,-0.40175,1.12058,-0.24313,0.82008,-0.33909,0.84312,-0.81281,0.79556
142,14300,-0.40815,0.86302,-0.23231,1.27764,-0.32379,1.27123,-0.81010,0.82073
143,14400,-0.39823,1.39247,-0.22952,1.14237,-0.30699,0.98937,-0.81644,0.79817
144,14500,-0.43779,1.07923,-0.24815,1.12271,-0.33120,1.33504,-0.80869,0.80465
145,14600,-0.37542,0.79767,-0.23056,0.82674,-0.32233,0.73376,-0.82821,0.79046
146,14700,-0.41184,0.67953,-0.23118,1.17293,-0.31183,0.67541,-0.81857,0.81292
147,14800,-0.39421,1.42379,-0.23113,0.95842,-0.31158,1.26340,-0.84095,0.79504
148,14900,-0.42188,0.97894,-0.21527,0.85923,-0.29935,0.83150,-0.84337,0.77480
149,15000,-0.41110,1.54653,-0.22020,0.54032,-0.30392,0.91126,-0.83497,0.80699
150,15100,-0.40108,1.16872,-0.24047,1.37009,-0.33702,1.05867,-0.82348,0.82934
151,15200,-0.39447,0.94665,-0.23524,1.09604,-0.30425,1.20531,-0.82132,0.85775
152,15300,-0.39571,0.94209,-0.24278,0.96746,-0.32634,1.46829,-0.85506,0.80622
153,15400,-0.40545,0.68542,-0.23512,1.02753,-0.34336,1.03050,-0.83123,0.82087
154,15500,-0.39940,1.09420,-0.22994,0.98515,-0.33382,1.45920,-0.86632,0.80490
155,15600,-0.40456,0.79654,-0.22702,0.78163,-0.31346,0.77926,-0.82758,0.79396
156,15700,-0.37633,1.03610,-0.22764,1.05479,-0.30917,0.91166,-0.83078,0.82762
157,15800,-0.37565,0.87748,-0.20935,1.22854,-0.29647,0.91189,-0.83748,0.82063
158,15900,-0.38657,1.20934,-0.21881,1.24320,-0.30651,1.22501,-0.83826,0.87630
159,16000,-0.36713,0.73911,-0.22162,0.94937,-0.28779,1.11998,-0.83424,0.81437
160,16100,-0.37086,0.93318,-0.22568,1.13921,-0.29216,1.19769,-0.85882,0.81143
161,16200,-0.39849,1.13357,-0.25208,0.91022,-0.29934,1.09923,-0.85954,0.82522
162,16300,-0.34291,0.77412,-0.21459,0.70396,-0.27565,0.82405,-0.83336,0.83374
163,16400,-0.34424,0.85723,-0.22071,1.17705,-0.28302,1.13367,-0.83515,0.88197
164,16500,-0.32019,0.89969,-0.23789,1.16579,-0.27416,0.92591,-0.85131,0.84345
165,16600,-0.35905,1.12522,-0.22053,0.95700,-0.28288,1.02690,-0.84471,0.81830
166,16700,-0.32594,1.20666,-0.21949,0.83180,-0.28004,1.19075,-0.82337,0.84996
167,16800,-0.33751,0.96390,-0.22681,1.19214,-0.25923,0.84627,-0.82636,0.81552
168,16900,-0.36292,1.27619,-0.21452,0.88895,-0.27039,0.85288,-0.84147,0.84810
169,17000,-0.30464,1.08653,-0.20959,1.06349,-0.28147,1.05094,-0.84235,0.80249
170,17100,-0.36094,1.42404,-0.20382,1.37064,-0.24793,1.03313,-0.84004,0.82452
171,17200,-0.33409,0.60638,-0.18990,0.80101,-0.27586,0.96574,-0.84306,0.81468
172,17300,-0.32507,0.96198,-0.19706,0.74530,-0.26716,0.87954,-0.85885,0.83879
173,17400,-0.30514,0.90128,-0.18381,0.85759,-0.27385,1.04293,-0.87523,0.82863
174,17500,-0.30770,0.92660,-0.18968,0.89096,-0.28824,1.23097,-0.89094,0.79859
175,17600,-0.30885,1.08876,-0.20136,0.78162,-0.27578,0.86709,-0.88145,0.79520
176,17700,-0.29605,0.84868,-0.20295,0.94464,-0.24744,1.06053,-0.85468,0.82410
