iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value
180,18100,-13.33067,1.02817,0.13083,-10.65861,1.03799,0.13025,-10.78204,1.03045,0.12901
181,18200,-13.25399,1.02550,0.12825,-10.70149,1.08132,0.13011,-10.69840,1.05527,0.12901
182,18300,-13.25279,0.99469,0.12878,-10.61584,1.06530,0.13015,-10.76565,1.05791,0.13051
183,18400,-13.18204,0.96632,0.12948,-10.57300,1.07039,0.12836,-10.63565,1.04376,0.12983
184,18500,-13.16795,1.12027,0.12995,-10.58373,1.07539,0.12867,-10.68465,1.10324,0.12958
185,18600,-13.15499,1.29716,0.12883,-10.44518,1.05374,0.12914,-10.65348,1.09541,0.13013
186,18700,-13.09730,1.02952,0.12732,-10.43912,1.03607,0.12783,-10.58963,1.06841,0.13025
187,18800,-13.12697,1.10434,0.12875,-10.42834,1.04860,0.12775,-10.44010,1.05201,0.12870
188,18900,-13.09769,0.96862,0.12837,-10.39047,1.03628,0.12824,-10.43589,1.00101,0.12750
189,19000,-13.08968,1.14439,0.12793,-10.35926,1.07748,0.12682,-10.52045,1.08428,0.12876
190,19100,-13.11122,1.12877,0.12844,-10.30642,1.07179,0.12868,-10.46051,1.03117,0.12511
191,19200,-12.98935,0.92516,0.12668,-10.25811,1.04766,0.12749,-10.42163,1.05552,0.12771
192,19300,-12.96201,1.01085,0.12752,-10.28122,1.03090,0.12628,-10.29112,1.13852,0.12560
193,19400,-12.97120,1.04209,0.12590,-10.24506,1.02866,0.12680,-10.34171,1.01695,0.12694
194,19500,-12.88631,1.16274,0.12575,-10.15055,1.06403,0.12739,-10.31098,1.10559,0.12598
195,19600,-12.93953,0.97007,0.12617,-10.13965,1.03216,0.12552,-10.23846,1.05079,0.12492
196,19700,-12.95296,1.11832,0.12514,-10.02327,1.03631,0.12500,-10.23336,1.01088,0.12475
197,19800,-12.80320,0.97331,0.12511,-10.11224,1.07633,0.12589,-10.18762,1.07353,0.12534
198,19900,-12.83640,1.01730,0.12556,-9.97591,1.07215,0.12589,-10.13034,0.98962,0.12608
199,20000,-12.82966,0.91677,0.12397,-10.02388,1.11239,0.12489,-10.12631,1.00777,0.12420
200,20100,-12.83193,0.92008,0.12448,-9.99233,1.06561,0.12561,-10.10220,1.02322,0.12405
201,20200,-12.76518,0.93917,0.12400,-9.99646,1.06242,0.12483,-10.05205,1.01423,0.12266
202,20300,-12.62252,0.97484,0.12380,-9.83289,1.06609,0.12474,-10.09035,1.02704,0.12451
203,20400,-12.64143,0.91888,0.12477,-9.84765,0.99017,0.12468,-9.98886,1.05684,0.12412
204,20500,-12.65337,0.96984,0.12379,-9.74147,1.04728,0.12394,-10.13832,1.13761,0.12576
205,20600,-12.57364,0.92142,0.12362,-9.76475,1.07186,0.12556,-9.98855,1.08410,0.12442
206,20700,-12.60779,0.90312,0.12367,-9.70671,1.02191,0.12227,-9.91000,1.01227,0.12376
207,20800,-12.58048,1.09288,0.12406,-9.69822,1.05021,0.12403,-9.92299,0.97664,0.12279
208,20900,-12.54260,0.90698,0.12282,-9.68024,0.97128,0.12263,-9.91351,1.03977,0.12410
209,21000,-12.51277,1.06923,0.12341,-9.69209,1.03233,0.12238,-9.89742,1.02338,0.12295
210,21100,-12.48526,0.94445,0.12202,-9.63692,1.08858,0.12353,-9.86232,1.05930,0.12221
211,21200,-12.52311,1.00437,0.12192,-9.55314,1.04566,0.12111,-9.81345,0.99959,0.12213
