iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss
153,15400,-3.46287,0.20938,-3.65472,0.16135
154,15500,-3.47071,0.19962,-3.64351,0.16856
155,15600,-3.50281,0.10704,-3.66896,0.15638
156,15700,-3.47873,0.12755,-3.65815,0.18991
157,15800,-3.48396,0.13034,-3.70425,0.16122
158,15900,-3.45145,0.14825,-3.68845,0.22285
159,16000,-3.46250,0.11659,-3.69642,0.22123
160,16100,-3.49797,0.19610,-3.78149,0.13732
161,16200,-3.42299,0.17748,-3.72334,0.23013
162,16300,-3.50224,0.14826,-3.71815,0.26913
163,16400,-3.47609,0.11123,-3.78162,0.18878
164,16500,-3.48326,0.19242,-3.80206,0.12396
165,16600,-3.48112,0.22015,-3.71171,0.21612
166,16700,-3.43355,0.19857,-3.73963,0.18187
167,16800,-3.46490,0.24383,-3.72797,0.14308
168,16900,-3.49979,0.17145,-3.73265,0.34934
169,17000,-3.54220,0.11967,-3.73410,0.25245
170,17100,-3.47101,0.17181,-3.76713,0.16428
171,17200,-3.52928,0.10795,-3.77098,0.16017
172,17300,-3.52357,0.10051,-3.76247,0.16624
173,17400,-3.49722,0.13939,-3.79483,0.14194
174,17500,-3.49506,0.16227,-3.76679,0.12731
175,17600,-3.53502,0.14488,-3.72815,0.13902
176,17700,-3.51317,0.12858,-3.76744,0.10665
177,17800,-3.48523,0.17795,-3.79289,0.13888
178,17900,-3.49588,0.13483,-3.76852,0.15174
179,18000,-3.49610,0.13495,-3.72689,0.17631
180,18100,-3.53258,0.18560,-3.76746,0.14481
181,18200,-3.49808,0.14112,-3.76292,0.11391
182,18300,-3.49278,0.16503,-3.77602,0.12664
183,18400,-3.52837,0.16493,-3.75791,0.15107
184,18500,-3.51688,0.21330,-3.76046,0.19720
185,18600,-3.51805,0.13231,-3.76373,0.12736
186,18700,-3.49764,0.18685,-3.73395,0.16123
187,18800,-3.48555,0.19727,-3.74676,0.14054
188,18900,-3.51558,0.10155,-3.80304,0.13586
189,19000,-3.54578,0.12002,-3.78008,0.25035
190,19100,-3.55542,0.13136,-3.79704,0.14273
191,19200,-3.49785,0.11643,-3.79868,0.13525
192,19300,-3.50620,0.24108,-3.80207,0.25073
193,19400,-3.54493,0.12483,-3.83906,0.13948
194,19500,-3.51996,0.14757,-3.83251,0.15798
195,19600,-3.54453,0.11079,-3.84246,0.11948
196,19700,-3.58761,0.13777,-3.78039,0.14825
197,19800,-3.59221,0.14513,-3.78991,0.20134
198,19900,-3.57612,0.12216,-3.77894,0.16312
199,20000,-3.56060,0.13750,-3.80073,0.14406
200,20100,-3.57251,0.12998,-3.75177,0.20090
201,20200,-3.53084,0.13359,-3.77739,0.17743
202,20300,-3.54759,0.15679,-3.78169,0.15496
203,20400,-3.56098,0.11740,-3.78171,0.10858
204,20500,-3.58881,0.15918,-3.72292,0.21237
205,20600,-3.55261,0.16805,-3.80280,0.14144
206,20700,-3.59092,0.18083,-3.81509,0.13362
207,20800,-3.60283,0.13958,-3.76444,0.22053
208,20900,-3.54239,0.16329,-3.77613,0.20145
209,21000,-3.60368,0.15841,-3.77543,0.14454
210,21100,-3.61503,0.11903,-3.77855,0.15951
211,21200,-3.63928,0.12563,-3.76522,0.15600
212,21300,-3.61474,0.14034,-3.77190,0.13214
213,21400,-3.66065,0.12665,-3.74596,0.17129
214,21500,-3.59336,0.12023,-3.82277,0.13190
215,21600,-3.61258,0.11634,-3.77810,0.18929
216,21700,-3.59647,0.17369,-3.75710,0.15499
217,21800,-3.62601,0.16652,-3.76292,0.12540
218,21900,-3.54184,0.15562,-3.79795,0.11889
219,22000,-3.63039,0.19112,-3.74752,0.16140
220,22100,-3.61635,0.10749,-3.80817,0.22134
221,22200,-3.61805,0.12327,-3.80441,0.13018
222,22300,-3.56433,0.13851,-3.78895,0.15024
223,22400,-3.64371,0.12169,-3.76261,0.14814
