iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss
106,10700,-1.34191,1.77410,-0.80847,2.46537,-0.66436,2.42679
107,10800,-1.33603,1.76492,-0.76775,2.49701,-0.56913,2.46701
108,10900,-1.39883,1.77612,-0.85494,2.46549,-0.65744,2.55600
109,11000,-1.35001,1.66262,-0.90927,2.56863,-0.74072,2.51732
110,11100,-1.43321,1.84240,-0.78622,2.57302,-0.51460,2.69252
111,11200,-1.39360,1.69126,-0.80936,2.58393,-0.54086,2.68778
112,11300,-1.36734,1.80023,-0.80289,2.23580,-0.65256,2.65288
113,11400,-1.37532,1.84841,-0.74734,2.58351,-0.70143,2.75021
114,11500,-1.41942,1.81645,-0.68905,2.72209,-0.65114,2.56151
115,11600,-1.45202,1.80000,-0.82203,2.52553,-0.66761,2.64011
116,11700,-1.39457,1.86536,-0.75986,2.39093,-0.62527,2.43460
117,11800,-1.42141,1.84679,-0.77307,2.53625,-0.61346,2.77365
118,11900,-1.45848,1.89391,-0.88513,2.47269,-0.64401,2.60323
119,12000,-1.56793,1.76851,-0.77673,2.42357,-0.66637,2.62097
120,12100,-1.47442,1.70403,-0.72528,2.45755,-0.59291,2.55005
121,12200,-1.43212,1.92087,-0.75456,2.39158,-0.62006,2.78383
122,12300,-1.44124,1.81925,-0.84457,2.61785,-0.60021,2.62080
123,12400,-1.42250,1.80349,-0.73710,2.47662,-0.73869,2.82986
124,12500,-1.48322,1.70299,-0.72168,2.56352,-0.72740,2.58868
125,12600,-1.50741,1.79583,-0.67493,2.52394,-0.65678,2.76066
126,12700,-1.49083,1.83320,-0.76281,2.63619,-0.68055,2.85927
127,12800,-1.58434,1.75166,-0.78262,2.58721,-0.58088,2.68140
128,12900,-1.58152,1.79265,-0.77131,2.73055,-0.62314,2.74840
129,13000,-1.55929,1.69760,-0.66767,2.42140,-0.74817,2.84237
130,13100,-1.66629,1.66409,-0.65385,2.87010,-0.69335,2.98394
131,13200,-1.67194,1.76138,-0.72721,2.59817,-0.66656,2.79862
132,13300,-1.67025,1.69291,-0.58658,2.77735,-0.59274,2.83385
133,13400,-1.57496,1.67683,-0.65433,2.70071,-0.59817,2.82166
134,13500,-1.58635,1.74786,-0.62257,2.67659,-0.58417,2.91749
135,13600,-1.69282,1.74970,-0.55308,2.73854,-0.53571,2.89805
136,13700,-1.70229,1.72917,-0.63628,2.71519,-0.69155,2.85706
137,13800,-1.62675,1.74286,-0.60107,2.64760,-0.71185,2.69736
138,13900,-1.64560,1.70747,-0.69906,2.71777,-0.67988,2.86142
139,14000,-1.66371,1.77973,-0.66183,2.60691,-0.75335,2.81886
140,14100,-1.67456,1.74736,-0.60025,2.53751,-0.79886,2.87536
141,14200,-1.74163,1.72130,-0.58956,2.71341,-0.69908,2.89791
142,14300,-1.82870,1.71337,-0.53691,2.51585,-0.68278,2.96518
143,14400,-1.68557,1.68504,-0.51448,2.74343,-0.75238,2.81531
144,14500,-1.70969,1.64301,-0.63703,2.75588,-0.68607,2.86613
145,14600,-1.74846,1.72854,-0.58313,2.88182,-0.66511,2.83185
146,14700,-1.73067,1.77447,-0.59701,2.62778,-0.68988,2.90685
147,14800,-1.77801,1.78589,-0.50950,2.58921,-0.76161,2.91608
148,14900,-1.74964,1.69152,-0.61021,2.76778,-0.66492,2.87665
149,15000,-1.70270,1.73898,-0.54801,2.69113,-0.71863,2.73042
150,15100,-1.71367,1.68125,-0.59433,2.64940,-0.81028,2.84441
151,15200,-1.80755,1.69645,-0.54039,2.72928,-0.69871,2.90619
