iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value
148,14900,-3.05451,0.22221,0.00089,-18.75993,1.28100,0.21892
149,15000,-3.07460,0.22415,0.00089,-18.71411,1.22066,0.21893
150,15100,-3.08586,0.20892,0.00088,-18.74431,1.23266,0.21917
151,15200,-3.09729,0.22512,0.00088,-18.78705,1.22730,0.21963
152,15300,-3.09451,0.21517,0.00088,-18.75736,1.33801,0.21806
153,15400,-3.08790,0.18856,0.00087,-18.70637,1.26216,0.21888
154,15500,-3.10506,0.20980,0.00087,-18.79109,1.29920,0.21884
155,15600,-3.12519,0.24424,0.00087,-18.74019,1.33982,0.21896
156,15700,-3.03737,0.24946,0.00087,-18.76456,1.33309,0.21805
157,15800,-3.10362,0.20240,0.00086,-18.81262,1.60372,0.21853
158,15900,-3.19105,0.23568,0.00086,-18.80382,1.27279,0.21910
159,16000,-3.15838,0.24018,0.00086,-18.73465,1.21903,0.21990
160,16100,-3.18410,0.21022,0.00086,-18.86601,1.29251,0.21879
161,16200,-3.06087,0.22712,0.00085,-18.77155,1.26969,0.21692
162,16300,-3.17472,0.22321,0.00085,-18.72857,1.27166,0.21754
163,16400,-3.14169,0.24278,0.00085,-18.77050,1.30774,0.21747
164,16500,-3.23790,0.42690,0.00085,-18.79832,1.21523,0.21541
165,16600,-3.18385,0.23843,0.00084,-18.73604,1.34130,0.21599
166,16700,-3.12845,0.24050,0.00084,-18.75226,1.35077,0.21649
167,16800,-3.17805,0.22088,0.00084,-18.76318,1.22965,0.21699
168,16900,-3.19706,0.21399,0.00083,-18.82508,1.24915,0.21607
169,17000,-3.18997,0.21912,0.00083,-18.82088,1.20771,0.21700
170,17100,-3.24086,0.20901,0.00083,-18.77095,1.29089,0.21563
171,17200,-3.23263,0.24148,0.00083,-18.79293,1.34596,0.21844
172,17300,-3.16652,0.20789,0.00083,-18.75208,1.38586,0.21678
173,17400,-3.26354,0.20396,0.00082,-18.77608,1.27040,0.21464
174,17500,-3.20647,0.21113,0.00082,-18.74535,1.20336,0.21806
175,17600,-3.26472,0.20314,0.00082,-18.71153,1.28003,0.21620
176,17700,-3.20233,0.28619,0.00082,-18.72698,1.36003,0.21652
177,17800,-3.25721,0.25773,0.00081,-18.74940,1.23689,0.21821
178,17900,-3.25978,0.24766,0.00081,-18.67148,1.34150,0.21515
179,18000,-3.24237,0.21854,0.00081,-18.68387,1.35211,0.21338
180,18100,-3.26629,0.20766,0.00081,-18.72376,1.35837,0.21687
181,18200,-3.23475,0.23400,0.00080,-18.64279,1.37698,0.21725
182,18300,-3.28456,0.22492,0.00080,-18.68168,1.30975,0.21686
183,18400,-3.25666,0.22793,0.00080,-18.71777,1.30879,0.21565
184,18500,-3.22793,0.24835,0.00080,-18.67073,1.20666,0.21289
185,18600,-3.17713,0.19216,0.00080,-18.59530,1.29127,0.21410
186,18700,-3.20258,0.24528,0.00079,-18.63353,1.24903,0.21430
187,18800,-3.22499,0.24685,0.00079,-18.66026,1.23829,0.21438
188,18900,-3.24384,0.23047,0.00079,-18.65892,1.23774,0.21423
189,19000,-3.25278,0.20721,0.00079,-18.65527,1.27802,0.21635
190,19100,-3.25114,0.20730,0.00079,-18.63834,1.27850,0.21624
191,19200,-3.20332,0.33751,0.00078,-18.66250,1.19563,0.21470
192,19300,-3.21561,0.32086,0.00078,-18.64271,1.33616,0.21371
193,19400,-3.21834,0.26604,0.00078,-18.62337,1.27623,0.21409
194,19500,-3.25044,0.26311,0.00078,-18.65324,1.35618,0.21354
195,19600,-3.19319,0.26511,0.00077,-18.64175,1.26759,0.21253
196,19700,-3.24230,0.23336,0.00077,-18.60841,1.27123,0.21304
197,19800,-3.23964,0.23785,0.00077,-18.56195,1.33874,0.21200
198,19900,-3.26912,0.23217,0.00077,-18.59209,1.32900,0.21452
199,20000,-3.19493,0.27396,0.00077,-18.68340,1.33795,0.21603
200,20100,-3.25063,0.21469,0.00077,-18.60042,1.30605,0.21329
201,20200,-3.18862,0.29742,0.00076,-18.46156,1.21922,0.21082
202,20300,-3.17075,0.25901,0.00076,-18.57221,1.23661,0.21285
203,20400,-3.24441,0.23058,0.00076,-18.53517,1.33307,0.21214
204,20500,-3.22974,0.21370,0.00076,-18.56732,1.37847,0.21101
205,20600,-3.20247,0.23651,0.00076,-18.54534,1.20610,0.21266
206,20700,-3.24080,0.22832,0.00075,-18.50118,1.32369,0.21072
207,20800,-3.27562,0.28862,0.00075,-18.49328,1.23160,0.21040
208,20900,-3.24958,0.22539,0.00075,-18.39934,1.25140,0.21063
209,21000,-3.22332,0.24869,0.00075,-18.49182,1.26419,0.21128
210,21100,-3.23430,0.23158,0.00075,-18.39782,1.27105,0.20859
211,21200,-3.23336,0.24083,0.00075,-18.46608,1.27099,0.21026
212,21300,-3.18459,0.24292,0.00074,-18.35193,1.28373,0.21095
213,21400,-3.24942,0.24690,0.00074,-18.45346,1.47270,0.21171
214,21500,-3.25379,0.28165,0.00074,-18.42773,1.21200,0.20849
215,21600,-3.18540,0.22730,0.00074,-18.40742,1.33533,0.20882
216,21700,-3.23512,0.22630,0.00074,-18.34893,1.20885,0.20820
217,21800,-3.22634,0.26284,0.00073,-18.36298,1.20016,0.20673
218,21900,-3.18770,0.20387,0.00073,-18.35874,1.28421,0.20880
219,22000,-3.25655,0.24260,0.00073,-18.33678,1.23681,0.20816
220,22100,-3.22983,0.26478,0.00073,-18.34806,1.23594,0.20662
221,22200,-3.21111,0.22334,0.00073,-18.32218,1.16923,0.20728
222,22300,-3.19707,0.23004,0.00073,-18.28351,1.24433,0.20662
223,22400,-3.21329,0.28200,0.00072,-18.26553,1.33318,0.20716
224,22500,-3.25693,0.22130,0.00072,-18.19560,1.23104,0.20353
225,22600,-3.27166,0.27190,0.00072,-18.20587,1.18385,0.20541
226,22700,-3.21887,0.25623,0.00072,-18.17417,1.23597,0.20548
227,22800,-3.25881,0.22105,0.00072,-18.18545,1.26073,0.20667
228,22900,-3.21590,0.19659,0.00072,-18.16639,1.39225,0.20555
229,23000,-3.28611,0.19427,0.00072,-18.20232,1.22567,0.20637
230,23100,-3.26032,0.25352,0.00071,-18.11407,1.28071,0.20492
231,23200,-3.22761,0.25811,0.00071,-18.01020,1.33333,0.20393
232,23300,-3.25921,0.23096,0.00071,-17.99360,1.15300,0.20189
233,23400,-3.21078,0.18377,0.00071,-18.06300,1.20621,0.20491
234,23500,-3.25384,0.18583,0.00071,-18.00362,1.31939,0.20304
235,23600,-3.21399,0.24689,0.00071,-18.03013,1.26019,0.20249
236,23700,-3.23973,0.21493,0.00070,-17.92404,1.14926,0.19956
237,23800,-3.24487,0.19640,0.00070,-17.98782,1.28773,0.20341
238,23900,-3.22628,0.19069,0.00070,-17.95719,1.33326,0.20396
239,24000,-3.26865,0.20655,0.00070,-17.95852,1.22877,0.20066
240,24100,-3.17833,0.22597,0.00070,-17.91548,1.12776,0.20397
241,24200,-3.20186,0.24964,0.00070,-17.82591,1.12116,0.19882
242,24300,-3.24416,0.22556,0.00070,-17.85165,1.10814,0.20360
243,24400,-3.21443,0.29551,0.00069,-17.80247,1.21276,0.19839
244,24500,-3.16431,0.25168,0.00069,-17.83448,1.12487,0.19990
245,24600,-3.18689,0.22720,0.00069,-17.82099,1.20011,0.20127
246,24700,-3.23893,0.23796,0.00069,-17.73152,1.25623,0.19898
247,24800,-3.22839,0.19003,0.00069,-17.80559,1.17722,0.20075
248,24900,-3.17020,0.20924,0.00069,-17.70193,1.09535,0.19970
