iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value
84,8500,-12.12220,4.29639,0.16931,-12.85843,4.49357,0.19571,-12.95246,4.61521,0.19741
85,8600,-12.03438,4.31979,0.16756,-12.82157,4.51483,0.19346,-13.04284,4.79995,0.19920
86,8700,-12.22114,4.28494,0.16560,-12.80201,4.41350,0.19418,-13.11612,4.42768,0.20005
87,8800,-12.14263,4.30259,0.16714,-12.95809,4.51157,0.19336,-13.05086,4.59362,0.19819
88,8900,-12.23892,4.59833,0.16667,-12.85735,4.30136,0.19058,-12.98630,4.45441,0.19475
89,9000,-12.27910,4.58215,0.16861,-12.85913,4.48756,0.19195,-13.08605,4.77514,0.19482
90,9100,-12.11009,4.66605,0.16559,-12.92846,4.44359,0.19039,-13.12411,4.73523,0.19559
91,9200,-12.31089,4.32910,0.16634,-12.88548,4.15631,0.19164,-13.01909,4.55907,0.19356
92,9300,-12.29479,4.45963,0.16708,-12.83616,4.10286,0.19097,-12.98113,4.49482,0.19429
93,9400,-12.39383,4.63412,0.16512,-12.75566,4.78238,0.18963,-13.22593,4.81913,0.19333
94,9500,-12.22781,4.72033,0.16581,-12.80073,4.67447,0.18992,-13.20798,4.73492,0.19243
95,9600,-12.43480,4.45917,0.16599,-12.90940,4.52950,0.18960,-13.18137,4.52177,0.19254
96,9700,-12.36614,4.39699,0.16461,-12.95970,4.64780,0.18997,-13.07705,4.90527,0.19234
97,9800,-12.53817,4.45230,0.16351,-12.83491,4.24578,0.18800,-13.08313,4.61610,0.19254
98,9900,-12.54199,4.66438,0.16605,-12.86687,4.36730,0.18784,-13.25364,4.71199,0.19310
99,10000,-12.54058,4.52747,0.16388,-12.88781,4.63223,0.18813,-13.14685,4.46008,0.19078
100,10100,-12.50893,4.67707,0.16245,-12.95011,4.57941,0.18747,-13.20309,4.71109,0.19207
101,10200,-12.39760,4.55144,0.16238,-12.89744,4.33369,0.18418,-13.16501,4.52774,0.18931
102,10300,-12.53662,4.93424,0.16173,-12.84452,4.37509,0.18541,-13.13940,4.73077,0.18912
