iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value,4_maddpg_actor_loss,4_maddpg_critic_loss,4_count_value
71,7200,-14.65540,3.45164,0.22794,-14.49583,2.51213,0.22890,-14.34309,2.58093,0.22785,-12.72513,1.54597,0.22676
72,7300,-14.81953,3.29115,0.22646,-14.61852,2.37490,0.22839,-14.38431,2.44280,0.22653,-12.75769,1.49465,0.22756
73,7400,-14.94560,3.40613,0.22766,-14.68396,2.41433,0.22744,-14.56289,2.25944,0.22765,-13.02300,1.56964,0.22882
74,7500,-14.87903,2.89335,0.22628,-14.82095,2.26857,0.22595,-14.69037,2.69762,0.22666,-12.96506,1.57451,0.22798
75,7600,-14.95346,2.46308,0.22749,-14.89402,2.67031,0.22696,-14.83455,2.72518,0.22624,-13.05848,1.43249,0.22858
76,7700,-15.04152,2.56629,0.22710,-14.93210,2.51118,0.22653,-14.73483,2.61305,0.22774,-13.12035,1.39611,0.22816
77,7800,-15.08124,2.37852,0.22540,-14.98430,2.42453,0.22500,-14.90924,2.61479,0.22810,-13.29961,1.61689,0.22780
78,7900,-15.18468,2.44448,0.22555,-15.07925,2.30363,0.22692,-15.15878,3.15474,0.22749,-13.34520,1.40450,0.22633
79,8000,-15.21205,2.49804,0.22764,-15.19431,2.46343,0.22738,-15.06783,2.46987,0.22843,-13.39460,1.56080,0.22706
80,8100,-15.33062,2.43519,0.22738,-15.17390,2.61636,0.22665,-15.14198,2.41310,0.22821,-13.58134,1.45180,0.22867
81,8200,-15.29850,2.77901,0.22791,-15.40275,2.36154,0.22710,-15.31289,2.74422,0.22822,-13.55092,1.41550,0.22721
82,8300,-15.39811,2.20607,0.22808,-15.45037,2.60215,0.22782,-15.31375,2.33558,0.22819,-13.68520,1.67254,0.22874
83,8400,-15.47041,2.33617,0.22929,-15.50424,2.42375,0.22697,-15.42736,2.35818,0.22765,-13.76054,1.57313,0.22530
84,8500,-15.55553,2.43101,0.22845,-15.61136,2.32705,0.22819,-15.29231,2.93054,0.22796,-13.93334,1.50454,0.22782
85,8600,-15.63168,2.98839,0.22951,-15.67912,2.31988,0.22821,-15.65779,2.90558,0.22801,-13.88946,1.86883,0.22781
86,8700,-15.66863,2.39953,0.22698,-15.70964,2.45747,0.23057,-15.56063,2.60445,0.22830,-13.97066,1.59798,0.22560
87,8800,-15.75844,2.60332,0.22677,-15.70217,2.78238,0.22724,-15.72036,2.51601,0.22873,-14.19090,1.68766,0.22770
88,8900,-15.73328,2.81675,0.22771,-15.68697,2.50701,0.22658,-15.82636,2.30355,0.22987,-14.22478,1.71847,0.22833
89,9000,-15.95182,3.27148,0.22961,-15.90152,2.37178,0.22974,-15.72138,2.27295,0.22744,-14.31779,1.51629,0.22784
90,9100,-16.09945,2.41924,0.22765,-15.90598,2.50205,0.22862,-15.94453,2.40687,0.22985,-14.44308,1.48078,0.22781
91,9200,-15.98747,2.77554,0.22669,-16.02802,2.46236,0.22889,-16.06014,2.53537,0.22899,-14.55391,1.84430,0.22711
92,9300,-16.11147,2.87339,0.22970,-15.98324,2.41588,0.22833,-16.00497,2.39973,0.22868,-14.58425,1.56358,0.23034
93,9400,-16.15721,2.45319,0.22662,-16.08089,2.20930,0.22826,-16.06052,2.43665,0.22823,-14.73447,1.47937,0.23005
94,9500,-16.20304,2.50969,0.22933,-16.20410,2.35571,0.22886,-16.04679,2.36403,0.22766,-14.82540,1.47311,0.22790
95,9600,-16.26670,2.42771,0.22868,-16.14469,2.29064,0.22937,-16.29611,2.28754,0.22705,-14.95666,1.41535,0.22667
96,9700,-16.27025,2.29683,0.22899,-16.27013,2.36641,0.22859,-16.22680,2.59412,0.22804,-15.06027,1.61261,0.22817
97,9800,-16.27894,2.38609,0.22810,-16.27332,2.53490,0.22811,-16.21274,2.40049,0.22948,-15.14524,1.52936,0.22799
98,9900,-16.25439,2.47432,0.22899,-16.20419,2.40113,0.22871,-16.27734,2.43110,0.22957,-15.28392,1.58326,0.22781
99,10000,-16.32008,2.46285,0.22850,-16.32107,2.36848,0.22657,-16.26304,2.38469,0.22787,-15.32887,1.38730,0.22683
100,10100,-16.28849,2.84489,0.22709,-16.30106,2.41266,0.22763,-16.27435,2.43844,0.22911,-15.40502,1.60245,0.22699
101,10200,-16.42267,2.28913,0.22916,-16.30890,2.20278,0.23089,-16.27510,2.18007,0.22811,-15.49751,1.56475,0.22935
102,10300,-16.47176,2.42204,0.22788,-16.42385,2.28855,0.22815,-16.31215,2.31139,0.22881,-15.58826,1.59131,0.22717
103,10400,-16.33217,2.70260,0.22983,-16.30319,2.28172,0.22872,-16.19952,2.30715,0.22895,-15.66570,1.52806,0.22748
104,10500,-16.60753,2.44337,0.22965,-16.34162,2.50596,0.22714,-16.33683,2.36816,0.22686,-15.79383,1.56551,0.22779
105,10600,-16.48775,2.42877,0.22798,-16.40937,2.22348,0.22729,-16.16156,2.71141,0.22649,-15.81686,1.52480,0.22659
106,10700,-16.43572,2.55544,0.22765,-16.46264,2.19651,0.22810,-16.42719,2.24589,0.22943,-15.96433,1.70453,0.22846
107,10800,-16.55214,2.32606,0.22924,-16.45494,2.29684,0.22852,-16.32135,2.08278,0.22781,-15.97091,1.62330,0.22523
108,10900,-16.59753,2.17364,0.22848,-16.43035,2.22507,0.22735,-16.46215,2.10728,0.22767,-16.07102,1.57215,0.22859
109,11000,-16.66113,2.17288,0.22875,-16.61178,2.20030,0.22978,-16.45183,2.12678,0.22740,-16.11143,1.56787,0.22616
110,11100,-16.68954,2.36172,0.22941,-16.50277,2.01564,0.22642,-16.42290,2.08765,0.22706,-16.29046,1.64533,0.22784
111,11200,-16.65922,2.42886,0.22610,-16.55462,2.33084,0.22803,-16.43525,2.13336,0.22953,-16.21812,1.58652,0.22670
112,11300,-16.77094,2.51060,0.22627,-16.58783,2.23682,0.22857,-16.52629,2.16177,0.22787,-16.32837,1.61500,0.22625
113,11400,-16.82338,2.37446,0.22833,-16.67005,2.17844,0.22769,-16.57933,2.02392,0.22605,-16.43520,1.69552,0.22785
114,11500,-16.88864,2.26861,0.22940,-16.65056,2.18731,0.22733,-16.70854,2.00046,0.22739,-16.59430,1.74364,0.22803
115,11600,-16.99675,2.55636,0.22914,-16.77358,1.91435,0.22699,-16.57710,1.90189,0.22835,-16.63290,1.55512,0.22810
116,11700,-16.95033,2.58087,0.22660,-16.84000,2.06918,0.22835,-16.64571,1.81829,0.22676,-16.71209,1.61501,0.22636
117,11800,-16.98346,2.30965,0.22644,-16.88228,2.07194,0.22749,-16.65701,2.14134,0.22734,-16.88436,1.61676,0.22557
