iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_icm_forward_loss,4_icm_inverse_loss
64,6500,-20.72481,1.19879,0.42705,1.56302,-20.69179,1.50986,0.41965,1.57770,-20.49019,1.29298,0.41652,1.59169,-16.74966,0.90152,0.35291,1.61004
65,6600,-20.72814,1.26326,0.42009,1.56253,-20.85790,1.32299,0.41693,1.57719,-20.28541,1.33732,0.41349,1.59189,-16.81467,1.36263,0.34980,1.60877
66,6700,-20.81320,1.60497,0.41718,1.56169,-20.89039,1.17069,0.41264,1.57783,-20.21667,1.03325,0.40733,1.59143,-16.63327,1.81813,0.34554,1.60857
67,6800,-20.84349,1.75487,0.41317,1.56222,-20.59247,1.28009,0.40791,1.57775,-20.36943,1.48178,0.40194,1.59173,-16.78807,0.96680,0.34222,1.60757
68,6900,-20.49208,1.26319,0.40967,1.56088,-20.63772,2.33285,0.40403,1.57605,-20.10663,1.01283,0.39896,1.59172,-16.95541,2.76473,0.33796,1.60679
69,7000,-20.59133,1.40540,0.40462,1.56276,-20.56916,1.45656,0.39857,1.57690,-20.03106,0.98663,0.39528,1.59139,-16.51611,1.83905,0.33390,1.60620
70,7100,-20.54503,1.64330,0.40095,1.56093,-20.43225,2.27163,0.39480,1.57688,-20.01127,1.33308,0.39012,1.59138,-16.68412,1.07599,0.33125,1.60571
71,7200,-20.56986,1.51833,0.39678,1.55989,-20.34848,2.13571,0.39011,1.57528,-19.87488,1.12477,0.38772,1.59149,-16.77082,1.29706,0.32563,1.60550
72,7300,-20.46484,1.42586,0.39002,1.55996,-20.14646,2.13256,0.38490,1.57519,-19.85816,1.35490,0.38256,1.59170,-16.73413,1.42411,0.32237,1.60527
73,7400,-20.37923,1.22043,0.38588,1.56017,-20.23512,1.44172,0.38039,1.57447,-19.83071,1.10226,0.37784,1.59160,-16.71622,1.37517,0.31766,1.60475
74,7500,-20.41725,1.30317,0.38208,1.56046,-20.15097,2.29545,0.37587,1.57289,-19.86278,0.95810,0.37323,1.59071,-16.60387,0.98730,0.31500,1.60475
75,7600,-20.19415,1.15676,0.37625,1.56099,-19.95538,1.86501,0.36971,1.57276,-19.71194,0.86024,0.36918,1.59114,-16.56760,1.02887,0.31176,1.60323
76,7700,-20.33994,1.48646,0.37174,1.56127,-19.87395,2.92743,0.36722,1.57189,-19.60567,1.43981,0.36633,1.58976,-16.48841,1.06456,0.30782,1.60287
77,7800,-20.09700,2.53847,0.36764,1.56112,-20.00209,2.58950,0.36285,1.57129,-19.77546,1.92820,0.36050,1.59082,-16.46263,1.23990,0.30419,1.60251
78,7900,-19.98807,1.58041,0.36433,1.56203,-19.73239,1.63026,0.35754,1.57030,-19.55935,1.41061,0.35698,1.58993,-16.30908,1.17865,0.30020,1.60160
79,8000,-19.93987,1.30654,0.35994,1.56016,-19.65185,1.38014,0.35509,1.57073,-19.61247,1.34172,0.35249,1.59016,-16.33583,1.27651,0.29664,1.60153
80,8100,-19.90676,1.46781,0.35549,1.56279,-19.60646,1.37051,0.34899,1.57144,-19.24197,1.30089,0.34685,1.58969,-16.30126,1.00775,0.29342,1.60123
81,8200,-19.58504,1.80333,0.35159,1.56082,-19.48120,0.89078,0.34532,1.57027,-19.22244,1.50702,0.34533,1.58928,-16.25534,1.14430,0.29038,1.60084
82,8300,-19.56768,1.17659,0.34669,1.56078,-19.23760,0.86122,0.34212,1.56910,-19.31481,1.45739,0.34193,1.59099,-16.15414,1.28421,0.28574,1.60048
83,8400,-19.76412,1.75678,0.34405,1.56127,-19.15893,0.96451,0.33625,1.56897,-19.06510,1.49358,0.33786,1.58989,-16.11369,1.32723,0.28349,1.60070
84,8500,-19.48739,2.26725,0.33775,1.56137,-19.04398,1.13622,0.33405,1.56937,-19.03738,1.23980,0.33356,1.58967,-16.05279,1.71146,0.27846,1.59975
