iteration,episode,1_iql_loss,2_iql_loss,3_iql_loss,4_iql_loss
225,22600,0.73922,1.03073,1.06968,0.78753
226,22700,0.89814,0.85895,0.85841,0.95815
227,22800,0.91906,0.82355,0.93241,0.99739
228,22900,0.81045,0.92520,0.81486,0.92344
229,23000,0.88680,1.10512,0.87792,0.97727
230,23100,0.77027,0.94619,1.15977,0.91403
231,23200,0.94379,0.89237,1.23410,1.16778
232,23300,1.02334,1.20370,1.18239,0.78886
233,23400,1.00718,0.97103,0.69716,1.30856
234,23500,1.19497,0.68092,0.96277,1.04884
235,23600,1.03084,1.29178,0.81198,0.79630
236,23700,1.29173,0.79462,1.05327,1.20425
237,23800,0.77693,0.97816,1.02628,0.81665
238,23900,0.79911,0.94253,1.24833,0.98817
239,24000,0.87175,1.06875,0.95938,0.99785
240,24100,0.96699,0.88650,0.80108,1.10409
241,24200,1.04598,1.12325,1.31063,0.81171
242,24300,0.85930,0.89556,0.65694,1.07514
243,24400,0.99303,1.06547,0.72257,0.89909
244,24500,0.70543,0.93317,1.07956,1.24628
245,24600,0.72024,0.89416,1.18657,0.79670
246,24700,1.04236,1.04143,1.10032,1.13279
247,24800,0.98768,0.97750,1.04817,0.95953
248,24900,1.24358,0.67058,0.75921,0.83877
