iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value,4_iql_loss,4_count_value
161,16200,2.35963,0.31785,2.37267,0.31205,2.59713,0.32356,1.79337,0.25493
162,16300,2.39848,0.31778,2.32642,0.31028,2.57196,0.32423,1.82460,0.25736
163,16400,2.41504,0.31937,2.33352,0.31064,2.55883,0.32257,1.76810,0.25657
164,16500,2.45007,0.32052,2.26584,0.31253,2.58673,0.32249,1.78689,0.25662
165,16600,2.35524,0.31694,2.31932,0.31197,2.59019,0.32214,1.80953,0.25771
166,16700,2.39718,0.31668,2.34960,0.31365,2.57829,0.32162,1.81670,0.25609
167,16800,2.49544,0.32047,2.33411,0.31015,2.60103,0.32165,1.81991,0.25784
168,16900,2.43795,0.31928,2.26513,0.31066,2.52893,0.31982,1.74599,0.25808
169,17000,2.43945,0.31850,2.33272,0.31222,2.60037,0.32165,1.78964,0.25652
170,17100,2.40006,0.31768,2.36266,0.31382,2.54933,0.32058,1.82963,0.25486
171,17200,2.42996,0.31405,2.29319,0.30986,2.58171,0.32049,1.82043,0.25605
172,17300,2.46168,0.31466,2.25796,0.30956,2.52160,0.31809,1.82938,0.25709
173,17400,2.47458,0.31477,2.39118,0.31123,2.55993,0.31945,1.86356,0.25403
174,17500,2.49408,0.31685,2.35090,0.31071,2.52448,0.31731,1.81099,0.25692
175,17600,2.41398,0.31541,2.37854,0.31145,2.57362,0.31726,1.87207,0.25593
176,17700,2.44169,0.31462,2.42015,0.31096,2.57010,0.31750,1.84847,0.25346
177,17800,2.46373,0.31628,2.38772,0.31006,2.59285,0.31536,1.85624,0.25461
178,17900,2.46356,0.31683,2.38006,0.31116,2.55906,0.31640,1.92131,0.25534
179,18000,2.43637,0.31407,2.34372,0.30944,2.60391,0.31532,1.84628,0.25407
180,18100,2.39646,0.31264,2.35642,0.30967,2.57999,0.31642,1.86111,0.25281
181,18200,2.43784,0.31241,2.35600,0.30903,2.59268,0.31453,1.85396,0.25430
182,18300,2.45326,0.31468,2.35524,0.30679,2.59302,0.31776,1.89723,0.25438
183,18400,2.40527,0.31076,2.37474,0.31165,2.63260,0.31531,1.90004,0.25256
184,18500,2.46515,0.31315,2.40876,0.30910,2.54764,0.31571,1.86791,0.25183
185,18600,2.39548,0.31126,2.47183,0.30834,2.60735,0.31528,1.86250,0.25070
186,18700,2.45187,0.31179,2.41004,0.30940,2.65588,0.31507,1.90686,0.25305
187,18800,2.51044,0.31210,2.40744,0.30750,2.53224,0.31463,1.94645,0.25042
188,18900,2.46905,0.30912,2.47432,0.31102,2.59985,0.31112,1.90473,0.25187
189,19000,2.50074,0.31074,2.47844,0.30956,2.61846,0.31318,1.89633,0.25194
190,19100,2.52029,0.30893,2.40702,0.30773,2.60657,0.31549,1.90811,0.25073
191,19200,2.51409,0.30948,2.45510,0.30848,2.65828,0.31302,1.92039,0.24989
192,19300,2.49337,0.30824,2.51250,0.30582,2.57503,0.31137,1.91991,0.24811
193,19400,2.49020,0.30858,2.46474,0.30785,2.58989,0.30900,1.98757,0.24777
194,19500,2.51854,0.30934,2.48042,0.30858,2.55907,0.31162,1.93388,0.24869
195,19600,2.43454,0.30886,2.45259,0.30922,2.68141,0.31343,1.99582,0.24872
196,19700,2.43858,0.30595,2.50922,0.30586,2.64923,0.30835,2.00328,0.25036
197,19800,2.54433,0.30998,2.43766,0.30799,2.66457,0.31261,2.03253,0.24825
198,19900,2.56887,0.30901,2.47654,0.30835,2.62499,0.31082,1.95026,0.24810
199,20000,2.48398,0.30740,2.53619,0.30738,2.60824,0.30871,1.98312,0.24893
200,20100,2.53363,0.30917,2.47390,0.30613,2.63448,0.31150,2.00936,0.24730
201,20200,2.44104,0.30613,2.56664,0.30615,2.70442,0.30924,2.02878,0.25048
202,20300,2.53678,0.30856,2.45632,0.30583,2.54644,0.30789,2.02640,0.24728
203,20400,2.43409,0.30654,2.57034,0.30615,2.59624,0.30855,1.95428,0.24592
204,20500,2.44672,0.30727,2.72373,0.30677,2.56637,0.30811,1.98556,0.24662
205,20600,2.47786,0.30615,2.51962,0.30586,2.62865,0.31033,2.03361,0.24748
206,20700,2.52647,0.30752,2.52240,0.30547,2.62711,0.30889,1.93824,0.24683
207,20800,2.47942,0.30580,2.64043,0.30607,2.60763,0.30648,2.02624,0.24538
208,20900,2.48196,0.30475,2.55462,0.30223,2.60761,0.30698,1.96044,0.24416
209,21000,2.58915,0.30407,2.53330,0.30656,2.64659,0.30745,2.02370,0.24624
210,21100,2.41219,0.30403,2.60128,0.30579,2.58549,0.30819,1.97267,0.24254
211,21200,2.51117,0.30673,2.60194,0.30310,2.67013,0.30733,1.99043,0.24443
212,21300,2.52369,0.30706,2.58262,0.30218,2.61785,0.30595,1.98615,0.24383
213,21400,2.51146,0.30387,2.66171,0.30563,2.63855,0.30583,1.97908,0.24415
214,21500,2.41177,0.30235,2.59858,0.30497,2.61813,0.30748,2.03847,0.24321
215,21600,2.49622,0.30664,2.56270,0.30298,2.64994,0.30586,1.97833,0.24207
216,21700,2.50129,0.30414,2.61536,0.30314,2.58557,0.30539,1.98086,0.24234
217,21800,2.47726,0.30093,2.60558,0.30296,2.60032,0.30601,1.95534,0.24208
218,21900,2.52381,0.30196,2.53419,0.30287,2.66553,0.30431,2.02457,0.24188
219,22000,2.51588,0.30127,2.58313,0.30156,2.64915,0.30437,1.99767,0.23972
220,22100,2.48969,0.30250,2.65866,0.30451,2.62851,0.30641,2.00524,0.24243
221,22200,2.47207,0.30362,2.66518,0.30486,2.67874,0.30476,1.96035,0.24040
222,22300,2.53477,0.30008,2.67272,0.30305,2.70665,0.30480,1.99038,0.24453
223,22400,2.60486,0.30337,2.63744,0.30202,2.73176,0.30449,1.99519,0.24152
224,22500,2.55001,0.30051,2.69000,0.30457,2.73101,0.30402,1.97600,0.24057
225,22600,2.49912,0.30224,2.66762,0.30480,2.71525,0.30448,2.03582,0.24148
226,22700,2.55132,0.30155,2.64731,0.30168,2.68217,0.30283,1.95904,0.23860
227,22800,2.56251,0.30124,2.61934,0.30047,2.67445,0.30220,2.00255,0.23986
228,22900,2.52689,0.30124,2.67763,0.30165,2.69753,0.30249,1.97210,0.24229
229,23000,2.53793,0.30257,2.63057,0.29952,2.69407,0.30163,2.01528,0.23769
230,23100,2.56548,0.30162,2.59465,0.29918,2.70672,0.30195,2.00596,0.23894
231,23200,2.56571,0.30092,2.59786,0.30113,2.69836,0.30118,1.98126,0.23631
232,23300,2.58204,0.29913,2.63702,0.30131,2.75705,0.30369,1.96426,0.23791
233,23400,2.59805,0.29914,2.70665,0.30048,2.66445,0.30109,1.90251,0.23691
234,23500,2.62581,0.30173,2.64257,0.29958,2.73137,0.30198,1.97721,0.23789
235,23600,2.57078,0.30018,2.67978,0.29920,2.76936,0.30036,1.96786,0.23592
236,23700,2.54077,0.29829,2.66235,0.30170,2.71339,0.30013,1.93149,0.23433
237,23800,2.66642,0.29914,2.70183,0.30030,2.72893,0.30214,1.94211,0.23546
238,23900,2.63119,0.29949,2.72619,0.29905,2.76367,0.29943,1.98520,0.23585
239,24000,2.58008,0.29857,2.63956,0.29880,2.76102,0.30062,1.91878,0.23499
240,24100,2.60284,0.29910,2.65416,0.29775,2.73119,0.30182,1.98281,0.23794
241,24200,2.68069,0.30242,2.70673,0.29791,2.74515,0.29923,1.97863,0.23425
242,24300,2.58406,0.29847,2.69169,0.29839,2.82822,0.30177,1.99471,0.23508
243,24400,2.61161,0.29687,2.67821,0.29965,2.69627,0.30037,1.97799,0.23474
244,24500,2.62801,0.29797,2.68378,0.29707,2.78855,0.30069,1.94529,0.23559
245,24600,2.62613,0.29916,2.68653,0.29736,2.68831,0.29871,1.95068,0.23500
246,24700,2.60784,0.29526,2.70774,0.29835,2.76657,0.30332,1.93372,0.23552
247,24800,2.62062,0.29765,2.75432,0.29876,2.73651,0.30004,1.96952,0.23457
248,24900,2.56921,0.29498,2.75181,0.29858,2.72002,0.30082,1.98298,0.23541
