iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value
150,15100,-16.08916,1.70327,0.20298,-14.59988,1.65780,0.20337,-14.33571,1.63873,0.19751
151,15200,-15.98118,1.69836,0.20199,-14.55710,1.69092,0.20377,-14.37353,1.66059,0.19829
152,15300,-15.98891,1.67109,0.20313,-14.57908,1.65297,0.20208,-14.32574,1.64541,0.19744
153,15400,-15.94184,1.71033,0.20215,-14.42796,1.56380,0.19932,-14.25178,1.66542,0.19722
154,15500,-15.98663,1.80567,0.20161,-14.38377,1.62116,0.19957,-14.24717,1.66026,0.19637
155,15600,-15.96776,1.65392,0.20286,-14.35684,1.56768,0.19809,-14.13526,1.70256,0.19386
156,15700,-15.96486,1.44229,0.20097,-14.35964,1.63802,0.20135,-14.13022,1.66892,0.19763
157,15800,-15.95266,1.58112,0.20022,-14.25039,1.57458,0.19900,-14.14494,1.63253,0.19465
158,15900,-15.92295,1.55893,0.19948,-14.24693,1.56567,0.19825,-14.11264,1.68101,0.19692
159,16000,-15.79053,1.70356,0.19982,-14.21897,1.57596,0.19808,-14.14313,1.82382,0.19580
160,16100,-15.80150,1.66056,0.20078,-14.15421,1.65178,0.19847,-14.03129,1.73310,0.19418
161,16200,-15.73683,1.54397,0.19682,-14.04754,1.61778,0.20088,-13.91642,1.62449,0.19360
162,16300,-15.82512,1.54233,0.19803,-14.09684,1.62018,0.19619,-13.99343,1.64501,0.19461
163,16400,-15.79981,1.68642,0.20068,-14.07574,1.67792,0.19750,-13.93745,1.66197,0.19390
164,16500,-15.54927,1.61643,0.19786,-14.13230,1.60769,0.19733,-13.89908,1.68590,0.19256
165,16600,-15.65877,1.52616,0.19602,-13.94579,1.58379,0.19502,-13.90604,1.66139,0.19374
166,16700,-15.62600,1.61534,0.19767,-14.00935,1.68081,0.19684,-13.84502,1.68293,0.19320
167,16800,-15.47578,1.42871,0.19428,-13.91781,1.54886,0.19504,-13.75327,1.60910,0.19214
168,16900,-15.64381,1.45970,0.19600,-13.91713,1.56128,0.19510,-13.77865,1.68115,0.19232
169,17000,-15.51952,1.58721,0.19617,-13.76110,1.53289,0.19411,-13.83375,1.68188,0.19217
