iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss,3_iql_loss,3_rnd_forward_loss,4_iql_loss,4_rnd_forward_loss
171,17200,1.03283,0.14033,0.98656,0.14127,1.22322,0.14105,0.82320,0.14110
172,17300,1.08178,0.13934,0.80787,0.13955,0.92011,0.13983,0.86168,0.13892
173,17400,0.97185,0.13811,1.13287,0.13981,0.86715,0.13807,0.89548,0.13896
174,17500,0.91021,0.13803,0.99715,0.13793,1.21820,0.13725,0.84300,0.13776
175,17600,1.15690,0.13705,1.00041,0.13585,1.04690,0.13724,0.90283,0.13641
176,17700,0.85251,0.13555,0.76559,0.13614,1.32624,0.13533,0.86790,0.13547
177,17800,0.87688,0.13463,1.22197,0.13511,0.96735,0.13515,0.90456,0.13548
178,17900,1.08318,0.13338,0.80904,0.13396,1.28686,0.13390,0.84728,0.13462
179,18000,1.10354,0.13254,1.25611,0.13385,1.37188,0.13316,0.85774,0.13293
180,18100,0.89143,0.13216,1.03893,0.13255,0.85011,0.13248,0.87112,0.13219
181,18200,0.82898,0.13114,0.97158,0.13141,1.09868,0.13084,0.88229,0.13135
182,18300,0.95103,0.13023,0.78657,0.13125,1.04514,0.12986,0.81340,0.13086
183,18400,1.37146,0.12983,1.23595,0.12959,1.22410,0.12905,0.79023,0.12985
184,18500,1.18015,0.12824,1.00117,0.12816,1.14832,0.12842,0.83924,0.12768
185,18600,0.91046,0.12781,1.07628,0.12814,0.99545,0.12856,0.99049,0.12888
186,18700,1.15501,0.12730,1.06890,0.12723,1.12899,0.12772,0.83654,0.12713
187,18800,1.07675,0.12676,1.10181,0.12637,1.01183,0.12743,0.78098,0.12575
188,18900,0.79162,0.12561,0.71016,0.12498,0.96620,0.12506,0.77917,0.12520
189,19000,1.16523,0.12434,0.77586,0.12464,1.40322,0.12429,0.84083,0.12453
190,19100,1.27373,0.12448,1.34032,0.12411,0.66497,0.12436,0.88132,0.12370
191,19200,0.99401,0.12387,1.00078,0.12208,0.85981,0.12450,0.80164,0.12357
192,19300,0.83267,0.12199,0.86530,0.12221,1.27355,0.12185,0.83213,0.12248
193,19400,0.78131,0.12209,1.10569,0.12204,1.04846,0.12237,0.85950,0.12145
194,19500,1.30090,0.11985,0.75112,0.12076,0.97953,0.12190,0.87581,0.12052
195,19600,1.07498,0.11975,0.85543,0.12040,0.93091,0.11993,0.87312,0.11936
196,19700,1.06109,0.12002,1.18171,0.11972,1.19536,0.11955,0.84049,0.12033
197,19800,1.05474,0.11886,0.97707,0.11921,0.89891,0.11884,0.80483,0.11958
198,19900,0.86169,0.11834,0.91700,0.11859,0.93545,0.11789,1.00459,0.11774
199,20000,1.21076,0.11729,0.85611,0.11844,1.20462,0.11796,0.86407,0.11726
200,20100,0.75448,0.11709,1.13453,0.11702,0.97516,0.11713,0.87073,0.11727
201,20200,1.17033,0.11715,1.41579,0.11564,0.83430,0.11561,0.82848,0.11594
202,20300,0.83784,0.11568,1.36916,0.11509,1.19730,0.11577,0.83391,0.11504
203,20400,1.41405,0.11504,0.93437,0.11514,1.19728,0.11496,0.83178,0.11465
204,20500,1.20788,0.11425,0.98356,0.11425,0.73340,0.11385,0.94264,0.11428
205,20600,1.00310,0.11323,1.04997,0.11340,1.23549,0.11297,0.92443,0.11414
206,20700,0.93696,0.11302,1.23477,0.11385,0.96271,0.11251,0.88090,0.11282
207,20800,1.04047,0.11248,1.15193,0.11252,0.91353,0.11290,0.84370,0.11269
208,20900,0.87902,0.11200,0.79993,0.11161,1.03264,0.11247,0.84083,0.11164
209,21000,0.79749,0.11129,0.84345,0.11098,0.89071,0.11131,0.90975,0.11135
210,21100,0.83069,0.11052,0.85288,0.11096,0.76048,0.11038,0.95505,0.11129
211,21200,1.09319,0.10984,0.94415,0.10981,1.15697,0.11031,0.79810,0.11080
212,21300,0.97634,0.10960,0.97053,0.10875,1.17974,0.11001,0.85681,0.10960
213,21400,1.27239,0.10900,1.16663,0.10943,1.10643,0.10901,0.80400,0.10922
214,21500,0.97991,0.10857,1.34640,0.10847,0.89969,0.10806,0.92081,0.10867
215,21600,0.94075,0.10783,0.79651,0.10806,0.77898,0.10826,0.85878,0.10830
216,21700,1.01913,0.10752,1.05724,0.10745,1.07235,0.10752,0.90377,0.10746
217,21800,1.27368,0.10654,0.97115,0.10667,0.94196,0.10590,0.98828,0.10620
218,21900,0.93054,0.10649,1.07395,0.10586,0.82018,0.10602,0.81275,0.10590
219,22000,1.06214,0.10539,1.06881,0.10550,0.95584,0.10571,0.84840,0.10596
220,22100,1.20356,0.10500,1.22815,0.10379,1.17389,0.10413,0.92064,0.10488
221,22200,0.96301,0.10437,1.30700,0.10454,1.42350,0.10463,0.86211,0.10450
222,22300,0.94460,0.10364,1.31277,0.10422,0.95923,0.10385,1.01869,0.10333
223,22400,1.02721,0.10329,1.13432,0.10313,1.26184,0.10267,0.81917,0.10308
224,22500,1.10963,0.10238,1.07959,0.10224,1.10023,0.10355,0.82057,0.10272
225,22600,0.82194,0.10228,1.15347,0.10177,0.99109,0.10227,0.83320,0.10186
226,22700,0.97249,0.10123,0.87052,0.10192,1.04665,0.10114,0.89980,0.10122
227,22800,1.33873,0.10121,0.92604,0.10148,1.07964,0.10091,0.78388,0.10076
228,22900,1.04839,0.10035,0.84087,0.10086,1.03303,0.10020,0.86802,0.10048
229,23000,1.02012,0.09993,1.36376,0.09989,0.63590,0.09998,0.87465,0.10009
230,23100,0.97761,0.09999,0.86127,0.09950,1.14506,0.09991,0.85375,0.10000
231,23200,1.30918,0.09965,0.96688,0.09955,0.96677,0.09922,0.86007,0.09904
232,23300,1.47789,0.09902,1.10638,0.09870,0.93207,0.09857,0.96517,0.09964
233,23400,0.97112,0.09823,0.95748,0.09817,0.77176,0.09828,0.76185,0.09838
234,23500,0.83766,0.09788,1.04649,0.09811,0.91685,0.09746,0.76696,0.09778
235,23600,0.86253,0.09672,0.99736,0.09698,0.84974,0.09744,0.85105,0.09692
236,23700,0.81435,0.09774,1.14620,0.09716,1.21225,0.09651,0.87061,0.09682
237,23800,1.00640,0.09614,0.95623,0.09673,0.87490,0.09641,0.87236,0.09664
238,23900,1.20726,0.09543,0.80853,0.09631,0.97547,0.09643,0.87787,0.09553
239,24000,0.87782,0.09607,1.01714,0.09565,0.98097,0.09527,0.88074,0.09532
240,24100,1.23077,0.09470,0.79453,0.09523,1.08231,0.09457,0.92825,0.09478
241,24200,0.77704,0.09446,1.20127,0.09476,1.21437,0.09465,0.86783,0.09447
242,24300,1.04249,0.09338,0.76597,0.09343,0.91970,0.09364,0.79575,0.09444
243,24400,0.85110,0.09297,0.90270,0.09349,1.07072,0.09372,0.87283,0.09333
244,24500,0.89180,0.09274,0.70854,0.09297,1.08842,0.09270,0.83773,0.09326
245,24600,1.06155,0.09315,1.12754,0.09232,1.27227,0.09265,0.94105,0.09281
246,24700,0.89411,0.09192,1.36130,0.09245,0.75783,0.09199,0.91189,0.09240
247,24800,0.85779,0.09158,1.11591,0.09140,1.12768,0.09181,0.91496,0.09154
248,24900,0.94063,0.09165,1.38421,0.09135,1.31600,0.09177,0.89837,0.09112
