iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value,4_iql_loss,4_count_value
158,15900,1.72190,0.21104,1.90440,0.21331,1.86342,0.21267,1.65974,0.21536
159,16000,1.90322,0.21346,1.69722,0.21248,1.94218,0.21535,1.54847,0.21319
160,16100,1.79972,0.21256,1.72938,0.21266,1.86986,0.21473,1.69351,0.21388
161,16200,1.88184,0.21318,1.77321,0.21236,1.85493,0.21280,1.60082,0.21313
162,16300,1.93036,0.21250,1.79723,0.21257,1.87783,0.21205,1.57370,0.21326
163,16400,1.89451,0.21297,1.80206,0.21029,1.99126,0.21232,1.58078,0.21252
164,16500,1.91407,0.21363,1.89912,0.21229,1.96166,0.21366,1.59442,0.21221
165,16600,1.85894,0.21194,1.84747,0.21180,1.89329,0.21246,1.60602,0.21210
166,16700,1.83445,0.21112,1.82154,0.21258,1.99453,0.21238,1.56321,0.21212
167,16800,1.78372,0.21490,1.86299,0.20974,2.00274,0.21170,1.53242,0.21130
168,16900,1.86016,0.21291,1.79456,0.21028,2.02292,0.21184,1.55328,0.21220
169,17000,1.93765,0.21295,1.78851,0.21224,1.98224,0.21173,1.65857,0.21194
170,17100,1.86927,0.21336,1.79891,0.21330,2.04709,0.21291,1.59961,0.21002
171,17200,1.91146,0.21042,1.82059,0.21056,2.00052,0.21206,1.67326,0.21058
172,17300,1.79790,0.21153,1.83858,0.21085,1.96094,0.21047,1.61323,0.21253
173,17400,1.86212,0.20863,1.85465,0.21150,2.02854,0.21116,1.55351,0.21059
174,17500,1.86842,0.21104,1.75301,0.21055,2.00433,0.20930,1.57755,0.21066
175,17600,1.84576,0.20927,1.81276,0.21227,2.01791,0.21058,1.58919,0.21196
176,17700,1.87352,0.21033,1.75941,0.21030,2.05182,0.21043,1.62586,0.20972
177,17800,1.84474,0.20997,1.80152,0.20971,2.10752,0.21058,1.66079,0.21022
178,17900,1.91122,0.21185,1.76215,0.21125,2.04177,0.20945,1.64790,0.21260
179,18000,1.81904,0.21046,1.81467,0.21101,2.05967,0.21135,1.56401,0.21036
180,18100,1.99464,0.20840,1.78736,0.21143,2.08939,0.21017,1.52878,0.20855
181,18200,1.89256,0.20943,1.73215,0.21009,2.08360,0.20921,1.62727,0.21077
182,18300,1.96196,0.21070,1.81636,0.21148,2.08549,0.20825,1.56119,0.21162
183,18400,1.89963,0.21036,1.70430,0.21109,2.12464,0.20885,1.67602,0.21030
184,18500,1.86522,0.20808,1.73740,0.21029,2.03610,0.21064,1.64706,0.20903
185,18600,1.91554,0.20933,1.75188,0.20831,2.01918,0.21027,1.57792,0.20798
186,18700,1.87829,0.20912,1.75691,0.20967,2.03283,0.20959,1.60882,0.20941
187,18800,1.85736,0.20978,1.78751,0.20876,2.16703,0.21019,1.60612,0.20762
188,18900,1.95026,0.20751,1.79937,0.20946,2.02601,0.20764,1.60375,0.20979
189,19000,1.82467,0.20930,1.75985,0.20930,1.95844,0.20873,1.56675,0.20753
190,19100,1.86183,0.20782,1.68937,0.20746,2.04708,0.20910,1.64633,0.20716
191,19200,1.86857,0.20720,1.81922,0.20910,2.10955,0.21037,1.65222,0.20903
192,19300,1.88929,0.20836,1.72329,0.20685,2.07586,0.20855,1.65038,0.20809
193,19400,1.87864,0.20845,1.79365,0.20860,2.00804,0.20620,1.55828,0.20739
194,19500,1.87241,0.20882,1.74078,0.20872,1.99452,0.20936,1.58443,0.20612
195,19600,1.87607,0.20744,1.67151,0.20714,2.07561,0.20889,1.52568,0.20752
196,19700,1.82319,0.20682,1.64996,0.20551,1.99435,0.20726,1.64630,0.20864
197,19800,1.88370,0.20693,1.66312,0.20783,2.01245,0.20851,1.61853,0.20566
198,19900,1.89059,0.20647,1.73148,0.20911,1.98509,0.20691,1.63058,0.20706
199,20000,1.87934,0.20699,1.67746,0.20566,1.98131,0.20591,1.68294,0.20784
200,20100,1.94471,0.20735,1.70303,0.20776,1.96935,0.20731,1.59950,0.20673
201,20200,1.85465,0.20625,1.63076,0.20570,1.99618,0.20694,1.58208,0.20607
202,20300,1.89616,0.20784,1.64910,0.20785,1.95355,0.20593,1.57360,0.20625
203,20400,1.99614,0.20685,1.64699,0.20628,1.96544,0.20631,1.62736,0.20493
204,20500,1.90781,0.20633,1.69010,0.20596,2.05624,0.20673,1.63948,0.20497
205,20600,1.85614,0.20518,1.68971,0.20684,1.96480,0.20606,1.64818,0.20515
206,20700,1.97645,0.20659,1.61700,0.20461,2.01108,0.20418,1.57390,0.20498
207,20800,1.93426,0.20412,1.61556,0.20650,2.00846,0.20516,1.66303,0.20589
208,20900,1.82895,0.20322,1.55325,0.20360,1.97545,0.20316,1.69766,0.20428
209,21000,1.82594,0.20584,1.62980,0.20481,1.97861,0.20505,1.61018,0.20437
210,21100,1.79780,0.20515,1.61678,0.20383,1.93418,0.20391,1.56181,0.20439
211,21200,1.93919,0.20554,1.64303,0.20310,1.86591,0.20496,1.72578,0.20412
212,21300,1.89775,0.20470,1.60721,0.20307,1.96734,0.20373,1.66482,0.20324
213,21400,1.90252,0.20458,1.59871,0.20348,1.93221,0.20300,1.56264,0.20571
214,21500,1.91989,0.20151,1.60969,0.20345,1.95836,0.20234,1.62323,0.20419
215,21600,1.97468,0.20475,1.67448,0.20215,1.90823,0.20217,1.62021,0.20304
216,21700,1.87043,0.20348,1.67403,0.20115,1.98753,0.20254,1.53484,0.20237
217,21800,1.83173,0.20173,1.64259,0.20056,1.90248,0.20316,1.54950,0.20091
218,21900,1.83824,0.20300,1.61469,0.20240,1.98638,0.20171,1.59660,0.20180
219,22000,1.89085,0.20203,1.68535,0.20263,1.89971,0.20296,1.64183,0.20129
220,22100,1.83560,0.20245,1.58237,0.20248,1.86872,0.20325,1.60809,0.20319
221,22200,1.90164,0.20191,1.63453,0.20399,1.88722,0.20173,1.60410,0.20124
222,22300,1.86565,0.20131,1.59980,0.20213,1.87389,0.20263,1.59495,0.20372
223,22400,1.83756,0.20144,1.65972,0.20043,1.84177,0.19971,1.61520,0.20063
224,22500,1.83076,0.20197,1.64190,0.20087,1.86976,0.20018,1.62466,0.20131
225,22600,1.79788,0.20020,1.73980,0.20217,1.85390,0.20160,1.53426,0.20258
226,22700,1.83457,0.20240,1.67100,0.19934,1.83604,0.19928,1.63146,0.19952
227,22800,1.73574,0.20024,1.54638,0.19991,1.82435,0.19952,1.55357,0.19947
228,22900,1.84582,0.20048,1.66436,0.20039,1.81673,0.19979,1.60691,0.20188
229,23000,1.76476,0.20183,1.55847,0.19935,1.86584,0.19920,1.58940,0.19927
230,23100,1.78073,0.20036,1.58610,0.19950,1.89645,0.19822,1.61490,0.20193
231,23200,1.88503,0.19814,1.64819,0.20041,1.81187,0.19910,1.60960,0.20026
232,23300,1.83596,0.19951,1.66867,0.20182,1.76710,0.19927,1.50733,0.19898
233,23400,1.81469,0.19958,1.55619,0.19864,1.95147,0.19985,1.56770,0.19988
234,23500,1.86391,0.20099,1.58000,0.20024,1.79217,0.19931,1.56161,0.19951
235,23600,1.76017,0.20024,1.60682,0.19836,1.91393,0.19850,1.59909,0.19914
236,23700,1.77837,0.19737,1.65345,0.19918,1.83199,0.19791,1.51365,0.19743
